date,,2020-12-31_FY,2019-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-79582000.0,-61469000.0
,depreciationAndAmortization,8471000.0,8074000.0
,deferredIncomeTax,573000.0,0.0
,stockBasedCompensation,47593000.0,33792000.0
,changeInWorkingCapital,-30430000.0,133243000.0
,accountsReceivables,-8625000.0,-13623000.0
,inventory,0.0,0.0
,accountsPayables,-1810000.0,-1286000.0
,otherWorkingCapital,-12569000.0,87043000.0
,otherNonCashItems,27020000.0,36092000.0
,netCashProvidedByOperatingActivites,-25909000.0,-14517000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-6828000.0,-2191000.0
,acquisitionsNet,0.0,0.0
,purchasesOfInvestments,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0
,otherInvestingActivites,0.0,0.0
,netCashUsedForInvestingActivites,-6828000.0,-2191000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-660000.0,-203000.0
,commonStockIssued,0.0,0.0
,commonStockRepurchased,0.0,10543000.0
,dividendsPaid,0.0,0.0
,otherFinancingActivites,0.0,335116000.0
,netCashUsedProvidedByFinancingActivities,8150000.0,157838000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,10367000.0,1841000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-14220000.0,142971000.0
,cashAtEndOfPeriod,162855000.0,176711000.0
,cashAtBeginningOfPeriod,177075000.0,33740000.0
,operatingCashFlow,-25909000.0,-14517000.0
,capitalExpenditure,-6828000.0,-2191000.0
,freeCashFlow,-32737000.0,-16708000.0
