date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,499171000.0,435788000.0,325492000.0,259798000.0,194244000.0,147951000.0,114523000.0,72834000.0,31494000.0,-7195000.0,-151406000.0,-236460000.0,32875000.0,39889000.0,28065000.0
,depreciationAndAmortization,28915000.0,14319000.0,13393000.0,2788000.0,1970000.0,1461000.0,9237000.0,9561000.0,10623000.0,14091000.0,15489000.0,12873000.0,12782000.0,7734000.0,5002000.0
,deferredIncomeTax,-5129000.0,-16709000.0,88471000.0,0.0,0.0,0.0,-12403000.0,21722000.0,15303000.0,-7592000.0,-46300000.0,-11000000.0,-4219000.0,2968000.0,-2158000.0
,stockBasedCompensation,26238000.0,25711000.0,23554000.0,0.0,0.0,0.0,7699000.0,6318000.0,4272000.0,7539000.0,8753000.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,111346000.0,20687000.0,-86955000.0,0.0,0.0,0.0,52114000.0,-39545000.0,5998000.0,-113001000.0,-942000.0,-49402000.0,-13196000.0,-18314000.0,-1799000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,111346000.0,0.0,0.0,0.0,0.0,0.0,6483000.0,-653000.0,-5621000.0,369000.0,-3963000.0,0.0,0.0,0.0,0.0
,otherNonCashItems,30319000.0,15344000.0,-4464000.0,0.0,0.0,-1421000.0,-29892000.0,-13259000.0,0.0,-2000.0,0.0,365130000.0,26947000.0,7051000.0,5249000.0
,netCashProvidedByOperatingActivites,717772000.0,540972000.0,383811000.0,-3110000.0,127208000.0,34242000.0,165049000.0,111960000.0,142475000.0,300000.0,74755000.0,81003000.0,54755000.0,43764000.0,34359000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-35148000.0,-11313000.0,-8862000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,-1272000000.0,342000000.0,0.0,21000000.0,51000000.0,0.0,0.0,0.0,0.0,47000000.0,-6000000.0,0.0
,purchasesOfInvestments,-1218768000.0,-758635000.0,-1532647000.0,-20148000.0,0.0,-23431000.0,-706970000.0,-329188000.0,-843813000.0,-1835489000.0,-503285000.0,-232771000.0,-384345000.0,-205748000.0,-148480000.0
,salesMaturitiesOfInvestments,967637000.0,637204000.0,438102000.0,34511000.0,2688000.0,10557000.0,213516000.0,622160000.0,599161000.0,1408536000.0,268824000.0,223072000.0,196556000.0,447844000.0,200339000.0
,otherInvestingActivites,948000.0,10720000.0,21267000.0,0.0,0.0,0.0,46574000.0,43532000.0,45477000.0,4501000.0,-1220000.0,-504262000.0,-350402000.0,-627176000.0,-629066000.0
,netCashUsedForInvestingActivites,-3723033000.0,-2713433000.0,-2955527000.0,-209736000.0,-8910000.0,639000.0,-1173342000.0,-536514000.0,-812428000.0,-710288000.0,-368242000.0,-520756000.0,-526573000.0,-426217000.0,-599963000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-496736000.0,0.0,0.0,0.0,-83444000.0,-6501000.0,-10887000.0,-204592000.0,0.0,0.0,0.0,0.0,-16882000.0,0.0,-100324000.0
,commonStockIssued,0.0,0.0,0.0,55785000.0,28288000.0,13746000.0,0.0,0.0,362000.0,47933000.0,191346000.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,-120131000.0,-35688000.0,0.0,0.0,-70500000.0,-70500000.0,0.0,0.0,-140000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-51329000.0,0.0,0.0,0.0,-750000.0,-1387000.0,-1410000.0,-3793000.0,-7033000.0,-7000000.0,-6833000.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-9645000.0,-12910000.0,-13811000.0,-9483000.0,1945000.0,4194000.0,1552000.0,293000.0,-415000.0,0.0,131720000.0,-166000.0,-246000.0,98000.0,0.0
,netCashUsedProvidedByFinancingActivities,2941285000.0,2254265000.0,2703993000.0,216628000.0,-122526000.0,-30154000.0,1109182000.0,474184000.0,608202000.0,529904000.0,550363000.0,464078000.0,322567000.0,472997000.0,624543000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-63976000.0,81804000.0,132277000.0,3782000.0,-4228000.0,4727000.0,100889000.0,49630000.0,-61751000.0,-180084000.0,256876000.0,24325000.0,-149251000.0,90544000.0,58939000.0
