date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY,1985-12-31_FY
,revenue,1541383000.0,1628626000.0,1641338000.0,1243068000.0,1036500000.0,959568000.0,886996000.0,731421000.0,706280000.0,828560000.0,925067000.0,845444000.0,961977000.0,956371000.0,931428000.0,920982000.0,819076000.0,696820000.0,505126000.0,837341000.0,515928000.0,392500000.0,450200000.0,348600000.0,355500000.0,353800000.0,374000000.0,333900000.0,316700000.0,278900000.0,260000000.0,259000000.0,251300000.0,255400000.0,251700000.0,258200000.0
,costOfRevenue,897792000.0,1069308000.0,1087570000.0,865954000.0,598536000.0,575525000.0,550409000.0,482127000.0,431417000.0,544992000.0,654823000.0,593388000.0,0.0,0.0,0.0,0.0,0.0,0.0,243341000.0,305587000.0,288002000.0,207000000.0,173800000.0,181100000.0,185100000.0,143700000.0,174400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,643591000.0,559318000.0,553768000.0,377114000.0,437964000.0,384043000.0,336587000.0,249294000.0,274863000.0,283568000.0,270244000.0,252056000.0,961977000.0,956371000.0,931428000.0,920982000.0,819076000.0,696820000.0,261785000.0,531754000.0,227926000.0,185500000.0,276400000.0,167500000.0,170400000.0,210100000.0,199600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.417541260024277,0.343429369296573,0.33738815527332,0.303373588572789,0.422541244573083,0.400224892868457,0.379468453070814,0.340835168801552,0.389170017556776,0.342241961958096,0.292134515662109,0.298134471354696,1.0,1.0,1.0,1.0,1.0,1.0,0.518256830968907,0.635050714105723,0.441778697802794,0.472611464968153,0.613949355841848,0.480493402180149,0.479324894514768,0.59383832673827,0.533689839572193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,7979000.0,4208000.0,2404000.0,15474000.0,9989000.0,9510000.0,11819000.0,10979000.0,11104000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
