Date,2017-12-25,2017-12,2016-12-26,2016-12,2015-12-28,2015-12,2014-12-29,2014-12,2013-12
Cash and cash equivalents,2276000.0,2000000.0,5493000.0,5000000.0,19131000.0,19000000.0,29390000.0,29000000.0,1000000.0
Short-term investments,0.0,,0.0,,0.0,,0.0,,
Cash and short-term investments,2276000.0,,5493000.0,,19131000.0,,29390000.0,,
Receivables,3148000.0,3000000.0,2287000.0,6000000.0,853000.0,1000000.0,678000.0,1000000.0,2000000.0
Inventories,2374000.0,2000000.0,1878000.0,2000000.0,1660000.0,2000000.0,1295000.0,1000000.0,1000000.0
Total current assets,11978000.0,229000000.0,15184000.0,200000000.0,26603000.0,171000000.0,33695000.0,145000000.0,115000000.0
Property Plant & Equipment Net,191686000.0,192000000.0,162033000.0,162000000.0,131819000.0,132000000.0,103945000.0,104000000.0,79000000.0
Goodwill and Intangible Assets,36010000.0,36000000,37490000.0,38000000,39096000.0,40000000,40734000.0,41000000,34000000
Long-term investments,0.0,,0.0,,0.0,,0.0,,
Tax assets,0.0,,0.0,,0.0,,-217000.0,,
Total non-current assets,228544000.0,86000000.0,200035000.0,64000000.0,171391000.0,54000000.0,144966000.0,41000000.0,71000000.0
Total assets,240522000.0,241000000.0,215219000.0,215000000.0,197994000.0,198000000.0,178661000.0,179000000.0,120000000.0
Payables,8629000.0,9000000.0,7229000.0,7000000.0,6418000.0,6000000.0,6131000.0,6000000.0,7000000.0
Short-term debt,0.0,000000.0,0.0,000000.0,238000.0,000000.0,0.0,000000.0,2000000.0
Total current liabilities,23273000.0,23000000.0,21489000.0,21000000.0,19336000.0,19000000.0,16306000.0,16000000.0,15000000.0
Long-term debt,12500000.0,12000000.0,28375000.0,000000.0,238000.0,000000.0,0.0,000000.0,39000000.0
Total debt,12500000.0,12000000.0,28375000.0,000000.0,476000.0,000000.0,0.0,000000.0,39000000.0
Deferred revenue,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0000000.0
Tax Liabilities,0.0,4000000.0,0.0,5000000.0,0.0,5000000.0,0.0,4000000.0,3000000.0
Deposit Liabilities,0.0,,0.0,,0.0,,0.0,,
Total non-current liabilities,86170000.0,86000000.0,63764000.0,64000000.0,53702000.0,54000000.0,41086000.0,41000000.0,71000000.0
Total liabilities,109443000.0,109000000.0,85253000.0,85000000.0,73038000.0,73000000.0,57392000.0,57000000.0,86000000.0
Other comprehensive income,151868000,,148482000,,145276000,,142714000,,
Retained earnings (deficit),-20985000.0,-21000000.0,-18711000.0,-19000000.0,-20514000.0,-21000000.0,-21638000.0,-22000000.0,-12000000.0
Total shareholders equity,131079000.0,131000000.0,129966000.0,130000000.0,124956000.0,125000000.0,121269000.0,121000000.0,34000000.0
Investments,0.0,,0.0,,0.0,,0.0,,
Net Debt,10224000.0,10000000,22882000.0,-5000000,-18655000.0,-19000000,-29390000.0,-29000000,40000000
Other Assets,0.0,3000000,0.0,1000000,0.0,3000000,0.0,1000000,2000000
Other Liabilities,0.0,77000000,0.0,65000000,0.0,55000000,0.0,42000000,31000000
