date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,73447000.0,105333000.0,107498000.0,55165000.0,59590000.0,50143000.0,44453000.0,41482000.0,41954000.0,15274000.0,22978000.0,-20064000.0,43087000.0,46250000.0,52954000.0,57836000.0,38652000.0,53300000.0,43526000.0,50189000.0,47246000.0,53000000.0,33400000.0,30500000.0,27600000.0,25500000.0,28700000.0,23200000.0,20600000.0
,depreciationAndAmortization,11653000.0,10370000.0,8046000.0,8997000.0,7116000.0,7640000.0,13721000.0,11090000.0,7912000.0,9026000.0,10707000.0,9806000.0,10398000.0,5194000.0,8583000.0,10884000.0,9488000.0,7498000.0,7360000.0,7760000.0,7480000.0,7700000.0,7900000.0,5800000.0,5200000.0,5100000.0,5100000.0,4700000.0,3500000.0
,deferredIncomeTax,-8217000.0,2292000.0,3473000.0,20825000.0,5713000.0,12653000.0,4862000.0,12704000.0,2551000.0,-1192000.0,-4671000.0,-29108000.0,-7436000.0,-2474000.0,-2726000.0,107000.0,-1858000.0,-2235000.0,-594000.0,-831000.0,1533000.0,300000.0,-1400000.0,1500000.0,-700000.0,900000.0,800000.0,-1200000.0,-400000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,6940024000.0,-414545000.0,-338165000.0,11464000.0,-587364000.0,-339752000.0,-196691000.0,-344194000.0,-70243000.0,-11487000.0,655122000.0,127555000.0,-472814000.0,158957000.0,-636521000.0,126264000.0,-865619000.0,-419304000.0,-11216000.0,-69870000.0,34500000.0,-305300000.0,-646100000.0,-182000000.0,-175700000.0,-4500000.0,-2102200000.0,0.0,-200000.0
,accountsReceivables,-10735000.0,423000.0,-2561000.0,-1314000.0,-577000.0,-41000.0,542000.0,921000.0,2689000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-879000.0,-256000.0,383000.0,426000.0,-272000.0,-103000.0,-404000.0,-1172000.0,-1280000.0,-1423000.0,-966000.0,-2568000.0,-7264000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-139699000.0,-7079723000.0,-6665178000.0,-6327013000.0,-6338477000.0,-5751113000.0,-5411361000.0,-5214670000.0,-4870476000.0,-4800233000.0,-4788746000.0,-5443868000.0,-5571423000.0,-5098609000.0,-5257566000.0,-4621045000.0,-4747309000.0,-3881690000.0,-3462386000.0,-3451170000.0,-3381300000.0,-3415800000.0,-3110500000.0,-2464400000.0,-2282400000.0,-2106700000.0,-2102200000.0,0.0,0.0
,otherNonCashItems,-2777000.0,-19768000.0,17276000.0,4211000.0,545000.0,-14199000.0,842000.0,-8082000.0,-5349000.0,0.0,0.0,0.0,0.0,18878000.0,3577000.0,-4067000.0,-2059000.0,6438000.0,9920000.0,5712000.0,2931000.0,-9700000.0,15800000.0,10300000.0,400000.0,4600000.0,-6500000.0,2000000.0,600000.0
,netCashProvidedByOperatingActivites,105699000.0,107632000.0,135263000.0,88305000.0,89273000.0,72751000.0,82137000.0,85734000.0,78724000.0,84119000.0,110870000.0,57234000.0,52320000.0,69746000.0,64757000.0,76700000.0,39223000.0,57275000.0,57540000.0,46324000.0,66133000.0,52700000.0,52900000.0,35500000.0,33500000.0,37000000.0,27800000.0,25100000.0,24100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-7615000.0,-17380000.0,-9599000.0,-10378000.0,-7061000.0,-4887000.0,-10980000.0,-9635000.0,-10182000.0,-8320000.0,-4886000.0,-6655000.0,-12094000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,333000000.0,1000000.0,3000000.0,479000000.0,-4000000.0,-3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60000000.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-496857000.0,-138870000.0,-352619000.0,-253312000.0,-174104000.0,-405027000.0,-339649000.0,-539894000.0,-605435000.0,-723805000.0,-387135000.0,-211467000.0,-297130000.0,-344122000.0,-217230000.0,-478497000.0,-760906000.0,-1414519000.0,-563065000.0,-814382000.0,-190972000.0,-492100000.0,-1076400000.0,-344500000.0,-107100000.0,-82800000.0,-164400000.0,-603600000.0,-263000000.0
,salesMaturitiesOfInvestments,591187000.0,244774000.0,204260000.0,343460000.0,278038000.0,470640000.0,375763000.0,357338000.0,574846000.0,557164000.0,590710000.0,436044000.0,446014000.0,433460000.0,436796000.0,754777000.0,877869000.0,1111047000.0,671888000.0,717043000.0,198762000.0,361200000.0,568300000.0,199100000.0,154400000.0,173800000.0,237100000.0,440900000.0,187100000.0
,otherInvestingActivites,11510000.0,22744000.0,5998000.0,15164000.0,34256000.0,-10791000.0,5861000.0,7589000.0,31729000.0,33057000.0,8778000.0,9070000.0,8186000.0,76996000.0,41005000.0,-129542000.0,-163362000.0,21270000.0,-55111000.0,-107047000.0,-14163000.0,-147700000.0,57200000.0,-205800000.0,-251300000.0,-106000000.0,-158000000.0,-42500000.0,31200000.0
