date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
,revenue,2363567000.0,2161761000.0,1890922000.0,1618693000.0,1487973000.0,1324803000.0,1172875000.0,872400000.0,586000000.0,272300000.0,173700000.0,128400000.0,67500000.0,65300000.0
,costOfRevenue,148917000.0,127930000.0,121544000.0,110188000.0,105386000.0,102526000.0,117418000.0,102100000.0,78400000.0,13900000.0,13600000.0,9600000.0,13900000.0,8900000.0
,grossProfit,2214650000.0,2033831000.0,1769378000.0,1508505000.0,1382587000.0,1222277000.0,1055457000.0,770300000.0,507600000.0,258300000.0,159100000.0,107700000.0,52500000.0,45800000.0
,grossProfitRatio,0.936994804886005,0.940821395149603,0.935722361895414,0.931927796067568,0.929174790133961,0.922610380562242,0.899888734946179,0.882966529115085,0.866211604095563,0.948586118251928,0.91594703511802,0.838785046728972,0.777777777777778,0.701378254211332
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,335375000.0,409701000.0,226616000.0,283442000.0,186047000.0,135253000.0,287807000.0,46600000.0,20500000.0,14100000.0,25600000.0,36600000.0,70000000.0,69800000.0
,GeneralAndAdministrativeExpenses,854233000.0,736942000.0,683530000.0,544142000.0,501376000.0,447478000.0,404173000.0,302800000.0,223900000.0,108900000.0,69000000.0,58700000.0,111400000.0,78500000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,-72261000.0,365938000.0,347253000.0,231130000.0,232211000.0,485993000.0,181188000.0,143776000.0,21390000.0,21384000.0,17306000.0,56515000.0,55749000.0
,operatingExpenses,1449188000.0,1391482000.0,1111644000.0,894663000.0,767183000.0,682534000.0,617879000.0,429965000.0,309710000.0,130504000.0,102433000.0,102881000.0,194192000.0,195178000.0
,costAndExpenses,1598105000.0,1629387000.0,1277509000.0,1089851000.0,896957000.0,833398000.0,977288000.0,535900000.0,388100000.0,145700000.0,128300000.0,112500000.0,237900000.0,204100000.0
,interestExpense,99707000.0,-78072000.0,-86153000.0,-88734000.0,-58949000.0,-55472000.0,-44030000.0,-28600000.0,-20500000.0,1675000.0,12728000.0,22796000.0,19742000.0,13647000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
