date,,2021-07-31_FY,2020-07-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,134262000.0,-32547000.0
,depreciationAndAmortization,0.0,0.0
,deferredIncomeTax,0.0,0.0
,stockBasedCompensation,0.0,0.0
,changeInWorkingCapital,-13315000.0,33112000.0
,accountsReceivables,0.0,0.0
,inventory,0.0,0.0
,accountsPayables,0.0,0.0
,otherWorkingCapital,0.0,0.0
,otherNonCashItems,-269237000.0,-39055000.0
,netCashProvidedByOperatingActivites,-148290000.0,-38490000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0
,acquisitionsNet,0.0,0.0
,purchasesOfInvestments,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0
,otherInvestingActivites,0.0,0.0
,netCashUsedForInvestingActivites,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-1265920000.0,0.0
,commonStockIssued,48744000.0,67850000.0
,commonStockRepurchased,0.0,0.0
,dividendsPaid,-64833000.0,-60961000.0
,otherFinancingActivites,1429729000.0,32183000.0
,netCashUsedProvidedByFinancingActivities,147720000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,1016000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-570000.0,625000.0
,cashAtEndOfPeriod,1437000.0,2007000.0
,cashAtBeginningOfPeriod,2007000.0,1382000.0
,operatingCashFlow,-148290000.0,-38490000.0
,capitalExpenditure,0.0,0.0
,freeCashFlow,-148290000.0,-38490000.0
