date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,79309000.0,75840000.0,77922000.0,74855000.0,58709000.0,34706000.0,22765000.0,18841000.0,5048000.0,-4611000.0,-4906000.0,-7039000.0,-13888000.0
,depreciationAndAmortization,168776000.0,152925000.0,141633000.0,129251000.0,108652000.0,95702000.0,80722000.0,65785000.0,64327000.0,67317000.0,30994000.0,10652000.0,7319000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,15843000.0,14384000.0,12038000.0,8946000.0,8892000.0,7114000.0,6125000.0,6770000.0,5650000.0,2958000.0,538000.0,0.0,0.0
,changeInWorkingCapital,48851000.0,-37064000.0,-31587000.0,-4830000.0,1685000.0,-38243000.0,8264000.0,-19537000.0,-12717000.0,-97752000.0,72562000.0,2992000.0,-3387000.0
,accountsReceivables,-519000.0,-2836000.0,10923000.0,-5087000.0,-13199000.0,-2146000.0,-599000.0,-682000.0,-3657000.0,-1523000.0,-1207000.0,470000.0,-1040000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,5365000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-105054000.0,-153905000.0,-116841000.0,-85254000.0,-80424000.0,-82109000.0,-43866000.0,-52130000.0,-32593000.0,-19876000.0,77876000.0,5314000.0,2322000.0
,otherNonCashItems,4128000.0,3084000.0,1790000.0,1078000.0,792000.0,726000.0,1341000.0,916000.0,176000.0,0.0,-57000.0,0.0,0.0
,netCashProvidedByOperatingActivites,271080000.0,251585000.0,258761000.0,209356000.0,170525000.0,142573000.0,99516000.0,97723000.0,68648000.0,61206000.0,15904000.0,1436000.0,-9632000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-117524000.0,-56039000.0,-28043000.0,-54377000.0
,acquisitionsNet,0.0,-26000000.0,-11000000.0,-12000000.0,-65000000.0,0.0,0.0,-22000000.0,-3000000.0,0.0,10000000.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8691000.0,4965000.0,10558000.0,591000.0,532000.0
,netCashUsedForInvestingActivites,-267653000.0,-372261000.0,-255643000.0,-173964000.0,-364202000.0,-127533000.0,-106192000.0,-214469000.0,-83802000.0,-112559000.0,-45481000.0,-27452000.0,-53845000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-171500000.0,-546299000.0,-211036000.0,-298500000.0,-247750000.0,-163250000.0,-102250000.0,-1500000.0,-134864000.0,-14189000.0,-152600000.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344359000.0,20274000.0,55763000.0
,commonStockRepurchased,0.0,0.0,0.0,-115000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,-236304000.0,-223901000.0,-193038000.0,-172484000.0,-108807000.0,-87420000.0,-73772000.0,-57098000.0,-33101000.0,-23785000.0,-2000000.0,0.0,0.0
,otherFinancingActivites,-1111000.0,-6337000.0,-5038000.0,-2410000.0,-2981000.0,-6571000.0,-2557000.0,-2648000.0,-4693000.0,-1762000.0,-151704000.0,-144000.0,-777000.0
,netCashUsedProvidedByFinancingActivities,-932000.0,121125000.0,-5766000.0,-34574000.0,191252000.0,-18848000.0,12025000.0,113929000.0,16656000.0,-28265000.0,108357000.0,29987000.0,63185000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,2495000.0,449000.0,-2648000.0,818000.0,-2425000.0,-3808000.0,5349000.0,-2817000.0,1502000.0,-79618000.0,78780000.0,3971000.0,-292000.0
,cashAtEndOfPeriod,5543000.0,3048000.0,2599000.0,5247000.0,4429000.0,6854000.0,10662000.0,5313000.0,8130000.0,6628000.0,86246000.0,7466000.0,3495000.0
,cashAtBeginningOfPeriod,3048000.0,2599000.0,5247000.0,4429000.0,6854000.0,10662000.0,5313000.0,8130000.0,6628000.0,86246000.0,7466000.0,3495000.0,3787000.0
,operatingCashFlow,271080000.0,251585000.0,258761000.0,209356000.0,170525000.0,142573000.0,99516000.0,97723000.0,68648000.0,61206000.0,15904000.0,1436000.0,-9632000.0
,capitalExpenditure,-261426000.0,-342187000.0,-239715000.0,-166114000.0,-293359000.0,-119797000.0,-100299000.0,-207341000.0,-83837000.0,-117524000.0,-56039000.0,-28043000.0,-54377000.0
