date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-22215000.0,-21899054.0,-23653963.0,-26601235.0,-24321724.0,-21025314.0,-24687509.0,-10773792.0,-8361205.0,10289.0,1674.0,-22331.0,-31243.0,-14800.0,-18404.0
,depreciationAndAmortization,447000.0,420089.0,50721.0,55938.0,77523.0,53465.0,37908.0,1560.0,581.0,0.0,0.0,0.0,0.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,1254000.0,1294707.0,1798655.0,3493731.0,4297778.0,7061622.0,6280629.0,657812.0,2223926.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,55413995.0,-3522357.0,-4906592.0,-4696967.0,-3998015.0,23952899.0,-511498.0,-2716090.0,1168786.0,9750.0,-8133.0,-3644.0,-26889.0,6659.0,4370.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-257000.0,0.0,0.0,405214.0,2720938.0,-793949.0,1874841.0,-518089.0,334263.0,-13688.0,191.0,1143.0,10003.0,-3500.0,3500.0
,otherWorkingCapital,60158000.0,4744005.0,8266362.0,13172954.0,17869921.0,21867936.0,-2084963.0,-1573465.0,1142625.0,-26161.0,-35911.0,-27778.0,-24134.0,2755.0,-3904.0
,otherNonCashItems,0.0,0.0,0.0,0.0,4297778.0,3249304.0,8486728.0,4837204.0,1027885.0,0.0,0.0,-1.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,-21617000.0,-21461449.0,-20571056.0,-21553346.0,-20789237.0,-18543768.0,-14348754.0,-6292416.0,-5212710.0,539.0,7835.0,-18783.0,-13964.0,-15492.0,-14034.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-253000.0,-63893.0,-96092.0,-24739.0,-59960.0,-47788.0,-151688.0,-16592.0,-2359.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,-49859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,-356207.0,-49859.0,0.0,-34733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-253000.0,-63893.0,-96092.0,-380946.0,-109819.0,-47788.0,-186421.0,-16592.0,-2359.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-79000.0,-321935.0,0.0,0.0,-265695.0,-283552.0,-161841.0,-140000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,76589000.0,15932251.0,16976237.0,18814634.0,16022667.0,37637959.0,15435305.0,2883257.0,5129940.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,157940.0,0.0,3467395.0,0.0,-539.0,-9807.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,76176000.0,17114078.0,16981086.0,18814634.0,15775077.0,37528027.0,15708611.0,6223705.0,5129940.0,-539.0,-9807.0,18687.0,13868.0,21459.0,14500.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,54306000.0,-4411264.0,-3686062.0,-3119658.0,-5123979.0,18936471.0,1173436.0,-85303.0,-85129.0,0.0,-1972.0,-96.0,-96.0,5967.0,0.0
,cashAtEndOfPeriod,63999000.0,9693250.0,14104514.0,17399636.0,20519294.0,25643273.0,6706802.0,5533366.0,5618669.0,150.0,150.0,2122.0,2218.0,6433.0,466.0
,cashAtBeginningOfPeriod,9693000.0,14104514.0,17790576.0,20519294.0,25643273.0,6706802.0,5533366.0,5618669.0,5703798.0,150.0,2122.0,2218.0,2314.0,466.0,0.0
,operatingCashFlow,-21617000.0,-21461449.0,-20571056.0,-21553346.0,-20789237.0,-18543768.0,-14348754.0,-6292416.0,-5212710.0,539.0,7835.0,-18783.0,-13964.0,-15492.0,-14034.0
