date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-29293000.0,-30641000.0,-12673000.0,-37127000.0,-59699000.0
,depreciationAndAmortization,1170000.0,2033000.0,1664000.0,1423000.0,757000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,1308000.0,1838000.0,2204000.0,3758000.0,1573000.0
,changeInWorkingCapital,32482000.0,2536000.0,5003000.0,-26906000.0,-19646000.0
,accountsReceivables,-4444000.0,-419000.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-427000.0,352000.0,777000.0,-2523000.0,1372000.0
,otherWorkingCapital,35307000.0,2825000.0,289000.0,-4714000.0,22192000.0
,otherNonCashItems,-36727000.0,4358000.0,-24823000.0,28995000.0,27847000.0
,netCashProvidedByOperatingActivites,-31060000.0,-19876000.0,-28625000.0,-29857000.0,-49168000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-648000.0,-422000.0,-1107000.0,-2168000.0,-6143000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,522000.0,0.0,49000.0,26000.0,-75000.0
,netCashUsedForInvestingActivites,-126000.0,-422000.0,-1058000.0,-2142000.0,-6218000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,-11000.0,-10000.0,-7000.0
,commonStockIssued,12577000.0,747000.0,35625000.0,0.0,47785000.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,-155000.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,40237000.0,25069000.0,-261000.0,-78000.0,-3314000.0
,netCashUsedProvidedByFinancingActivities,52814000.0,25816000.0,35353000.0,-88000.0,44309000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,21628000.0,5518000.0,5670000.0,-32087000.0,-11077000.0
,cashAtEndOfPeriod,35879000.0,14251000.0,8733000.0,2524000.0,34611000.0
,cashAtBeginningOfPeriod,14251000.0,8733000.0,3063000.0,34611000.0,45688000.0
,operatingCashFlow,-31060000.0,-19876000.0,-28625000.0,-29857000.0,-49168000.0
,capitalExpenditure,-648000.0,-422000.0,-1107000.0,-2168000.0,-6218000.0
,freeCashFlow,-31708000.0,-20298000.0,-29732000.0,-32025000.0,-55386000.0
