date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY
,revenue,128487000.0,131718000.0,130113000.0,112660000.0,96861000.0,90490000.0,90064000.0,82711000.0,76318000.0,72827000.0,67941000.0,64279000.0,86055000.0,98398000.0,136671000.0,127147000.0,84368000.0,60200000.0,24639000.0,6404000.0
,costOfRevenue,48681000.0,53635000.0,52089000.0,47809000.0,41815000.0,42429000.0,66209000.0,49627000.0,37905000.0,49999000.0,55216000.0,46998000.0,55458000.0,41638000.0,68487000.0,64174000.0,48607000.0,42076000.0,0.0,0.0
,grossProfit,79806000.0,78083000.0,78024000.0,64851000.0,55046000.0,48061000.0,23855000.0,33084000.0,38413000.0,22828000.0,12725000.0,17281000.0,30597000.0,56760000.0,68184000.0,62973000.0,35761000.0,18124000.0,0.0,0.0
,grossProfitRatio,0.621121202923253,0.592804324389985,0.599663369532637,0.575634652938044,0.568298902551078,0.531119460713891,0.264867205542725,0.399995163883885,0.503328179459629,0.313455174591841,0.187294858774525,0.268843634779633,0.355551682063796,0.576840992703104,0.498891498562241,0.495277120183724,0.423869239522094,0.301063122923588,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,41738000.0,45233000.0,55443000.0,39099000.0,40982000.0,37418000.0,33520000.0,29888000.0,34339000.0,42436000.0,41827000.0,49210000.0,61351000.0,49146000.0,43899000.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-3555000.0,-2814000.0,-3299000.0,-2873000.0,-430000.0,3229000.0,3038000.0,-2962000.0,-2280000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,138553000.0,141005000.0,145881000.0,116597000.0,118372000.0,114665000.0,119666000.0,120480000.0,104140000.0,92485000.0,72494000.0,71072000.0,88307000.0,81392000.0,52521000.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,187234000.0,194640000.0,197970000.0,164406000.0,160187000.0,157094000.0,185875000.0,170107000.0,142045000.0,142484000.0,127710000.0,118070000.0,143765000.0,123030000.0,121008000.0,105163000.0,163589000.0,325363000.0,70008000.0,0.0
,interestExpense,48429000.0,62464000.0,43612000.0,34771000.0,35952000.0,35854000.0,43233000.0,67828000.0,21486000.0,4824000.0,5021000.0,6730000.0,6779000.0,9023000.0,587000.0,269000.0,1382000.0,1644000.0,46523000.0,381170000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,96815000.0,95772000.0,90438000.0,77498000.0,77390000.0,77247000.0,86146000.0,90592000.0,69801000.0,53722000.0,0.0,21862000.0,26956000.0,13137000.0,6679000.0,3044000.0,1959000.0,31598000.0,30904000.0,0.0
,EBITDA,38068000.0,32850000.0,22581000.0,25752000.0,14064000.0,10643000.0,-9665000.0,3196000.0,4074000.0,-15935000.0,-61902000.0,-31929000.0,-30754000.0,-11495000.0,22342000.0,25028000.0,-77262000.0,-233565000.0,-14465000.0,6404000.0
,EBITDARatio,0.296279000988427,0.249396437844486,0.173549145742547,0.228581572874135,0.145197757611423,0.117615206100122,-0.107312577722508,0.0386405677600319,0.0533819020414581,-0.21880621198182,-0.911114054841701,-0.496725213522301,-0.357376096682354,-0.116821480111384,0.163472865494509,0.196843024216065,-0.915773753081737,-3.87981727574751,-0.587077397621657,1.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-58747000.0,-62922000.0,-67857000.0,-51746000.0,-63326000.0,-66604000.0,-95811000.0,-87396000.0,-65727000.0,-69657000.0,-59769000.0,-53791000.0,-57710000.0,-24632000.0,15663000.0,21984000.0,-79221000.0,-265163000.0,-45369000.0,6404000.0
