date,,2021-12-31_FY,2020-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,26645000.0,0.0
,depreciationAndAmortization,0.0,8689000.0
,deferredIncomeTax,0.0,0.0
,stockBasedCompensation,0.0,8689000.0
,changeInWorkingCapital,-553678.0,0.0
,accountsReceivables,0.0,23406000.0
,inventory,0.0,0.0
,accountsPayables,0.0,0.0
,otherWorkingCapital,908169.0,1461847.0
,otherNonCashItems,-26091322.0,-559153000.0
,netCashProvidedByOperatingActivites,0.0,-541775000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0
,acquisitionsNet,0.0,0.0
,purchasesOfInvestments,0.0,-36821000.0
,salesMaturitiesOfInvestments,0.0,505396000.0
,otherInvestingActivites,0.0,127469000.0
,netCashUsedForInvestingActivites,0.0,596044000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,106000.0
,commonStockIssued,0.0,0.0
,commonStockRepurchased,0.0,-1000.0
,dividendsPaid,0.0,0.0
,otherFinancingActivites,0.0,-30235000.0
,netCashUsedProvidedByFinancingActivities,0.0,-30130000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,4409000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,0.0,28548000.0
,cashAtEndOfPeriod,0.0,135826000.0
,cashAtBeginningOfPeriod,135826000.0,107278000.0
,operatingCashFlow,0.0,-541775000.0
,capitalExpenditure,0.0,0.0
,freeCashFlow,0.0,-541775000.0
