date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
,revenue,3404800000.0,7863100000.0,7222000000.0,6983000000.0,6792900000.0,6643900000.0,6799200000.0,5961000000.0,5397700000.0,4863800000.0,4172400000.0,4078500000.0,3771800000.0,3860800000.0
,costOfRevenue,3845500000.0,6786400000.0,6135900000.0,6162500000.0,5803600000.0,5532300000.0,5711000000.0,6059500000.0,5245300000.0,4312100000.0,3607900000.0,3581400000.0,3163200000.0,3197200000.0
,grossProfit,-440700000.0,1076700000.0,1086100000.0,820500000.0,989300000.0,1111600000.0,1088200000.0,-98500000.0,152400000.0,551700000.0,564500000.0,497100000.0,608600000.0,663600000.0
,grossProfitRatio,-0.129434915413534,0.136930727066933,0.150387704237053,0.117499641987684,0.145637356651798,0.167311368322822,0.160048240969526,-0.0165240731420903,0.0282342479204105,0.113429828529134,0.135293835682101,0.12188304523722,0.161355321066865,0.171881475341898
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,38800000.0,54500000.0,42500000.0,31200000.0,23800000.0,27800000.0,29300000.0,34700000.0,34100000.0,35700000.0,51500000.0,56700000.0,48400000.0,52300000.0
,GeneralAndAdministrativeExpenses,237400000.0,261400000.0,210400000.0,200300000.0,228300000.0,220800000.0,233800000.0,200800000.0,172200000.0,159900000.0,156000000.0,137100000.0,154500000.0,192100000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-36700000.0,23800000.0,38700000.0,4400000.0,3700000.0,1900000.0,4100000.0,2300000.0,-3900000.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,280900000.0,315900000.0,252900000.0,231500000.0,252100000.0,248600000.0,263100000.0,235500000.0,206300000.0,195600000.0,207500000.0,193800000.0,202900000.0,244400000.0
,costAndExpenses,4126400000.0,7102300000.0,6388800000.0,6394000000.0,6055700000.0,5780900000.0,5974100000.0,6295000000.0,5451600000.0,4507700000.0,3815400000.0,3775200000.0,3366100000.0,3441600000.0
,interestExpense,195300000.0,91900000.0,80000000.0,41700000.0,57300000.0,52700000.0,88100000.0,70100000.0,82900000.0,77500000.0,59100000.0,43600000.0,39200000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,277600000.0,251700000.0,231000000.0,214300000.0,208800000.0,181100000.0,176000000.0,161300000.0,156200000.0,134100000.0,120000000.0,133800000.0,131800000.0,105000000.0
,EBITDA,-444000000.0,1012500000.0,1064200000.0,803300000.0,946000000.0,1044100000.0,1001100000.0,-172700000.0,102300000.0,490200000.0,477000000.0,437100000.0,537500000.0,524200000.0
,EBITDARatio,-0.130404135338346,0.12876600831733,0.1473553032401,0.115036517256194,0.139263054071163,0.157151672963169,0.147237910342393,-0.0289716490521725,0.0189525168127165,0.100785394136272,0.114322691975841,0.107171754321442,0.14250490481998,0.135774968918359
