date,,2021-01-31_FY,2020-01-31_FY,2019-01-31_FY,2018-01-31_FY,2017-01-31_FY,2016-01-31_FY,2015-01-31_FY,2014-01-31_FY,2013-01-31_FY,2012-01-31_FY,2011-01-31_FY,2010-01-31_FY,2009-01-31_FY,2008-01-31_FY,2007-01-31_FY,2006-01-31_FY,2005-01-31_FY,2004-01-31_FY,2003-01-31_FY,2002-01-31_FY,2001-01-31_FY,2000-01-31_FY,1999-01-31_FY,1998-01-31_FY,1997-01-31_FY,1996-01-31_FY,1995-12-31_FY,1994-12-31_FY
,revenue,307865000.0,310772000.0,333016000.0,305018000.0,277973000.0,277852000.0,295101000.0,266311000.0,252172000.0,247258000.0,220012000.0,215231000.0,263440000.0,262747000.0,235587000.0,225494000.0,231206000.0,230652000.0,195248000.0,204009000.0,215623000.0,239262000.0,193300000.0,172200000.0,126400000.0,3500000.0,89900000.0,66400000.0
,costOfRevenue,125372000.0,139909000.0,155884000.0,149425000.0,130851000.0,126562000.0,131630000.0,117006000.0,107593000.0,105339000.0,93948000.0,91627000.0,121571000.0,110866000.0,93517000.0,88705000.0,91453000.0,91514000.0,74998000.0,85225000.0,99956000.0,89410000.0,47900000.0,34700000.0,23900000.0,1600000.0,23600000.0,18900000.0
,grossProfit,182493000.0,170863000.0,177132000.0,155593000.0,147122000.0,151290000.0,163471000.0,149305000.0,144579000.0,141919000.0,126064000.0,123604000.0,141869000.0,151881000.0,142070000.0,136789000.0,139753000.0,139138000.0,120250000.0,118784000.0,115667000.0,149852000.0,145400000.0,137500000.0,102500000.0,1800000.0,66400000.0,47400000.0
,grossProfitRatio,0.592769558085524,0.5498017839445,0.531902371057246,0.51011087870224,0.52926723099006,0.544498509998129,0.55394932582404,0.560641505608105,0.573334866678299,0.573971317409346,0.572986927985746,0.574285302767724,0.5385249013058,0.578050367844352,0.603046857424221,0.606619244857956,0.60445230660104,0.603237778124621,0.615883389330492,0.582248822355876,0.536431642264508,0.626309234228586,0.752198654940507,0.79849012775842,0.810917721518987,0.514285714285714,0.738598442714127,0.713855421686747
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,56084000.0,54726000.0,53993000.0,47661000.0,43587000.0,41237000.0,42315000.0,41237000.0,38332000.0,35708000.0,34575000.0,37303000.0,43107000.0,41069000.0,40039000.0,32647000.0,33229000.0,36191000.0,33395000.0,31672000.0,34492000.0,34084000.0,48300000.0,29300000.0,25600000.0,1500000.0,17000000.0,10600000.0
,GeneralAndAdministrativeExpenses,41643000.0,39442000.0,35248000.0,35222000.0,32318000.0,32689000.0,34680000.0,31946000.0,31952000.0,29969000.0,30637000.0,30969000.0,33763000.0,104475000.0,93519000.0,88101000.0,82622000.0,84411000.0,83547000.0,82247000.0,88966000.0,106567000.0,120800000.0,86600000.0,69400000.0,4200000.0,52000000.0,32700000.0
,SellingAndMarketingExpenses,71779000.0,82115000.0,78207000.0,75368000.0,67194000.0,66535000.0,69785000.0,66009000.0,62223000.0,58336000.0,54206000.0,51979000.0,73025000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-2209000.0,250000.0,209000.0,77000.0,131000.0,302000.0,168000.0,593000.0,446000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,169795000.0,176551000.0,167559000.0,158667000.0,143758000.0,141119000.0,147486000.0,139902000.0,132771000.0,124027000.0,119473000.0,120733000.0,150629000.0,146293000.0,133923000.0,121006000.0,116367000.0,121489000.0,118258000.0,119523000.0,128054000.0,158480000.0,180200000.0,122800000.0,100300000.0,5700000.0,69000000.0,43400000.0
,costAndExpenses,295167000.0,316460000.0,323443000.0,308092000.0,274609000.0,267681000.0,279116000.0,256908000.0,240364000.0,229366000.0,213421000.0,212360000.0,272200000.0,257159000.0,227440000.0,209711000.0,207820000.0,213003000.0,193256000.0,204748000.0,228010000.0,247890000.0,228100000.0,157500000.0,124200000.0,7300000.0,92600000.0,62300000.0
,interestExpense,591000.0,630000.0,643000.0,669000.0,670000.0,712000.0,811000.0,829000.0,990000.0,1174000.0,1248000.0,1273000.0,1245000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100000.0,-800000.0,-500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,289000.0,268000.0,111000.0,416000.0,659000.0,658000.0,706000.0,710000.0,264000.0,14000.0,55000.0,482000.0,734000.0,749000.0,365000.0,258000.0,516000.0,887000.0,1165000.0,3538000.0,4596000.0,17829000.0,11100000.0,6900000.0,5300000.0,390000.0,4350000.0,2660000.0
,EBITDA,12987000.0,-5420000.0,9684000.0,-2658000.0,4023000.0,10829000.0,16691000.0,10113000.0,12072000.0,17906000.0,6646000.0,3353000.0,-8026000.0,6337000.0,8512000.0,16041000.0,23902000.0,18536000.0,3157000.0,2799000.0,-7791000.0,9201000.0,-23700000.0,21600000.0,7500000.0,-3510000.0,1750000.0,6760000.0
,EBITDARatio,0.0421840741883618,-0.0174404386495566,0.0290796838590338,-0.00871423981535516,0.0144726286365942,0.0389739861509005,0.0565602963053327,0.0379743983538044,0.0478720873054899,0.0724182837360166,0.0302074432303693,0.0155786108878368,-0.030466140297601,0.0241182582484291,0.0361310259055041,0.0711371477733332,0.103379670077766,0.0803634913202574,0.0161691797099074,0.013719982941929,-0.0361325090551565,0.0384557514356647,-0.122607346094154,0.125435540069686,0.0593354430379747,-1.00285714285714,0.0194660734149055,0.101807228915663
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,12698000.0,-5688000.0,9573000.0,-3074000.0,3364000.0,10171000.0,15985000.0,9403000.0,11808000.0,17892000.0,6591000.0,2871000.0,-8760000.0,5588000.0,8147000.0,15783000.0,23386000.0,17649000.0,1992000.0,-739000.0,-12387000.0,-8628000.0,-34800000.0,14700000.0,2200000.0,-3900000.0,-2600000.0,4100000.0
,operatingIncomeRatio,0.041245351046725,-0.0183028072027081,0.028746366540947,-0.0100780937518442,0.0121018947883428,0.0366058189251832,0.0541678950596575,0.0353083425018118,0.0468251828117317,0.0723616627166765,0.0299574568659891,0.0133391565341424,-0.0332523534770726,0.0212676072419476,0.034581704423419,0.0699929931616806,0.101147894085794,0.0765178710785079,0.0102024092436286,-0.00362238920831924,-0.0574474893680173,-0.0360608872282268,-0.180031039834454,0.0853658536585366,0.0174050632911392,-1.11428571428571,-0.0289210233592881,0.0617469879518072
,totalOtherIncomeExpensesNet,-2209000.0,-68000.0,387000.0,-2012000.0,436000.0,757000.0,169000.0,1294000.0,-1118000.0,-548000.0,-304000.0,289000.0,-14162000.0,-720000.0,1874000.0,537000.0,120000.0,2149000.0,-6579000.0,-2746000.0,-4771000.0,-1371000.0,600000.0,3400000.0,800000.0,100000.0,0.0,100000.0
,incomeBeforeTax,10821000.0,-3604000.0,11917000.0,-4208000.0,3826000.0,10536000.0,15585000.0,10152000.0,10290000.0,16800000.0,5554000.0,2457000.0,-22734000.0,5749000.0,11438000.0,16146000.0,22426000.0,19395000.0,-5298000.0,-2413000.0,-19749000.0,-11235000.0,-34800000.0,17100000.0,1500000.0,-3900000.0,-3500000.0,3800000.0
,incomeBeforeTaxRatio,0.0351485228915271,-0.0115969263640225,0.0357850673841497,-0.0137959071267925,0.0137639267123066,0.0379194679181723,0.0528124269317962,0.0381208436752519,0.0408054819726219,0.067945223208147,0.0252440775957675,0.0114156417988115,-0.0862966899483753,0.0218803640003501,0.0485510660605212,0.071602792092029,0.0969957527053796,0.0840877165600125,-0.0271347209702532,-0.0118279095530099,-0.0915904147516731,-0.0469568924442661,-0.180031039834454,0.0993031358885017,0.0118670886075949,-1.11428571428571,-0.0389321468298109,0.0572289156626506
,incomeTaxExpense,-244000.0,12345000.0,1489000.0,4857000.0,19276000.0,1624000.0,2639000.0,3766000.0,3651000.0,6016000.0,2843000.0,1108000.0,361000.0,333000.0,3805000.0,-4596000.0,-2057000.0,3078000.0,1300000.0,2900000.0,5657000.0,5101000.0,1100000.0,7200000.0,500000.0,-1100000.0,-2800000.0,900000.0
,netIncome,11065000.0,-15949000.0,10428000.0,-9065000.0,-15450000.0,8912000.0,12946000.0,6386000.0,6639000.0,10784000.0,2711000.0,1349000.0,-23095000.0,5416000.0,7633000.0,20742000.0,24483000.0,16317000.0,-5547000.0,-5313000.0,-25406000.0,-16336000.0,-35900000.0,9900000.0,1000000.0,-2900000.0,-700000.0,2900000.0
,netIncomeRatio,0.0359410780699332,-0.051320582291841,0.0313138107478319,-0.0297195575343095,-0.0555809377169725,0.0320746296589551,0.0438697259582312,0.0239794826349644,0.0263272686896245,0.0436143623259915,0.0123220551606276,0.00626768448782936,-0.0876670209535378,0.0206129851149585,0.0323999201993319,0.0919847091275156,0.105892580642371,0.0707429374122054,-0.0284100221257068,-0.0260429686925577,-0.117826020415262,-0.0682766172647558,-0.185721676151061,0.0574912891986063,0.00791139240506329,-0.828571428571429,-0.00778642936596218,0.0436746987951807
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
