date,,2021-01-01_FY,2020-01-03_FY,2018-12-28_FY,2017-12-29_FY,2016-12-30_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,91746000.0,93033000.0,84040000.0,43128000.0,35675000.0,24954000.0,27686000.0,24102000.0,14210000.0,13538000.0,10769000.0
,depreciationAndAmortization,33927000.0,17736000.0,14729000.0,10280000.0,9025000.0,13063000.0,9730000.0,7759000.0,7204000.0,6598000.0,6150000.0
,deferredIncomeTax,-14075000.0,-10615000.0,-19286000.0,-1160000.0,-3016000.0,-4364000.0,-5399000.0,-3236000.0,-3184000.0,-2430000.0,-1374000.0
,stockBasedCompensation,8618000.0,6864000.0,7322000.0,8727000.0,6223000.0,4907000.0,4044000.0,2500000.0,2148000.0,1030000.0,524000.0
,changeInWorkingCapital,226580000.0,54838000.0,18460000.0,20826000.0,37952000.0,6140000.0,11900000.0,14742000.0,2034000.0,22411000.0,-5826000.0
,accountsReceivables,-18771000.0,-12061000.0,-19034000.0,3554000.0,-17915000.0,-5510000.0,-635000.0,-8510000.0,-7029000.0,-1153000.0,-1984000.0
,inventory,7877000.0,-17009000.0,-22998000.0,-8322000.0,-2991000.0,-11128000.0,-1204000.0,-7447000.0,-4723000.0,-1476000.0,-11087000.0
,accountsPayables,25892000.0,-869000.0,15193000.0,2243000.0,9610000.0,2138000.0,1406000.0,3614000.0,2981000.0,636000.0,3904000.0
,otherWorkingCapital,416580000.0,190000000.0,135162000.0,116702000.0,95876000.0,57924000.0,51784000.0,39884000.0,25142000.0,23108000.0,697000.0
,otherNonCashItems,0.0,7380000.0,7322000.0,8825000.0,6206000.0,262000.0,2399000.0,323000.0,-4000.0,175000.0,-32000.0
,netCashProvidedByOperatingActivites,82715000.0,74830000.0,65392000.0,48172000.0,38845000.0,30022000.0,32905000.0,22619000.0,17367000.0,21038000.0,10208000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-56744000.0,-53526000.0,-30203000.0,-16864000.0,-12024000.0,-10894000.0,-4625000.0,-3932000.0,-4928000.0,-3067000.0,-2425000.0
,acquisitionsNet,-331531000.0,-6804000.0,0.0,-53592000.0,-198000.0,-2000000.0,-71000000.0,-1000000.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,-7947000.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,7947000.0,0.0,-1401000.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-388525000.0,-60330000.0,-30203000.0,-70456000.0,-12222000.0,-13163000.0,-76829000.0,-5042000.0,-5761000.0,-3056000.0,-2418000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-5000000.0,-2813000.0,-3750000.0,-3750000.0,-8522000.0,-38338000.0,-56600000.0,-111608000.0,-16039000.0,-39168000.0,-10984000.0
,commonStockIssued,198236000.0,0.0,0.0,0.0,0.0,0.0,0.0,39857000.0,7204000.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,-7947000.0,-5236000.0,-571000.0,0.0,-29000.0,0.0,-1102000.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67000000.0,0.0,0.0
,otherFinancingActivites,0.0,47408000.0,-39681000.0,25757000.0,18299000.0,-7315000.0,3638000.0,-3735000.0,5755000.0,0.0,31000.0
,netCashUsedProvidedByFinancingActivities,506722000.0,859000.0,-43431000.0,22007000.0,1830000.0,-14052000.0,46731000.0,-15907000.0,-11705000.0,-18370000.0,-7614000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,419000.0,253000.0,944000.0,-117000.0,-75000.0,-278000.0,-2000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,202028000.0,15778000.0,-7989000.0,667000.0,28336000.0,2732000.0,2529000.0,1668000.0,-99000.0,-388000.0,176000.0
,cashAtEndOfPeriod,245764000.0,43736000.0,27958000.0,35947000.0,35280000.0,6944000.0,4212000.0,1683000.0,15000.0,114000.0,502000.0
,cashAtBeginningOfPeriod,43736000.0,27958000.0,35947000.0,35280000.0,6944000.0,4212000.0,1683000.0,15000.0,114000.0,502000.0,326000.0
,operatingCashFlow,82715000.0,74830000.0,65392000.0,48172000.0,38845000.0,30022000.0,32905000.0,22619000.0,17367000.0,21038000.0,10208000.0
,capitalExpenditure,-56744000.0,-53526000.0,-30203000.0,-16864000.0,-12024000.0,-10894000.0,-4625000.0,-3932000.0,-5763000.0,-3067000.0,-2425000.0
,freeCashFlow,25971000.0,21304000.0,35189000.0,31308000.0,26821000.0,19128000.0,28280000.0,18687000.0,11604000.0,17971000.0,7783000.0
