Date,2018-12-31,2017-12-31
Depreciation & Amortization,1851724.1379,1695078.0312
Stock-based compensation,904597.7011,333733.4934
Operating Cash Flow,-64460919.5402,-59851140.4562
Capital Expenditure,-3373563.2184,-3343337.3349
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,-1206896.5517,-195678.2713
Investing Cash flow,-4581609.1954,-3539015.6062
Issuance (repayment) of debt,-229885.0575,210903961.5846
Issuance (buybacks) of shares,42528.7356,44417.7671
Dividend payments,0.0,0.0
Financing Cash Flow,-7487356.3218,209301320.5282
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,-76528735.6322,145911164.4658
Free Cash Flow,-67834482.7586,-63194477.7911
Net Cash/Marketcap,,
