Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31
Revenue,3925400000.0,4026500000.0,3579000000.0,3159938000.0,2577203000.0,2108077000.0,1863239000.0,1622421000.0,1162132000.0
Revenue Growth,-0.0251,0.125,0.1326,0.2261,0.2225,0.1314,0.1484,0.3961,
Cost of Revenue,0.0,1903200000.0,1674200000.0,1478202000.0,1174665000.0,935441000.0,840597000.0,756735000.0,595995000.0
Gross Profit,3925400000.0,2123300000.0,1904800000.0,1681736000.0,1402538000.0,1172636000.0,1022642000.0,865686000.0,566137000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,1793800000.0,964600000.0,772000000.0,686318000.0,570339000.0,433751000.0,398875000.0,323787000.0,156509000.0
Operating Expenses,3586800000.0,1601800000.0,1336300000.0,1247326000.0,1087847000.0,819834000.0,717787000.0,622533000.0,391856000.0
Operating Income,338600000.0,521500000.0,568500000.0,434410000.0,314691000.0,352802000.0,304855000.0,243153000.0,174281000.0
Interest Expense,304900000.0,140600000.0,109500000.0,105736000.0,79701000.0,40902000.0,54572000.0,111535000.0,116020000.0
Earnings before Tax,-14900000.0,761100000.0,355000000.0,236123000.0,191469000.0,217332000.0,104463000.0,68549000.0,21037000.0
Income Tax Expense,-27700000.0,631000000.0,141800000.0,88177000.0,66177000.0,83760000.0,46853000.0,32309000.0,-956000.0
Net Income - Non-Controlling int,6800000.0,52600000.0,67700000.0,61283000.0,43698000.0,74568000.0,53148000.0,48570000.0,32924000.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,12800000.0,130100000.0,213200000.0,147946000.0,125292000.0,133572000.0,57610000.0,36240000.0,21993000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,12800000.0,130100000.0,213200000.0,147946000.0,125292000.0,133572000.0,57610000.0,36240000.0,21993000.0
EPS,0.04,0.81,1.37,1.02,0.88,0.96,0.5,0.4,0.25
EPS Diluted,0.04,0.8,1.32,0.95,0.75,0.87,0.47,0.4,0.25
Weighted Average Shs Out,,,,,,,,,
Weighted Average Shs Out (Dil),292992892.0,161293062.0,156043636.0,145044577.0,141936933.0,138836314.0,116258204.0,89515617.0,89515617.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,1.0,0.5273,0.5322,0.5322,0.5442,0.5563,0.5489,0.5336,0.4872
EBITDA Margin,0.353,0.303,0.205,0.196,0.199,0.21,0.172,0.207,0.213
EBIT Margin,0.0739,0.2239,0.1298,0.1082,0.1052,0.1225,0.0854,0.111,0.1179
Profit Margin,0.003,0.032,0.06,0.047,0.049,0.063,0.031,0.022,0.019
Free Cash Flow margin,0.1608,0.1674,0.1472,0.2034,0.19,0.1988,0.1297,0.1052,0.14
EBITDA,1385000000.0,1220200000.0,734600000.0,618801000.0,511972000.0,443687000.0,319573000.0,335410000.0,248021000.0
EBIT,290000000.0,901700000.0,464500000.0,341859000.0,271170000.0,258234000.0,159035000.0,180084000.0,137057000.0
Consolidated Income,19600000.0,182700000.0,280900000.0,209229000.0,168990000.0,208140000.0,110758000.0,84810000.0,54917000.0
Earnings Before Tax Margin,-0.0038,0.189,0.0992,0.0747,0.0743,0.1031,0.0561,0.0423,0.0181
Net Profit Margin,0.0033,0.0323,0.0596,0.0468,0.0486,0.0634,0.0309,0.0223,0.0189
