date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2015-09-30_FY,2015-06-30_FY,2015-03-31_FY,2014-12-31_FY,2014-09-30_FY,2014-06-30_FY,2014-03-31_FY,2013-12-31_FY,2013-06-30_FY,2013-03-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY,1993-06-30_FY,1992-06-30_FY,1991-06-30_FY,1990-06-30_FY,1989-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,74327000.0,53841000.0,84410000.0,52646000.0,59186000.0,-2504000.0,0.0,0.0,0.0,85181000.0,0.0,0.0,0.0,98446000.0,0.0,0.0,24555000.0,34450000.0,9834000.0,22945000.0,26790000.0,41265000.0,-5106000.0,16900000.0,56612000.0,63649000.0,51320000.0,38451000.0,8469000.0,19566000.0,26600000.0,21400000.0,16600000.0,14700000.0,12100000.0,7000000.0,2100000.0,1000000.0,0.0,-500000.0
,depreciationAndAmortization,23756000.0,9683000.0,10217000.0,10459000.0,11097000.0,13006000.0,0.0,0.0,0.0,12368000.0,0.0,0.0,0.0,12895000.0,0.0,0.0,5075000.0,5622000.0,5859000.0,5987000.0,5443000.0,5490000.0,9440000.0,3200000.0,13083000.0,1999000.0,9773000.0,4311000.0,4261000.0,4388000.0,-600000.0,-600000.0,-500000.0,-700000.0,200000.0,1000000.0,600000.0,600000.0,400000.0,300000.0
,deferredIncomeTax,27846000.0,-4068000.0,14772000.0,-3658000.0,23226000.0,-37329000.0,-0.0,-0.0,-0.0,24155000.0,-0.0,-0.0,-0.0,-11066000.0,-0.0,-0.0,-870000.0,-1363000.0,-10092000.0,-1782000.0,-9931000.0,1332000.0,-3448000.0,-4500000.0,982000.0,397000.0,76000.0,-1480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,2170000.0,2134000.0,1401000.0,1010000.0,1270000.0,1637000.0,0.0,0.0,0.0,1036000.0,0.0,0.0,0.0,1823000.0,0.0,0.0,1552000.0,1310000.0,1194000.0,742000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,8431723000.0,-2222926000.0,-100162000.0,12978000.0,607068000.0,-6017917000.0,-64215000.0,-207013000.0,6314093000.0,-6455263000.0,-70718000.0,-165675000.0,6957828000.0,-7462049000.0,50556000.0,7637251000.0,-5809525000.0,7250560000.0,-6888752000.0,6252552000.0,-303800000.0,-1618100000.0,131800000.0,-295700000.0,-478500000.0,-556000000.0,-515100000.0,-407200000.0,-219600000.0,-289100000.0,-267000000.0,-225600000.0,-864200000.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000.0
,accountsReceivables,-34136000.0,9992000.0,17204000.0,-30679000.0,-452000.0,458000.0,0.0,0.0,0.0,-3903000.0,0.0,0.0,0.0,-6235000.0,0.0,0.0,-1130000.0,8534000.0,4940000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1292000.0,0.0,0.0,0.0,-2155000.0,0.0,0.0,0.0,-1058000.0,582000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,2142294000.0,-6289429000.0,-4066503000.0,-3966341000.0,-3979319000.0,-4586387000.0,1431530000.0,1495745000.0,1702758000.0,-4611335000.0,1843928000.0,1914646000.0,2080321000.0,-4877507000.0,2584542000.0,2533986000.0,-5103265000.0,706260000.0,-6544300000.0,344452000.0,-5908100000.0,-5604300000.0,-3986200000.0,-4118000000.0,-3822300000.0,-3343800000.0,-2787800000.0,-2272700000.0,-1865500000.0,-1645900000.0,-1356800000.0,-1089800000.0,-864200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,-236756000.0,-30290000.0,-67763000.0,-41786000.0,-95987000.0,-66161000.0,0.0,0.0,0.0,-13577000.0,0.0,0.0,0.0,-90541000.0,0.0,0.0,-64347000.0,-193823000.0,-129305000.0,13250000.0,70138000.0,-6134000.0,-47767000.0,3800000.0,-72883000.0,-86029000.0,-106491000.0,-114106000.0,119822000.0,31252000.0,15200000.0,14100000.0,900000.0,13900000.0,-14100000.0,-22500000.0,5800000.0,1500000.0,3200000.0,3000000.0
,netCashProvidedByOperatingActivites,-88621000.0,109617000.0,133355000.0,151440000.0,78512000.0,97082000.0,0.0,0.0,0.0,175000000.0,0.0,0.0,0.0,173816000.0,0.0,0.0,50240000.0,-34291000.0,-23903000.0,-43994000.0,-14502000.0,-38867000.0,-58819000.0,11300000.0,-24186000.0,-42523000.0,-50857000.0,-14740000.0,73984000.0,38736000.0,51900000.0,7900000.0,-16900000.0,19800000.0,-2400000.0,-11000000.0,6400000.0,1700000.0,5300000.0,3100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-15263000.0,-12966000.0,-11491000.0,-6469000.0,-5297000.0,-5283000.0,-5000000.0,-5000000.0,-5000000.0,-7909000.0,-8000000.0,-8000000.0,-8000000.0,-9120000.0,-8000000.0,-8000000.0,-1927000.0,-3081000.0,-9974000.0,-4636000.0,0.0,0.0,0.0,-2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
