Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31,2010-12-31,2009-12-31
Revenue,606710.0,569160.0,1000000.0,786660.0,1000000.0,292000.0,0000000.0,0.0,000000.0,0.0,000000.0,311493.0,0.0,0.0,0.0
Revenue Growth,0.066,-0.2765,,1.694,,0.0,,0.0,,-1.0,,0.0,0.0,0.0,0.0
Cost of Revenue,164299.0,333276.0,1000000.0,431476.0,0000000.0,125047.0,0000000.0,0.0,000000.0,0.0,000000.0,231520.0,0.0,0.0,0.0
Gross Profit,442411.0,235884.0,0000000.0,355184.0,0000000.0,166953.0,0000000.0,0.0,000000.0,0.0,000000.0,79973.0,0.0,0.0,0.0
R&D Expenses,5722117.0,5441189.0,6000000.0,5169286.0,5000000.0,8141323.0,8000000.0,11031619.0,11000000.0,11075493.0,11000000.0,10668044.0,16673238.0,8498857.0,15580746.0
SG&A Expense,19261680.0,22848922.0,26000000.0,17981525.0,18000000.0,19892424.0,20000000.0,14561656.0,15000000.0,13658824.0,14000000.0,11960893.0,8583347.0,7678259.0,8631597.0
Operating Expenses,38988370.0,28290111.0,32000000.0,23150811.0,23000000.0,28033747.0,28000000.0,25593275.0,26000000.0,24734317.0,25000000.0,22628937.0,25256585.0,16177116.0,24212343.0
Operating Income,-38545959.0,-28054227.0,-31000000.0,-22795627.0,-23000000.0,-27866794.0,-28000000.0,-25593275.0,-26000000.0,-24734317.0,-25000000.0,-22548964.0,-25256585.0,-16177116.0,-24212343.0
Interest Expense,12378.0,2808.0,0000000.0,4104003.0,4000000.0,939182.0,1000000.0,530222.0,1000000.0,932364.0,1000000.0,901835.0,722859.0,1258406.0,4104300.0
Earnings before Tax,-84598283.0,-36132583.0,-36000000.0,-23360844.0,-23000000.0,-25498747.0,-25000000.0,-26128720.0,-26000000.0,-25780659.0,-26000000.0,-23460103.0,-25997322.0,-17347387.0,-31929200.0
Income Tax Expense,-3446708.0,-2314611.0,-2000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,000000.0,0.0,0.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,45884552.0,3353650.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income,-81151575.0,-33817972.0,-34000000.0,-23360844.0,-23000000.0,-25498747.0,-25000000.0,-26128720.0,-26000000.0,-25780659.0,-26000000.0,-23460103.0,-25997322.0,-17347387.0,-31929200.0
Preferred Dividends,3078982.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Net Income Com,-84230557.0,-33817972.0,-34000000.0,-23360844.0,-23000000.0,-25498747.0,-25000000.0,-26128720.0,-26000000.0,-25780659.0,-26000000.0,-23460103.0,-25997322.0,-17347387.0,-31929200.0
EPS,-9037.236,-773133.093,-6446.84,-9457550.543,-17928.51,-75340364.661,0,-101870898.131,0,-124009075.993,0,-156113843.889,-227555772.449,-545075454.935,-1698730301.3
EPS Diluted,-9037.236,-773133.093,-6446.84,-9457550.543,-17928.51,-75340364.661,0,-101870898.131,0,-124009075.993,0,-156113843.889,-227555772.449,-545075454.935,-1698730301.3
Weighted Average Shs Out,7966.0,86.0,0000000.0,6.0,0000000.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Weighted Average Shs Out (Dil),9320.0,44.0,0000000.0,2.0,0000000.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Dividend per Share,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0
Gross Margin,0.7292,0.4144,0,0.4515,0,0.5718,,0.0,,0.0,,0.2567,0.0,0.0,0.0
EBITDA Margin,-138.691,-63.008,-35,-24.302,-19,-83.459,,-71.691,,,,,,,
EBIT Margin,-139.4174,-63.4791,-36,-24.4792,-19,-84.1081,,0.0,,0.0,,-72.4198,0.0,0.0,0.0
Profit Margin,-138.832,-59.417,-34,-29.696,-23,-87.324,,-75.315,,,,,,,
Free Cash Flow margin,-45.3919,-43.4418,,-26.2754,,-77.5512,,0.0,,0.0,,-72.4118,0.0,0.0,0.0
EBITDA,-84145348.0,-35861620.0,-35000000.0,-19117265.0,-19000000.0,-24370074.0,-24000000.0,-25409594.0,-25000000.0,-24673666.0,-25000000.0,-22331278.0,-24970491.0,-15713225.0,-27400546.0
EBIT,-84585905.0,-36129775.0,-36000000,-19256841.0,-19000000,-24559565.0,-24000000,-25598498.0,-25000000,-24848295.0,-25000000,-22558268.0,-25274463.0,-16088981.0,-27824900.0
Consolidated Income,-81151575.0,-33817972.0,-34000000.0,-23360844.0,-23000000.0,-25498747.0,-25000000.0,-26128720.0,-26000000.0,-25780659.0,-26000000.0,-23460103.0,-25997322.0,-17347387.0,-31929200.0
Earnings Before Tax Margin,-139.4378,-63.4841,-36,-29.6962,-23,-87.3245,,0.0,,0.0,,-75.315,0.0,0.0,0.0
Net Profit Margin,-133.7568,-59.4173,-34,-29.6962,-23,-87.3245,,0.0,,0.0,,-75.315,0.0,0.0,0.0
