date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY
,revenue,11581496.0,6670604.0,8094368.0,5537753.0,2127378.0,2749984.0,3032076.0,2389053.0,3228228.0,13054296.0,12255414.0,11886098.0,12489884.0,10150000.0,9540000.0
,costOfRevenue,19307774.0,11078725.0,6326086.0,6214351.0,3290966.0,2183798.0,2101911.0,1582095.0,2341026.0,8314367.0,8452769.0,7609091.0,8788905.0,6780000.0,5770000.0
,grossProfit,1927609.0,-4408121.0,1768282.0,-676598.0,-1163588.0,566186.0,930165.0,806958.0,887202.0,4739929.0,3802645.0,4277007.0,3700979.0,3360000.0,3770000.0
,grossProfitRatio,0.166438688058952,-0.660827865062894,0.218458315707909,-0.122179158225367,-0.54695874452025,0.205887016069912,0.306774962105172,0.33777316786191,0.27482631338307,0.363093421506606,0.310282867637111,0.359832722227261,0.296318124331659,0.331034482758621,0.39517819706499
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,7568074.0,8900837.0,10378728.0,6706690.0,6947878.0,3595437.0,1752560.0,1751397.0,1153403.0,2122359.0,2038613.0,2217627.0,3366518.0,2370000.0,1280000.0
,GeneralAndAdministrativeExpenses,6915213.0,6600092.0,6973238.0,6126335.0,5114139.0,6120101.0,2593384.0,2165341.0,2181310.0,2590636.0,2860585.0,2354573.0,2299685.0,3640000.0,2750000.0
,SellingAndMarketingExpenses,4039772.0,4215611.0,4822639.0,3694913.0,3394580.0,1798041.0,1232520.0,1091514.0,1225154.0,2091512.0,2286475.0,2143628.0,2128625.0,0.0,0.0
,otherExpenses,2532014.0,89872.0,-14919.0,0.0,-714322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,21055073.0,22268390.0,23702186.0,17554829.0,16279536.0,11948852.0,5941200.0,5474366.0,5028684.0,7273330.0,7630031.0,7238285.0,8304961.0,6280000.0,4310000.0
,costAndExpenses,40362847.0,33347115.0,30028272.0,23769180.0,19570502.0,14132650.0,8043111.0,7056461.0,7369710.0,15587697.0,16082800.0,14847376.0,17093866.0,13060000.0,10080000.0
,interestExpense,0.0,0.0,19332.0,243994.0,617945.0,907191.0,585655.0,503779.0,509925.0,996044.0,433116.0,297200.0,260977.0,-240000.0,-180000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,2458.482,2441581.0,1469664.0,998528.0,770668.0,380841.0,279317.0,377840.0,468817.0,468823.0,444358.0,522457.0,510133.0,370000.0,280000.0
