date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,308100000.0,46400000.0,88000000.0,28000000.0,28237000.0,-202960000.0,81864000.0,83176000.0,71295000.0,44076000.0,20160000.0,61011000.0,78924000.0,44156000.0,26895000.0,-506000.0,22600000.0,-7054000.0,-130785000.0,-5158000.0,2155000.0,-36280000.0,28215000.0,22627000.0,15029000.0,7100000.0,-1500000.0,800000.0,6800000.0,4600000.0,3800000.0,3600000.0
,depreciationAndAmortization,85200000.0,78800000.0,50800000.0,41900000.0,37509000.0,45448000.0,43176000.0,40389000.0,32196000.0,27915000.0,23577000.0,21412000.0,21313000.0,20352000.0,22449000.0,4396000.0,8490000.0,9832000.0,11709000.0,18187000.0,17864000.0,16909000.0,7026000.0,3511000.0,2708000.0,-2700000.0,-2700000.0,-2100000.0,-1900000.0,1400000.0,500000.0,500000.0
,deferredIncomeTax,1000000.0,-16200000.0,5000000.0,-29800000.0,-2583000.0,-24403000.0,-248000.0,-1607000.0,-4518000.0,-2491000.0,-9345000.0,-1751000.0,-5486000.0,-6557000.0,-7931000.0,-2343000.0,2103000.0,5626000.0,10183000.0,-636000.0,2027000.0,-5449000.0,943000.0,-817000.0,-961000.0,-800000.0,-800000.0,-100000.0,0.0,-600000.0,100000.0,400000.0
,stockBasedCompensation,8900000.0,9000000.0,4900000.0,11100000.0,10679000.0,11325000.0,9420000.0,9989000.0,7461000.0,5433000.0,4933000.0,3279000.0,3134000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-227100000.0,200000.0,48700000.0,-145043000.0,66252000.0,8346000.0,166706000.0,-132510000.0,-49487000.0,97223000.0,-35554000.0,59603000.0,56511000.0,62959000.0,22811000.0,5482000.0,820000.0,264944000.0,-258939000.0,10384000.0,-4195000.0,26935000.0,-13974000.0,24479000.0,-3353000.0,500000.0,-4300000.0,4300000.0,15100000.0,-1900000.0,2300000.0,1100000.0
,accountsReceivables,-10100000.0,23600000.0,25500000.0,-37100000.0,43618000.0,7195000.0,43079000.0,-69287000.0,3422000.0,-33095000.0,-2614000.0,15217000.0,2505000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6700000.0,-4700000.0,-1900000.0,1400000.0,-9000000.0,0.0,0.0
,inventory,-34900000.0,9400000.0,-14100000.0,-11700000.0,25679000.0,11988000.0,-8150000.0,-12679000.0,-15777000.0,-31628000.0,-13717000.0,25221000.0,-8296000.0,-11122000.0,-15366000.0,2812000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3800000.0,3300000.0,-400000.0,2400000.0,-3400000.0,0.0,0.0
,accountsPayables,62800000.0,-20900000.0,-10200000.0,-1500000.0,-11078000.0,-16293000.0,11660000.0,-5259000.0,2936000.0,17889000.0,10505000.0,-16567000.0,-12987000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0,3900000.0,-2800000.0,-400000.0,-3500000.0,0.0,0.0
,otherWorkingCapital,68200000.0,295300000.0,295100000.0,246400000.0,391443000.0,325191000.0,316845000.0,150139000.0,282649000.0,332136000.0,234913000.0,270467000.0,210864000.0,154353000.0,91394000.0,68583000.0,63101000.0,62281000.0,-202663000.0,56276000.0,45892000.0,50087000.0,23152000.0,37126000.0,12647000.0,16000000.0,15500000.0,19800000.0,15500000.0,400000.0,2300000.0,0.0
,otherNonCashItems,8800000.0,11500000.0,7900000.0,16400000.0,15041000.0,13562000.0,11884000.0,15674000.0,12184000.0,4428000.0,3236000.0,1999000.0,-6367000.0,9029000.0,1907000.0,9340000.0,3957000.0,11810000.0,104899000.0,2466000.0,460000.0,22255000.0,1045000.0,666000.0,602000.0,5400000.0,5400000.0,4100000.0,3800000.0,1300000.0,1300000.0,400000.0
,netCashProvidedByOperatingActivites,172700000.0,133900000.0,88800000.0,47000000.0,170814000.0,101989000.0,118717000.0,59663000.0,87641000.0,81658000.0,38574000.0,86926000.0,97812000.0,82507000.0,36398000.0,18742000.0,35059000.0,24454000.0,8890000.0,13273000.0,14646000.0,-5282000.0,30934000.0,22428000.0,32862000.0,8800000.0,6800000.0,-3800000.0,3700000.0,5400000.0,6200000.0,6000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,-11043000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19028000.0,-22253000.0,-5601000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3578000.0,0.0,-1300000.0,-1400000.0,-1800000.0,-900000.0,-600000.0,-200000.0
,acquisitionsNet,0.0,-604000000.0,-92000000.0,-446000000.0,-1000000.0,-25000000.0,-12000000.0,-3000000.0,-182000000.0,-38000000.0,-48000000.0,-18000000.0,-19000000.0,0.0,-16000000.0,-12000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-50800000.0,-3300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32264000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32264000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2700000.0,0.0,0.0,0.0
