date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY
,revenue,4438000000.0,4986000000.0,4060000000.0,3389000000.0,3043000000.0,4931000000.0,4809000000.0,4037000000.0,3568000000.0,3022000000.0,2313000000.0,3901000000.0,3272030000.0,2940082000.0,2186723000.0,1351176000.0,1010986000.0,1443728000.0,1576800000.0,1381286000.0,886700000.0,893600000.0,1091000000.0,878300000.0,440800000.0,350100000.0
,costOfRevenue,3765000000.0,3427000000.0,3194000000.0,3537000000.0,3093000000.0,2717000000.0,2418000000.0,2043000000.0,897000000.0,815000000.0,669000000.0,887000000.0,593233000.0,622532000.0,572957000.0,322271000.0,360179000.0,1020470000.0,993522000.0,768300000.0,477200000.0,522100000.0,553100000.0,423600000.0,216400000.0,163900000.0
,grossProfit,673000000.0,1559000000.0,866000000.0,-148000000.0,-50000000.0,2214000000.0,2391000000.0,1994000000.0,2671000000.0,2207000000.0,1644000000.0,3014000000.0,2678797000.0,2317550000.0,1613766000.0,1028905000.0,650807000.0,423258000.0,583278000.0,612986000.0,409500000.0,371500000.0,537900000.0,454700000.0,224400000.0,186200000.0
,grossProfitRatio,0.151644885083371,0.312675491375852,0.213300492610837,-0.0436706993213337,-0.0164311534669734,0.448996146826202,0.497192763568309,0.493931136982908,0.74859865470852,0.730311052283256,0.710765239948119,0.772622404511664,0.81869573322983,0.788260327433044,0.737983731821543,0.761488510749155,0.643734928080112,0.293170181640863,0.369912480974125,0.443779202858785,0.461824743430698,0.415734109221128,0.493033913840513,0.517704656723215,0.509074410163339,0.531848043416167
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,416000000.0,385000000.0,415000000.0,399000000.0,484000000.0,503000000.0,433000000.0,384000000.0,341000000.0,277000000.0,237000000.0,236000000.0,206378000.0,164541000.0,118043000.0,163815000.0,111580000.0,47664000.0,44164000.0,47291000.0,47900000.0,48100000.0,50500000.0,51600000.0,36500000.0,36400000.0
,SellingAndMarketingExpenses,34000000.0,40000000.0,47000000.0,58000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-181000000.0,-19000000.0,-33000000.0,-79000000.0,-22000000.0,-12000000.0,-64000000.0,-31000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,661000000.0,529000000.0,650000000.0,1382000000.0,1011000000.0,1001000000.0,848000000.0,793000000.0,1367000000.0,1111000000.0,1098000000.0,1075000000.0,1047906000.0,787149000.0,508587000.0,472670000.0,420923000.0,332950000.0,328180000.0,294166000.0,312000000.0,369200000.0,359000000.0,291000000.0,243900000.0,171700000.0
