Date,2018-12-31,2017-12-31,2016-12-31
Revenue,191359000.0,138580000.0,101325000.0
Revenue Growth,0.380855823351133,0.367678263015051,
Cost of Revenue,124398000.0,94306000.0,78159000.0
Gross Profit,66961000.0,44274000.0,23166000.0
R&D Expenses,21054000.0,15123000.0,15239000.0
SG&A Expense,28844000.0,19353000.0,17265000.0
Operating Expenses,49898000.0,34476000.0,32504000.0
Operating Income,17063000.0,9798000.0,-9338000.0
Interest Expense,0.0,1269000.0,2229000.0
Earnings before Tax,17538000.0,6695000.0,-12320000.0
Income Tax Expense,3600000.0,4858000.0,1882000.0
Net Income - Non-Controlling int,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0
Net Income,13938000.0,1837000.0,-14202000.0
Preferred Dividends,0.0,1837000.0,0.0
Net Income Com,13938000.0,0.0,-14202000.0
EPS,0.38,0.0,-5.68
EPS Diluted,0.32,0.0,-5.68
Weighted Average Shs Out,24862000.0,33621000.0,33621000.0
Weighted Average Shs Out (Dil),29959000.0,2735000.0,2500000.0
Dividend per Share,1.13488434193e-08,0.0,0.0
Gross Margin,0.349923442326,0.3195,0.2286
EBITDA Margin,0.132478744141,0.115,-0.02
EBIT Margin,0.0891674810174,0.0575,-0.0996
Profit Margin,0.0728369190893,0.0,-0.14
Free Cash Flow margin,-0.0437868090866,-0.0149,0.0191
EBITDA,25351000.0,15886000.0,-1992000.0
EBIT,17063000.0,7964000.0,-10091000.0
Consolidated Income,13938000.0,1837000.0,-14202000.0
Earnings Before Tax Margin,0.0916497264304,0.0483,-0.1216
Net Profit Margin,0.0728369190893,0.0133,-0.1402
