date,,2020-12-26_FY,2019-12-28_FY,2018-12-29_FY,2017-12-30_FY,2016-12-31_FY,2016-02-24_FY,2015-12-26_FY,2014-12-27_FY,2013-12-28_FY,2012-12-29_FY,2011-12-31_FY,2010-12-25_FY,2009-12-26_FY,2008-12-27_FY,2007-12-29_FY,2006-12-30_FY,2005-12-31_FY,2004-12-25_FY,2003-12-27_FY,2002-12-28_FY,2001-12-29_FY,2000-12-30_FY,1999-12-25_FY,1998-12-26_FY,1997-12-27_FY,1996-12-28_FY,1995-12-30_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,4887000.0,100972000.0,104459000.0,85598000.0,99727000.0,175171000.0,87864000.0,101600000.0,172600000.0,82400000.0,86321000.0,86200000.0,4700000.0,80800000.0,115500000.0,148900000.0,92542000.0,79400000.0,45400000.0,78000000.0,67000000.0,92700000.0,99300000.0,75400000.0,69800000.0,61200000.0,44800000.0,27900000.0,21100000.0,16600000.0,-43700000.0,56700000.0
,depreciationAndAmortization,44843000.0,42693000.0,39555000.0,33944000.0,35133000.0,34608000.0,34608000.0,33700000.0,32300000.0,31500000.0,36865000.0,40400000.0,41600000.0,44400000.0,44100000.0,41900000.0,40858000.0,40600000.0,38900000.0,37500000.0,42100000.0,37500000.0,37000000.0,24900000.0,21000000.0,18500000.0,15500000.0,12700000.0,14200000.0,12500000.0,13300000.0,13300000.0
,deferredIncomeTax,0.0,-428000.0,170000.0,-3160000.0,6998000.0,-0.0,-15818000.0,-6500000.0,19200000.0,-1300000.0,-4190000.0,-6600000.0,-2600000.0,-4500000.0,3100000.0,-19300000.0,-9556000.0,2700000.0,-300000.0,9700000.0,15800000.0,8900000.0,31300000.0,4900000.0,2800000.0,4100000.0,7100000.0,4700000.0,9000000.0,3000000.0,0.0,0.0
,stockBasedCompensation,0.0,8744000.0,8035000.0,7450000.0,6387000.0,0.0,0.0,6265000.0,5704000.0,6136000.0,3482000.0,2877000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,26233000.0,-10332000.0,-27046000.0,-178468000.0,84359000.0,0.0,-112128000.0,47700000.0,166900000.0,-324955000.0,96255000.0,91800000.0,72200000.0,-52000000.0,84500000.0,160106000.0,86094000.0,-182400000.0,63000000.0,91500000.0,15000000.0,-200000.0,47900000.0,31200000.0,12800000.0,52600000.0,26700000.0,-27100000.0,22600000.0,58300000.0,-25200000.0,-8200000.0
,accountsReceivables,0.0,6505000.0,-11342000.0,-1779000.0,0.0,0.0,23529000.0,-21432000.0,19383000.0,-23690000.0,0.0,46494000.0,0.0,0.0,-41300000.0,-33300000.0,0.0,-38400000.0,-30600000.0,16400000.0,3400000.0,15700000.0,-12300000.0,-26700000.0,-40000000.0,-5200000.0,-16800000.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,39561000.0,27512000.0,-86286000.0,6662000.0,0.0,17222000.0,1381000.0,5963000.0,-4834000.0,-15678000.0,17248000.0,0.0,0.0,-10400000.0,-61600000.0,-5979000.0,-47400000.0,2500000.0,-16400000.0,15700000.0,-22700000.0,15100000.0,-36500000.0,-21600000.0,-10200000.0,8000000.0,-20800000.0,16500000.0,12700000.0,15400000.0,14500000.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,12649000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44400000.0,28100000.0,0.0,-37600000.0,-1100000.0,-6800000.0,9500000.0,6300000.0,-3400000.0,-16100000.0,-12200000.0,-1400000.0,4700000.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,485718000.0,459485000.0,469817000.0,496863000.0,675331000.0,590972000.0,590972000.0,703100000.0,655400000.0,488500000.0,813455000.0,717200000.0,625400000.0,553200000.0,605200000.0,520700000.0,360594000.0,274500000.0,456900000.0,393900000.0,302400000.0,287400000.0,287600000.0,239700000.0,208500000.0,195700000.0,143100000.0,116400000.0,143500000.0,120900000.0,62600000.0,87800000.0
,otherNonCashItems,0.0,36318000.0,19370000.0,9681000.0,519000.0,0.0,-9241000.0,-100000.0,-106900000.0,19000000.0,10000000.0,-8600000.0,34100000.0,4800000.0,2300000.0,5100000.0,2734000.0,33300000.0,4000000.0,14800000.0,1800000.0,1600000.0,-300000.0,-1900000.0,-3300000.0,-100000.0,-1800000.0,-2400000.0,2000000.0,2200000.0,0.0,100000.0
,netCashProvidedByOperatingActivites,0.0,200544000.0,167892000.0,43995000.0,157777000.0,0.0,159609000.0,90600000.0,128500000.0,108300000.0,153749000.0,56400000.0,77400000.0,185800000.0,185800000.0,64500000.0,109441000.0,154800000.0,73700000.0,125700000.0,125800000.0,118500000.0,164800000.0,98900000.0,52900000.0,78700000.0,55000000.0,22000000.0,51000000.0,38700000.0,5600000.0,-30200000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-31162000.0,-38481000.0,-46131000.0,-37497000.0,0.0,-28834000.0,-39173000.0,-41349000.0,-56825000.0,-18751000.0,-18678000.0,-13900000.0,-22300000.0,-29900000.0,-41200000.0,-18449000.0,-20000000.0,-27200000.0,-23300000.0,-49100000.0,-63500000.0,-40100000.0,-55400000.0,-36900000.0,-18900000.0,-41000000.0,-48200000.0,-11100000.0,-11000000.0,-11800000.0,-10000000.0
,acquisitionsNet,-73000000.0,3465000.0,-167677000.0,-18396000.0,-21000000.0,-21000000.0,-106000000.0,-30137000.0,-55276000.0,-11561000.0,-7000000.0,-2000000.0,0.0,0.0,-32000000.0,4000000.0,-7000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-1763000.0,-33562000.0,0.0,0.0,-0.0,0.0,0.0,0.0,-427446000.0,0.0,-418000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
