date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY
,revenue,736900000.0,735979000.0,720035000.0,702737000.0,665634000.0,604671000.0,608468000.0,556810000.0,516102000.0,482852000.0,463321000.0,454026000.0,461003000.0,437059000.0,416798000.0,410701000.0,464724000.0,422062000.0,454220000.0,540615000.0,566431000.0,584935000.0,514187000.0,274470000.0,137926000.0,73500000.0
,costOfRevenue,231825000.0,248511000.0,242415000.0,236888000.0,231085000.0,215941000.0,225504000.0,203344000.0,187434000.0,176148000.0,164388000.0,164255000.0,165733000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,505075000.0,487468000.0,477620000.0,465849000.0,434549000.0,388730000.0,382964000.0,353466000.0,328668000.0,306704000.0,298933000.0,289771000.0,295270000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.685405075315511,0.66233955044913,0.663328865957905,0.662906606596778,0.65283474101383,0.642878524023808,0.629390534917202,0.634805409385607,0.636827603845751,0.635192564181157,0.64519631098094,0.638225564174739,0.640494747322686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,41031000.0,44067000.0,40006000.0,39648000.0,38153000.0,37642000.0,36223000.0,37193000.0,37377000.0,35727000.0,32948000.0,36682000.0,38043000.0,41570000.0,37309000.0,33063000.0,41761000.0,24815000.0,24576000.0,21404000.0,21864000.0,22345000.0,20776000.0,10216000.0,5666000.0,2700000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-1707000.0,-2510000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,282616000.0,298571000.0,269961000.0,267480000.0,258293000.0,239560000.0,232246000.0,214150000.0,193695000.0,178746000.0,168741000.0,167730000.0,164810000.0,321795000.0,308436000.0,302068000.0,343879000.0,301420000.0,297328000.0,276009000.0,279210000.0,286422000.0,246028000.0,124276000.0,57408000.0,-28100000.0
,costAndExpenses,514441000.0,547082000.0,512376000.0,504368000.0,489378000.0,455501000.0,457750000.0,417494000.0,381129000.0,354894000.0,333129000.0,331985000.0,330543000.0,321795000.0,308436000.0,302068000.0,343879000.0,301420000.0,297328000.0,276009000.0,279210000.0,286422000.0,246028000.0,124276000.0,57408000.0,-28100000.0
,interestExpense,80962000.0,81648000.0,71422000.0,69105000.0,76648000.0,86052000.0,85852000.0,92703000.0,96114000.0,95999000.0,93372000.0,86872000.0,98492000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,241585000.0,254504000.0,229955000.0,227832000.0,220140000.0,201918000.0,196023000.0,176957000.0,156318000.0,143019000.0,135793000.0,131048000.0,126767000.0,122172000.0,114935000.0,114493000.0,132417000.0,129225000.0,126638000.0,121067000.0,119443000.0,112347000.0,91705000.0,47533000.0,22095000.0,12700000.0
