date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY
,revenue,2393714000.0,2222107000.0,2136074000.0,1988454000.0,1902225000.0,1463065000.0,1036027000.0,1011816000.0,953951000.0,887466000.0,689217000.0,759790000.0,1217200000.0,1164022000.0,1081703000.0,705843000.0,629016000.0,714209000.0,775683000.0,517794000.0,230766000.0
,costOfRevenue,1601936000.0,1478642000.0,1439691000.0,1344035000.0,1282501000.0,993702000.0,719910000.0,714536000.0,683554000.0,638147000.0,497691000.0,555369000.0,900211000.0,860857000.0,792415000.0,535608000.0,484654000.0,552052000.0,586900000.0,388284000.0,170608000.0
,grossProfit,791778000.0,743465000.0,696383000.0,644419000.0,619724000.0,469363000.0,316117000.0,297280000.0,270397000.0,249319000.0,191526000.0,204421000.0,316989000.0,303165000.0,289288000.0,170235000.0,144362000.0,162157000.0,188783000.0,129510000.0,60158000.0
,grossProfitRatio,0.330773851846963,0.334576597796596,0.32601070936681,0.324080416242971,0.325789010238011,0.320808029718434,0.305124287301393,0.293808360413356,0.283449569212674,0.280933579427268,0.277889256939396,0.269049342581503,0.260424745317121,0.260446108406886,0.267437549863502,0.241179695768039,0.229504495911074,0.22704418454542,0.24337648240325,0.250118773102817,0.260688316303095
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,549747000.0,508030000.0,452318000.0,399700000.0,398472000.0,319531000.0,232221000.0,218233000.0,202904000.0,195348000.0,168128000.0,157241000.0,230656000.0,218250000.0,205499000.0,117326000.0,102186000.0,93374000.0,98679000.0,103364000.0,54607000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,642513000.0,566550000.0,493555000.0,431979000.0,428092000.0,340484000.0,248214000.0,231778000.0,217055000.0,211672000.0,183212000.0,171053000.0,245095000.0,230824000.0,215824000.0,123505000.0,108023000.0,98193000.0,102518000.0,113032000.0,57910000.0
,costAndExpenses,2244449000.0,2045192000.0,1933246000.0,1776014000.0,1710593000.0,1334186000.0,968124000.0,946314000.0,900609000.0,849819000.0,680903000.0,726422000.0,1145306000.0,1091681000.0,1008239000.0,659113000.0,592677000.0,650245000.0,689418000.0,501316000.0,228518000.0
,interestExpense,57742000.0,28427000.0,16143000.0,19677000.0,15465000.0,7790000.0,9237000.0,9665000.0,26019000.0,23727000.0,19771000.0,11955000.0,10690000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,92766000.0,58520000.0,41237000.0,32279000.0,29620000.0,20953000.0,15993000.0,13545000.0,14151000.0,16324000.0,15084000.0,13812000.0,14439000.0,11674000.0,10325000.0,6179000.0,5837000.0,4819000.0,3839000.0,7713000.0,3303000.0
,EBITDA,242031000.0,235435000.0,244065000.0,244719000.0,221252000.0,149832000.0,83896000.0,79047000.0,67493000.0,53971000.0,23398000.0,47180000.0,86333000.0,84015000.0,83789000.0,52909000.0,42176000.0,68783000.0,90104000.0,24191000.0,5551000.0
