date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,4881000000.0,-2180000000.0,6896000000.0,5521000000.0,3976000000.0,-12620000000.0,353000000.0,406000000.0,5254000000.0,22652000000.0,17453000000.0,5456000000.0,13218000000.0,11825000000.0,6528000000.0,4841000000.0,2573000000.0,1548000000.0,680000000.0,1287000000.0,1086000000.0
,depreciationAndAmortization,0.0,3726000000.0,3351000000.0,3708000000.0,3487000000.0,4029000000.0,4288000000.0,4150000000.0,4396000000.0,4122000000.0,3260000000.0,2722000000.0,2807000000.0,2186000000.0,997000000.0,619000000.0,399000000.0,238000000.0,214000000.0,212000000.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,-5489000000.0,149000000.0,-953000000.0,-799000000.0,-265000000.0,-1291000000.0,16000000.0,-803000000.0,-700000000.0,298000000.0,126000000.0,316000000.0,207000000.0,-161000000.0,-172000000.0,-42000000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-3229000000.0,5129000000.0,0.0,70000000.0,-156000000.0,-7203000000.0,-2707000000.0,-145000000.0,-5898000000.0,3383000000.0,-95000000.0,-2568000000.0,8728000000.0,-1937000000.0,5492000000.0,615000000.0,1021000000.0,0.0,-78000000.0,-27000000.0,-87000000.0
,accountsReceivables,-2540000000.0,-25000000.0,-156000000.0,1277000000.0,-2744000000.0,1671000000.0,2546000000.0,608000000.0,1900000000.0,-821000000.0,-3800000000.0,616000000.0,-466000000.0,102000000.0,36000000.0,-416000000.0,-98000000.0,37000000.0,0.0,0.0,0.0
,inventory,-180000000.0,110000000.0,-817000000.0,-339000000.0,288000000.0,-304000000.0,-535000000.0,346000000.0,-296000000.0,-1343000000.0,-425000000.0,530000000.0,-467000000.0,-343000000.0,859000000.0,-138000000.0,-216000000.0,-22000000.0,-69000000.0,-40000000.0,-50000000.0
,accountsPayables,-267000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-242000000.0,5762000000.0,633000000.0,633000000.0,563000000.0,719000000.0,7922000000.0,10629000000.0,10774000000.0,16672000000.0,13289000000.0,13384000000.0,15952000000.0,7224000000.0,9161000000.0,3669000000.0,3054000000.0,2033000000.0,0.0,0.0,27000000.0
,otherNonCashItems,3968000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272000000.0
,netCashProvidedByOperatingActivites,14322000000.0,12110000000.0,12901000000.0,12450000000.0,6401000000.0,4491000000.0,12807000000.0,14542000000.0,16595000000.0,24496000000.0,19669000000.0,7136000000.0,17114000000.0,11012000000.0,7232000000.0,5161000000.0,3471000000.0,1757000000.0,2102000000.0,1518000000.0,1424000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,-3807000000.0,-3831000000.0,-4951000000.0,-8371000000.0,-11813000000.0,-13105000000.0,-15777000000.0,-16075000000.0,-12647000000.0,-8096000000.0,-8972000000.0,-6651000000.0,-4431000000.0,-3957000000.0,-2265000000.0,-1543000000.0,-766000000.0,-595000000.0,-447000000.0
,acquisitionsNet,0.0,-926000000.0,0.0,0.0,0.0,-346000000.0,-278000000.0,-763000000.0,-437000000.0,-230000000.0,-6252000000.0,-1952000000.0,0.0,-2926000000.0,-2552000000.0,-737000000.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-955000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1000000.0,-338000000.0,-706000000.0
,salesMaturitiesOfInvestments,630000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989000000.0,76000000.0
,otherInvestingActivites,-87000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-84000000.0,-74000000.0,-90000000.0
,netCashUsedForInvestingActivites,-4669000000.0,-6989000000.0,159000000.0,-3358000000.0,-4417000000.0,-6159000000.0,-9968000000.0,-9842000000.0,-15347000000.0,-14069000000.0,-17184000000.0,-13159000000.0,-11401000000.0,-9006000000.0,-16954000000.0,-4658000000.0,-1786000000.0,-2000000000.0,-889000000.0,-531000000.0,-1489000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-6283000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2132000000.0,-1254000000.0,-1311000000.0,-5040000000.0,-4233000000.0,-86000000.0,-60000000.0,-38000000.0,0.0,0.0,-444000000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27000000.0,0.0
,dividendsPaid,-3350000000.0,-353000000.0,-245000000.0,-227000000.0,-193000000.0,-318000000.0,-568000000.0,-834000000.0,-460000000.0,-1038000000.0,-1161000000.0,-386000000.0,-513000000.0,-394000000.0,-516000000.0,-489000000.0,-200000000.0,-197000000.0,0.0,0.0,-246000000.0
