Date,2018-12-31,2017-12-31,2017-12,2016-12-31,2016-12,2015-12-31,2015-12,2014-12-31,2014-12,2013-12-31,2013-12,2012-12-31,2011-12-31,2010-12-31
Revenue,22654255.3191,0.0,783000000.0,0.0,328000000.0,378503.4713,439000000.0,5738179.9695,524000000.0,565793.2623,490000000.0,8140139.3355,594183.9141,248464860.2879
Revenue Growth,0.0,0.0,,-1.0,,-0.934,,9.1418,,-0.9305,,12.6997,-0.9976,
Cost of Revenue,0.0,0.0,,0.0,,0.0,,3131672.5979,,0.0,,0.0,0.0,196333615.58
Gross Profit,22654255.3191,0.0,,0.0,,378503.4713,,2606507.3716,,565793.2623,,8140139.3355,594183.9141,52131244.7079
R&D Expenses,0.0,0.0,,0.0,,0.0,,3806049.8221,,0.0,,0.0,0.0,0.0
SG&A Expense,3175531.9149,4240495.3917,10000000.0,2596832.8141,10000000.0,3051684.2376,17000000.0,3086934.4179,40000000.0,16977828.9663,58000000.0,13598338.6924,15916164.5271,18428450.4657
Operating Expenses,3175531.9149,4240495.3917,,2596832.8141,,3051684.2376,,6892984.24,,16977828.9663,,13598338.6924,15916164.5271,42041208.0158
Operating Income,19478723.4043,-4240495.3917,-33000000.0,-2596832.8141,43000000.0,-2673180.7663,5000000.0,-4286476.8683,18000000.0,-16412035.704,-17000000.0,-5458199.3569,-15321980.613,10090036.6921
Interest Expense,14818085.1064,20004896.3134,,15649013.4995,,15069426.5878,,-36349.7712,,34318168.7302,,37952036.4416,32011265.3917,89389218.1767
Earnings before Tax,-139116489.3617,-95343894.0092,,-50578920.0415,,-47865775.2636,,-4322826.6396,,-330937805.9315,,-83667202.5723,-69405030.1284,18625458.6509
Income Tax Expense,-1394946.8085,2016129.0323,11000000.0,0.0,3000000.0,0.0,6000000.0,11947.1276,-2000000.0,1813417.7944,-32000000.0,937834.9411,0.0,1126728.7609
Net Income - Non-Controlling int,48050000.0,34617511.5207,,57443925.2336,,0.0,,0.0,,0.0,,0.0,0.0,-2038385.549
Net Income - Discontinued ops,172892819.1489,84331509.2166,,49798805.8152,,-14538441.7588,,0.0,,-2221998.2724,,-1799839.2283,-2550956.2484,-106925769.1222
Net Income,-137721542.5532,-97360023.0415,-338000000.0,-50578920.0415,-195000000.0,-47865775.2636,-186000000.0,-4334773.7672,1009000000.0,-332751223.7259,-1156000000.0,-84605037.5134,-69405030.1284,17498729.8899
Preferred Dividends,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Net Income Com,-137721542.5532,-97360023.0415,-338000000.0,-50578920.0415,-195000000.0,-47865775.2636,-186000000.0,-4334773.7672,1009000000.0,-332751223.7259,-1156000000.0,-84605037.5134,-69405030.1284,17498729.8899
EPS,-14.984,-10.5933,-36.78,-5.5036,-21.20,-189.7106,-20.25,-167.409,127.47,41.4903,-2785.20,,,
EPS Diluted,-14.984,-10.5933,-36.78,-5.5036,-21.20,-189.7106,-20.25,-167.409,127.47,36.0711,-2785.20,,,
Weighted Average Shs Out,2444363.8298,2647122.1198,9000000.0,2377329.9585,9000000.0,2133010.5426,9000000.0,105430.605,8000000.0,119425.2807,0000000.0,111137.1919,,
Weighted Average Shs Out (Dil),2444363.8298,2647122.1198,9000000.0,2377329.9585,9000000.0,2133010.5426,9000000.0,105430.605,8000000.0,119425.2807,0000000.0,111137.1919,,
Dividend per Share,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0
Gross Margin,1.0,0.0,0,0.0,0,1.0,0,0.4542,0,1.0,0,1.0,1.0,0.2098
EBITDA Margin,-1.1053,-22.1684,-0.017879948914432,-0.1912,-0.36585365853659,-150.391,-0.18223234624146,-1.4135,1.956106870229,-15.312,-0.81428571428571,0.1595,,
EBIT Margin,-5.4868,0.0,-0.4176245210728,0.0,-0.58536585365854,-86.6474,-0.41002277904328,-0.7597,1.9217557251908,-524.2545,-2.4244897959184,-5.616,-62.933,0.4347
Profit Margin,-1.6168,-32.5176,-0.43167305236271,-0.1919,-0.59451219512195,-169.3392,-0.42369020501139,-2.7851,1.925572519084,-30.6018,-2.3591836734694,0.0198,,
Free Cash Flow margin,-0.1363,0.0,,0.0,,-58.6427,,-0.5326,,7.0768,,-0.1752,6.3589,-0.4256
EBITDA,-94147606.383,-40864919.3548,-14000000.0,15989356.1786,-120000000.0,-32631781.9491,-80000000.0,-4315963.396,1025000000.0,-295518283.9044,-399000000.0,-42941854.2337,-34727534.7131,140342929.7206
EBIT,-124298404.2553,-75338997.6959,-327000000,-34929906.5421,-192000000,-32796348.6758,-180000000,-4359176.4108,1007000000,-296619637.2013,-1188000000,-45715166.1308,-37393764.7367,108014676.8275
Consolidated Income,-155417021.2766,-115691532.2581,-338000000.0,-81014537.9024,-195000000.0,-47865775.2636,-186000000.0,-4334773.7672,1009000000.0,-332751223.7259,-1156000000.0,-84605037.5134,-69405030.1284,20752187.4118
Earnings Before Tax Margin,-6.1409,0.0,0,0.0,0,-126.4606,0,-0.7533,0,-584.9094,0,-10.2784,-116.8073,0.075
Net Profit Margin,-6.0793,0.0,-0.43167305236271,0.0,-0.59451219512195,-126.4606,-0.42369020501139,-0.7554,1.925572519084,-588.1145,-2.3591836734694,-10.3936,-116.8073,0.0704
