Date,2018-12-31,2017-12-31
Depreciation & Amortization,0.0,
Stock-based compensation,0.0,
Operating Cash Flow,-1238263.0,-755493.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,0.0,
Investment purchases and sales,838587.0,
Investing Cash flow,838587.0,-600000000.0
Issuance (repayment) of debt,0.0,0.0
Issuance (buybacks) of shares,0.0,0.0
Dividend payments,0.0,0.0
Financing Cash Flow,-32000.0,607025715.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,-431676.0,
Free Cash Flow,-1238263.0,
Net Cash/Marketcap,0.0068,
