date,,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2015-03-25_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2009-03-13_FY,2008-12-31_FY,2008-03-25_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2004-04-28_FY,2003-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-4426000.0,-5802000.0,-6497000.0,-55846000.0,-16828710.0,-17237953000.0,-16133200.0,-20901909000.0,-13994426000.0,-6550929000.0,-12450000.0,-11830000.0,-5872889000.0,-5500000.0,-8149258000.0,-7590000.0,-3410000.0,-1500000.0,-560000.0,0.0,-600000.0
,depreciationAndAmortization,106000.0,15000.0,20000.0,23000.0,16240.0,35185000.0,35190.0,40000.0,40000.0,60000.0,70000.0,60000.0,39945000.0,40000.0,13909000.0,10000.0,10000.0,10000.0,10000.0,807000.0,0.0
,deferredIncomeTax,-131000.0,796000.0,728000.0,-4576000.0,1482330.0,-552375000.0,-552380.0,4230000.0,-840000.0,860000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3091995000.0,1804464000.0,2539011000.0,0.0,5256566000.0,0.0,2341159000.0,611353000.0,0.0,75308000.0,0.0
,changeInWorkingCapital,262000.0,-365000.0,533000.0,-356000.0,686700.0,61335422000.0,224140.0,-770000.0,60000.0,650000.0,570000.0,350000.0,-7085581000.0,-990000.0,56794341000.0,-460000.0,-280000.0,610000.0,-280000.0,0.0,-130000.0
,accountsReceivables,288000.0,-212000.0,469000.0,-301000.0,256365000000.0,399300000.0,0.0,-410378000.0,232811000.0,1389744000.0,-134638000.0,305686000.0,-1692177000.0,0.0,-373992000.0,0.0,-167963000.0,415705000.0,-261275000.0,-189170000.0,-200000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748655000.0,3189000.0,605237000.0,0.0,-52188000.0,0.0,-43253000.0,331784000.0,-146181000.0,67952000.0,0.0
,otherWorkingCapital,71858000.0,129316000.0,159906000.0,139141000.0,74917924000000.0,83901904000.0,0.0,22566482000.0,41808166000.0,27240415000.0,40478028000.0,27874379000.0,53294549000.0,0.0,60380130000.0,0.0,3585789000.0,7320292000.0,0.0,4515741000.0,0.0
,otherNonCashItems,982000.0,1411000.0,1263000.0,56315000.0,10972650.0,0.0,11389100.0,20260000.0,6770000.0,3510000.0,5350000.0,4840000.0,0.0,3520000.0,0.0,5610000.0,2060000.0,500000.0,0.0,0.0,50000.0
,netCashProvidedByOperatingActivites,-3207000.0,-3945000.0,-3953000.0,-4440000.0,-3670790.0,-5037162000.0,-5037160.0,-5600000.0,-6280000.0,-3270000.0,-6450000.0,-6570000.0,0.0,-2930000.0,0.0,-2430000.0,-1610000.0,-370000.0,-840000.0,0.0,-670000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3584000.0,-2270000.0,-1433000.0,-1362000.0,-3229427.0,0.0,-4712052.0,-4580784.0,-11985353.0,-9049819.784525,-108069.708847,-149174.86391,0.0,-69324.568611,0.0,-6649209.330506,-3813741.420728,-232998.105734,-15465.752741,0.0,-181053.69495
,acquisitionsNet,-54000000.0,-24000000.0,-19000000.0,-7000000.0,-5000000.0,-5000000.0,-5000000.0,-5000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,-28458000000.0,-106200000.0,0.0,-263705000.0,0.0,-312500000.0,-150000000.0,0.0,-10570000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-57133000.0,-26212000.0,32428000.0,-62922000.0,-8267143.0,-9529191000.0,-9529191.0,-10010740.0,-16358403.0,-11929138.099902,-16875393.93697,-17521652.182218,0.0,-14478154.478225,0.0,-10305303.443401,-3813741.420728,-1463674.014121,-1970541.700634,0.0,-2039823.561618
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-71000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,2819000.0,0.0,48218000.0,75313000.0,2597280.0,0.0,76725250.0,850000.0,36740000.0,1960000.0,35480000.0,330000.0,0.0,12050000.0,0.0,64720000.0,1960000.0,6470000.0,410000.0,0.0,5870000.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,2748000.0,0.0,48218000.0,75313000.0,2597275.0,76725250000.0,76725250.0,848181.0,36737423.0,1899891.283056,36541866.301392,363887.880814,0.0,10570362.366475,0.0,70134335.049985,1904068.291009,6751324.26382,442013.40942,0.0,6336715.068979
