date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-06-30_FY,2004-06-30_FY,2003-06-30_FY,2002-06-30_FY,2001-06-30_FY,2000-06-30_FY,1999-06-30_FY,1998-06-30_FY,1997-06-30_FY,1996-06-30_FY,1995-06-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,74854000.0,110432000.0,105491000.0,94467000.0,49667000.0,60540000.0,61962000.0,66739000.0,63560000.0,64151000.0,57523000.0,32653000.0,48171000.0,49097000.0,51536000.0,55804000.0,50528000.0,41691000.0,35882000.0,26777000.0,27203000.0,20000000.0,21300000.0,13700000.0,17500000.0,16300000.0
,depreciationAndAmortization,6856000.0,3824000.0,8120000.0,14293000.0,15424000.0,8958000.0,9868000.0,8952000.0,9466000.0,7790000.0,14266000.0,15348000.0,16222000.0,10176000.0,9494000.0,12003000.0,14076000.0,10217000.0,13198000.0,12820000.0,9833000.0,6000000.0,4100000.0,800000.0,-100000.0,200000.0
,deferredIncomeTax,0.0,2776000.0,-2770000.0,11317000.0,2734000.0,6290000.0,8595000.0,1423000.0,3295000.0,7749000.0,431000.0,-8763000.0,-6480000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,178375000.0,6845000.0,7023000.0,4894000.0,10916000.0,5570000.0,5711000.0,5083000.0,4623000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,8713955105.0,-775897000.0,-76695000.0,220413000.0,-1469209000.0,-999752000.0,822324000.0,50848000.0,59167000.0,-66024000.0,-6476816000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500000.0
,accountsReceivables,410907000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,2314105.0,-8711641000.0,-7935744000.0,-7859049000.0,-8079462000.0,-6610253000.0,-5610501000.0,-6432825000.0,-6483673000.0,-6542840000.0,-6476816000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,0.0,-6049000.0,3204000.0,7045000.0,14744000.0,10000.0,273000.0,15777000.0,-12176000.0,0.0,-52016000.0,12822000.0,0.0,13097000.0,13900000.0,10058000.0,14612000.0,8431000.0,694000.0,2093000.0,4350000.0,6200000.0,4700000.0,3600000.0,3300000.0,2400000.0
,netCashProvidedByOperatingActivites,0.0,127462000.0,138909000.0,156057000.0,136902000.0,113202000.0,90572000.0,130842000.0,127455000.0,118702000.0,70343000.0,78615000.0,71366000.0,63594000.0,63754000.0,80151000.0,78823000.0,56532000.0,46298000.0,38621000.0,47065000.0,19500000.0,25700000.0,20200000.0,21300000.0,18400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-12000000.0,4806000.0,6919000.0,4950000.0,8720000.0,14569000.0,10823000.0,18850000.0,14506000.0,10648000.0,-17970000.0,-20421000.0,-15655000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,262000000.0,-29000000.0,0.0,0.0,1102000000.0,-61000000.0,-3000000.0,0.0,-4000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,-200204000.0,-228180000.0,-241913000.0,-238673000.0,-59980000.0,-49996000.0,-234965000.0,-508553000.0,-237058000.0,-782571000.0,-222905000.0,-457776000.0,-49102000.0,-483350000.0,-420256000.0,-892414000.0,-1233374000.0,-339646000.0,-185138000.0,-125540000.0,-199700000.0,-168700000.0,-31000000.0,-100300000.0,-96300000.0
,salesMaturitiesOfInvestments,0.0,278175000.0,222460000.0,256802000.0,292272000.0,353788000.0,187590000.0,304831000.0,417544000.0,423360000.0,541988000.0,320153000.0,432690000.0,458556000.0,259523000.0,511646000.0,2279399000.0,1902482000.0,243824000.0,93430000.0,66014000.0,639200000.0,99100000.0,42500000.0,444300000.0,274800000.0
,otherInvestingActivites,0.0,8792000.0,5747000.0,607000.0,42233000.0,10799000.0,21245000.0,21969000.0,16607000.0,11123000.0,12026000.0,7836000.0,0.0,-255135000.0,265077000.0,-347277000.0,-1211639000.0,-1311350000.0,-190976000.0,-261990000.0,-215123000.0,-672400000.0,-191400000.0,-141800000.0,-553600000.0,-346000000.0
,netCashUsedForInvestingActivites,-560575000.0,-300593000.0,-281913000.0,-108299000.0,1149408000.0,-88812000.0,-67995000.0,-76150000.0,-273440000.0,111462000.0,-528436000.0,-67799000.0,-431076000.0,122973000.0,32411000.0,-276260000.0,55417000.0,-651045000.0,-246539000.0,-302183000.0,-79612000.0,-240700000.0,-265300000.0,-148900000.0,-213500000.0,-170700000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
