date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-14878000.0,-13300000.0,-12897000.0,-13068000.0,-12610000.0,-9512141.0,-3817734.0
,depreciationAndAmortization,179000.0,178000.0,33000.0,19000.0,15000.0,9517.0,5460.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,3041000.0,2929000.0,2425000.0,4018000.0,2468000.0,431893.0,78325.0
,changeInWorkingCapital,-550000.0,-215000.0,665000.0,-320000.0,500000.0,-352535.0,581823.0
,accountsReceivables,0.0,185000.0,-75000.0,-110000.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,127000.0,-33000.0,150000.0,-155000.0,52000.0,-329417.0,491185.0
,otherWorkingCapital,36626000.0,13535000.0,17677000.0,16778000.0,25783000.0,-13280956.0,-714577.0
,otherNonCashItems,0.0,0.0,0.0,60000.0,2828000.0,1931728.0,558766.0
,netCashProvidedByOperatingActivites,-12067000.0,-10408000.0,-9773000.0,-9289000.0,-6799000.0,-4387148.0,-2593360.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-131000.0,-51000.0,-23000.0,-60000.0,-28000.0,-3811.0,-26512.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,15000.0,0.0,0.0
,netCashUsedForInvestingActivites,-131000.0,-51000.0,-23000.0,-60000.0,-13000.0,-3811.0,-26512.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,0.0,0.0,-5482.0
,commonStockIssued,33386000.0,6397000.0,11360000.0,0.0,27600000.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,0.0,0.0,0.0,-2738000.0,-144669.0,0.0
,netCashUsedProvidedByFinancingActivities,35269000.0,6397000.0,11360000.0,0.0,30333000.0,7566922.0,2308667.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,23071000.0,-4062000.0,1564000.0,-9349000.0,23521000.0,3175963.0,-311205.0
,cashAtEndOfPeriod,37942000.0,14871000.0,18933000.0,17369000.0,26718000.0,3196943.0,20980.0
,cashAtBeginningOfPeriod,14871000.0,18933000.0,17369000.0,26718000.0,3197000.0,20980.0,332185.0
,operatingCashFlow,-12067000.0,-10408000.0,-9773000.0,-9289000.0,-6799000.0,-4387148.0,-2593360.0
,capitalExpenditure,-131000.0,-51000.0,-23000.0,-60000.0,-28000.0,-3811.0,-26512.0
,freeCashFlow,-12198000.0,-10459000.0,-9796000.0,-9349000.0,-6827000.0,-4390959.0,-2619872.0
