date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY
,revenue,23826195000.0,23894091000.0,21340088000.0,14209608000.0,13071589000.0,10855810000.0,9049918000.0,7184794000.0,6514099000.0,5905411000.0,5115316000.0,4165820000.0,5128817000.0,6034249000.0,4032027000.0,2910641000.0,2365096000.0,1630074000.0,1170277000.0,562828000.0
,costOfRevenue,19047620000.0,18689013000.0,16449212000.0,9893226000.0,9123727000.0,7082932000.0,5611262000.0,4189389000.0,3742514000.0,3457130000.0,2960170000.0,2447885000.0,2926721000.0,3200718000.0,2110512000.0,1470087000.0,1203765000.0,796408000.0,0.0,0.0
,grossProfit,4778575000.0,5205078000.0,4890876000.0,4316382000.0,3947862000.0,3772878000.0,3438656000.0,2995405000.0,2771585000.0,2448281000.0,2155146000.0,1717935000.0,2202096000.0,2833531000.0,1921515000.0,1440554000.0,1161331000.0,833666000.0,0.0,0.0
,grossProfitRatio,0.20055972008959,0.217839548698463,0.229187246088207,0.30376502997127,0.302018522767201,0.347544586723607,0.379965431730984,0.416908960785793,0.425474804727407,0.414582659869059,0.421312388130078,0.412388197281688,0.429357491210936,0.469574755698679,0.476563028967812,0.494926718891131,0.491029116788494,0.511428315524326,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,3306205000.0,3436009000.0,3365773000.0,2858654000.0,2781310000.0,2633609000.0,2438960000.0,2104310000.0,2002914000.0,1882666000.0,1607682000.0,1383579000.0,1747082000.0,1988658000.0,1303781000.0,1022632000.0,909892000.0,678397000.0,493949000.0,212040000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,17394000.0,28907000.0,93020000.0,9405000.0,4688000.0,-3809000.0,12183000.0,13523000.0,11093000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
