date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-126934000.0,79408000.0,104740000.0,40806000.0,189900000.0,14568000.0,16008000.0,-18921000.0,-122946000.0,-171820000.0,-18804000.0,-15260000.0,66176000.0,54587000.0,23290000.0,13284000.0,-10103000.0,45523000.0,69446000.0,58375000.0,80999000.0,55300000.0,-26600000.0,132700000.0,122300000.0,97700000.0,78000000.0,42900000.0,19300000.0,6400000.0
,depreciationAndAmortization,39508000.0,34951000.0,19948000.0,17605000.0,16586000.0,17379000.0,21236000.0,25543000.0,34411000.0,38636000.0,40949000.0,40748000.0,37963000.0,35326000.0,32274000.0,38260000.0,51154000.0,44496000.0,37640000.0,37467000.0,40249000.0,39900000.0,35900000.0,19400000.0,12700000.0,10800000.0,6200000.0,3000000.0,1300000.0,600000.0
,deferredIncomeTax,-12507000.0,-1381000.0,21705000.0,24594000.0,-141447000.0,128000.0,604000.0,-2309000.0,-1925000.0,55930000.0,-3788000.0,3424000.0,13977000.0,9047000.0,979000.0,-3906000.0,7707000.0,-8320000.0,11357000.0,1732000.0,4906000.0,10000000.0,-36200000.0,1000000.0,-4400000.0,5000000.0,-11700000.0,0.0,-5000000.0,-1800000.0
,stockBasedCompensation,10927000.0,12896000.0,13530000.0,12647000.0,8965000.0,7542000.0,5740000.0,3533000.0,3142000.0,9570000.0,9588000.0,8756000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,97880000.0,44435000.0,70059000.0,-121961000.0,60720000.0,12946000.0,4498000.0,-30023000.0,-26115000.0,-117897000.0,7909000.0,124941000.0,-36441000.0,3288000.0,-28640000.0,25451000.0,19632000.0,-6564000.0,7049000.0,19654000.0,27963000.0,65600000.0,-69800000.0,-41000000.0,103500000.0,16100000.0,-32600000.0,-18400000.0,-3200000.0,-1400000.0
,accountsReceivables,9950000.0,-44476000.0,-2109000.0,51618000.0,-16965000.0,-11591000.0,-23314000.0,-6690000.0,23701000.0,28100000.0,-2096000.0,-11567000.0,-18133000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,116963000.0,-33952000.0,-78017000.0,-52010000.0,24251000.0,-5347000.0,47334000.0,-60966000.0,20216000.0,36460000.0,-38824000.0,47415000.0,-14847000.0,17292000.0,-16842000.0,-65595000.0,10299000.0,4897000.0,21785000.0,-37147000.0,-39402000.0,51000000.0,-42700000.0,6300000.0,-44400000.0,22500000.0,-45000000.0,-13800000.0,-4100000.0,-2700000.0
,accountsPayables,-9899000.0,34908000.0,22268000.0,15414000.0,12553000.0,5382000.0,-30578000.0,34663000.0,1042000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-38613000.0,266104000.0,221669000.0,151610000.0,273571000.0,212851000.0,199905000.0,195407000.0,225430000.0,251545000.0,369442000.0,361533000.0,236592000.0,273033000.0,269745000.0,298385000.0,272934000.0,253302000.0,259866000.0,252817000.0,233163000.0,205200000.0,139600000.0,209400000.0,250400000.0,146900000.0,130800000.0,0.0,0.0,0.0
,otherNonCashItems,42009000.0,45040000.0,0.0,3112000.0,1054000.0,531000.0,739000.0,702000.0,235000.0,-171820000.0,9588000.0,0.0,-13547000.0,10851000.0,11921000.0,0.0,0.0,0.0,-3924000.0,0.0,0.0,100000.0,-100000.0,7900000.0,4200000.0,2000000.0,1900000.0,5500000.0,-100000.0,100000.0
,netCashProvidedByOperatingActivites,228238000.0,86550000.0,92282000.0,117699000.0,77710000.0,30581000.0,36880000.0,-8949000.0,-28808000.0,10098000.0,9632000.0,42871000.0,41705000.0,151982000.0,17287000.0,70298000.0,8537000.0,118743000.0,139214000.0,100153000.0,91063000.0,166300000.0,30400000.0,165500000.0,74700000.0,95400000.0,41800000.0,33000000.0,13900000.0,5000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32930000.0,-32453000.0,-34259000.0,-25986000.0,-7810000.0,-73502000.0,-35274000.0,-28386000.0,-58600000.0,-78600000.0,-67900000.0,-35400000.0,-29500000.0,-26100000.0,-20900000.0,-11400000.0,-1500000.0
,acquisitionsNet,0.0,-463000000.0,0.0,-183000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-89000.0,-763000.0,-3698000.0,-10008000.0,0.0,0.0,0.0,-2000000.0,-6422000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24000.0,6998000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,3104000.0,-3104000.0,-1699000.0,-13637000.0,-3268000.0,0.0,-2581000.0,166000.0,-9797000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5100000.0,100000.0,-129300000.0,-600000.0,0.0,0.0,0.0,-300000.0,0.0
