date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-180914000.0,-107657000.0,-159692116.0,-120692492.0,-126995175.0,-87881121.0,-42486174.0,-30072669.0,-11324771.0,-23276175.0,-21906303.0,-30317293.0,-28697649.0,-36795057.0,-51880549.0,-74103554.0,-56161725.0,-65933580.0,-55877905.0,-73541000.0,-46729174.0,-18100000.0
,depreciationAndAmortization,7179000.0,6662000.0,6288001.0,6006299.0,4947787.0,14202822.0,1583960.0,586343.0,1622736.0,2252412.0,3437767.0,4108538.0,4673959.0,5420330.0,5655595.0,5593661.0,4809663.0,6485355.0,5466145.0,4149000.0,1675816.0,1000000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,-5387067.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,10417000.0,9892000.0,7625128.0,12428655.0,13188364.0,7438308.0,4672256.0,4127786.0,4303961.0,2646767.0,3151537.0,3130804.0,5581731.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,19572000.0,-42418464.0,-10369969.0,-33345569.0,-104700274.0,121720398.0,15562173.0,77005.0,10551260.0,-8187797.0,-10739644.0,-2311615.0,16090078.0,-20821263.0,-14595804.0,-25583690.0,2182861.0,17788616.0,5648698.0,-45201525.0,47481525.0,-1400000.0
,accountsReceivables,16187000.0,-15355000.0,196352.0,10217529.0,-1549798.0,-9331622.0,1200.0,551134.0,-552334.0,35000.0,-35000.0,0.0,318707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,55000.0,24000.0,8709.0,0.0,7500.0,-95700.0,16022.0,4050.0,6360.0,297603.0,-97659.0,284496.0,-72228.0,-187591.0,-81310.0,58154.0,-8946.0,-158418.0,-702000.0,219562.0,0.0
,accountsPayables,2767000.0,-234000.0,5366711.0,1647430.0,419708.0,2668064.0,-45902.0,189638.0,-181848.0,0.0,-198116.0,296094.0,-133944.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,-16101000.0,-35673000.0,6745464.0,17115433.0,50461002.0,155161276.0,33440878.0,17878705.0,17801700.0,7250440.0,15438237.0,26177881.0,28489496.0,12399418.0,33220681.0,47816485.0,73400175.0,71217314.0,53428698.0,47780000.0,92981525.0,45500000.0
,otherNonCashItems,14327000.0,17582000.0,5954685.0,14487811.0,18483437.0,19193919.0,3997913.0,1820787.0,3141475.0,-19108326.0,2143116.0,3967133.0,2235883.0,5127957.0,4871299.0,0.0,0.0,891226.0,0.0,2000.0,0.0,0.0
,netCashProvidedByOperatingActivites,-139096000.0,-18682000.0,-131094517.0,-94225143.0,-79960811.0,-47175441.0,-38234585.0,-19532945.0,1012602.0,-16248911.0,-14758035.0,-24193011.0,-28911175.0,-26690998.0,-44939070.0,-66325792.0,-60224913.0,-51187720.0,-50833589.0,-36826000.0,-15134368.0,-13500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-3466000.0,-4657000.0,-3597107.0,-3120357.0,-12519738.0,-3591335.0,-2819764.0,-813520.0,-103442.0,-54547.0,-130437.0,-243868.0,-206010.0,-11208.0,-329893.0,-2660296.0,-3970043.0,-18537216.0,-2307850.0,-1665000.0,-2641852.0,-4900000.0
,acquisitionsNet,-975000.0,0.0,0.0,0.0,0.0,-7000000.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,-14936047.0,-54884101.0,-34993100.0,-14507806.0,0.0,0.0,-4998799.0,-29989763.0,-29986794.0,-29911527.0,-11216841.0,-8399749.0,-100940028.0,-133743995.0,-57229096.0,-46064626.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,20000000.0,85000000.0,14534486.0,0.0,450000.0,0.0,5000000.0,40000000.0,30000000.0,24117910.0,24415000.0,21100000.0,143409815.0,126054000.0,50506860.0,20500700.0,2997000.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2337475.0,0.0,0.0,2983178.0,1961674.0,3024366.0,-7271049.0,-300000.0,1658000.0,1016733.0,0.0
,netCashUsedForInvestingActivites,-4441000.0,-4657000.0,-3590920.0,2063596.0,17596161.0,-31232018.0,-16813100.0,-363520.0,-103442.0,-29462.0,9930099.0,2160363.0,-3999627.0,13186951.0,15386793.0,41771165.0,3934339.0,-32530501.0,-28171776.0,2990000.0,-1625119.0,-4900000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-3232000.0,-320000.0,-162130628.0,-330744.0,-144658.0,-1111111.0,-3333334.0,-10555556.0,-100000.0,-28063.0,-6240963.0,-255000.0,-2930000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,176421000.0,30000000.0,44918550.0,65559706.0,2167070.0,109669980.0,56792252.0,26462810.0,10464203.0,7980375.0,11573839.0,18589588.0,286930.0,4819354.0,469300.0,327296.0,54616523.0,92594221.0,562584.0,219000.0,601339.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,-527223.0,-667050.0,0.0,-460963.0,0.0,-592875.0,0.0,0.0,-54943.0,-257681.0,-12168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
