date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2015-06-30_FY,2014-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-175168000.0,-115549000.0,-93971000.0,-59101000.0,-43930000.0,-29877000.0,-67590.0,-18885000.0
,depreciationAndAmortization,1141000.0,1001000.0,270000.0,227000.0,155000.0,118000.0,0.0,189000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,7314000.0,8052000.0,6412000.0,3993000.0,2421000.0,1433000.0,0.0,539000.0
,changeInWorkingCapital,13785000.0,-128170000.0,107445000.0,11969000.0,12177000.0,-2325491.0,43586.0,-1172000.0
,accountsReceivables,7393000.0,-3282000.0,-3715000.0,-3131000.0,-250000.0,0.0,0.0,0.0
,inventory,15819000.0,-10668000.0,-7441000.0,-2741000.0,-477000.0,0.0,0.0,0.0
,accountsPayables,-2522000.0,-122000.0,-3395000.0,4642000.0,1817000.0,3232000.0,0.0,-674000.0
,otherWorkingCapital,117000.0,1050000.0,129220000.0,21775000.0,9806000.0,-2371000.0,-45509.0,16000.0
,otherNonCashItems,23683000.0,8457000.0,3317000.0,453000.0,252000.0,77000.0,0.0,67000.0
,netCashProvidedByOperatingActivites,-67422000.0,-136047000.0,-90771000.0,-55739000.0,-38016000.0,-25465000.0,-24004.0,-19270000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,-202000.0,0.0,-29000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-7935000.0,-33181000.0,-7291000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,28350000.0,20300000.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-181000.0,-1045000.0,19426000.0,-13226000.0,-7770000.0,-202000.0,0.0,-29000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-66050000.0,-52000000.0,-10020000.0,-80000.0,-12500000.0,0.0,0.0,-3000.0
,commonStockIssued,0.0,28750000.0,149502000.0,66861000.0,45737000.0,0.0,15000.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,-12000.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,-601000.0,-8343000.0,-2703000.0,0.0,-1004000.0,0.0,0.0,-3000.0
,netCashUsedProvidedByFinancingActivities,-10130000.0,96237000.0,191988000.0,72068000.0,54894000.0,10683000.0,15000.0,29976000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,-77733000.0,-40855000.0,120643000.0,3103000.0,9108000.0,-14984000.0,-9004.0,10677000.0
,cashAtEndOfPeriod,18205000.0,95938000.0,136793000.0,16150000.0,13047000.0,3939000.0,996.0,18923000.0
,cashAtBeginningOfPeriod,95938000.0,136793000.0,16150000.0,13047000.0,3939000.0,18923000.0,10000.0,8246000.0
,operatingCashFlow,-67422000.0,-136047000.0,-90771000.0,-55739000.0,-38016000.0,-25465000.0,-24004.0,-19270000.0
,capitalExpenditure,-181000.0,-1045000.0,-989000.0,-345000.0,-479000.0,-202000.0,0.0,-29000.0
,freeCashFlow,-67603000.0,-137092000.0,-91760000.0,-56084000.0,-38495000.0,-25667000.0,-24004.0,-19299000.0
