date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-03-31_FY,2002-03-31_FY,2001-03-31_FY,2000-03-31_FY,1999-03-31_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY,1993-03-31_FY,1992-03-31_FY,1991-03-31_FY,1990-03-31_FY,1989-03-31_FY,1988-03-31_FY,1987-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-920000000.0,-8020000000.0,2439000000.0,-6297000000.0,26635000000.0,26335000000.0,26335000000.0,21175000000.0,16950000000.0,16676000000.0,14684000000.0,13289000000.0,8363806710.0,-8514000000.0,-23081000000.0,0.0,0.0,0.0,-26417729800.0,-15990791375.5722,811834780.53055,952655388.580172,650365419.544748,513644511.775689,376404942.832283,289580625.787077,315701563.66344,276044684.329284,257637536.506831,292966208.097912,161334373.554534,95273589.216034,44498724.011536,-19531729.518856
,depreciationAndAmortization,11971000000.0,9795000000.0,10409000000.0,11086000000.0,8202000000.0,8202000000.0,8202000000.0,7960000000.0,7962000000.0,7458000000.0,7347000000.0,5405000000.0,7420353610.0,0.0,0.0,0.0,0.0,0.0,22691299400.0,2615792580.10118,1263594997.21182,444233367.157929,369751686.708702,217854173.081333,142032723.747882,112587581.129517,102957367.088608,85801861.1796,85073285.179706,73119640.27051,45363977.431012,31354213.449552,21342187.924458,12774187.256177
,deferredIncomeTax,0.0,0.0,0.0,0.0,72000000.0,72000000.0,72000000.0,123000000.0,368000000.0,65000000.0,147000000.0,176000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,0.0,147000000.0,128000000.0,95000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134443247.21197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-317000000.0,577000000.0,-858000000.0,-48000000.0,-3754990000.0,0.0,0.0,5883000000.0,-1285000000.0,1031000000.0,3274000000.0,-10362000000.0,4432330.0,6038000000.0,-2736000000.0,1920000000.0,0.0,0.0,115877300.0,15071947723.4401,1285266151.51757,-147229920.270597,33387909.551605,-30637949.163091,47020243.020043,-92582853.821563,-33374165.301564,3301555.924149,7714485.771473,-105776120.164809,0.0,0.0,0.0,0.0
,accountsReceivables,-38000000.0,0.0,0.0,0.0,703000000.0,703000000.0,703000000.0,634000000.0,689000000.0,746000000.0,696000000.0,507000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,-131000000.0,-26000000.0,117000000.0,54000000.0,54000000.0,54000000.0,-137000000.0,166000000.0,308000000.0,-127000000.0,60000000.0,-98144450.0,0.0,0.0,0.0,0.0,0.0,204219400.0,24265237.292219,-108355771.528718,-21695465.893533,-11491652.589855,-847132.234924,4981472.774733,-487920.178243,-10050906.924795,-1025822.805995,1683567.31355,-698287.442847,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,-120000000.0,-120000000.0,-120000000.0,674000000.0,-728000000.0,1505000000.0,-607000000.0,-510000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,0.0,0.0,0.0,0.0,8010000.0,3763000000.0,3763000000.0,3763000000.0,-2120000000.0,-835000000.0,-1866000000.0,-5140000000.0,0.0,5222000000.0,-816000000.0,1920000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,0.0,2243000000.0,893000000.0,355000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2756909260.0,0.0,0.0,0.0,0.0,0.0,7410410700.0,-1921228650.0,153806100.0,-107106782.0,0.0,208965768.0,189510933.0,160472448.0,48542208.0,-35574224.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,0.0,12980000000.0,13600000000.0,14223000000.0,33353000000.0,33353000000.0,33353000000.0,28665000000.0,25278000000.0,25547000000.0,21928000000.0,18147000000.0,13153255870.0,20331000000.0,20595000000.0,24012000000.0,22663000000.0,17593000000.0,13249020400.0,4100825102.38497,2990619294.19262,965373420.310864,867930355.739158,510114794.130171,481380369.109588,254206412.864477,308743243.484736,330047283.453624,206933355.147507,191606323.186315,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-5182000000.0,-8151000000.0,-8163000000.0,-8861000000.0,-10099000000.0,-10312000000.0,-6864000000.0,-7135000000.0,-7417000000.0,-6689000000.0,-7650000000.0,-8415000000.0,-5900064420.0,-7152000000.0,-7794000000.0,-9104000000.0,0.0,0.0,-6778248400.0,-27275744398.94,-3389035131.04437,-1128762722.07457,-801930999.648777,-495854734.842281,-431808640.034194,-229322483.774097,-209393894.266567,-174545493.342897,-86302401.183535,-214874876.653744,0.0,0.0,0.0,0.0
,acquisitionsNet,-6525000000.0,-1009000000.0,-23000000.0,-2582000000.0,-52000000.0,-52000000.0,-52000000.0,-188000000.0,-170000000.0,-332000000.0,-4881000000.0,-914000000.0,-11962000000.0,0.0,-6406000000.0,-3809000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-821000000.0,-3629000000.0,-3901000000.0,-2219000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-120306100.0,-339000000.0,-99000000.0,0.0,0.0,0.0,-72279900.0,-5263938809.92532,-28339201.784434,-6284203.913989,0.0,-339417648.792951,-33776815.399411,-209195776.421583,-41749921.072226,-58648680.085474,-82932469.932991,-7264209.245319,0.0,0.0,0.0,0.0
