date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY,1990-12-31_FY,1989-12-31_FY,1988-12-31_FY,1987-12-31_FY,1986-12-31_FY
,revenue,777819910.0,812156471.0,769134358.0,737404932.0,687336863.0,635110034.0,585304832.0,544202198.0,510449328.0,475017619.0,408817787.0,386733407.0,372312162.0,340618294.0,329967034.0,319847194.0,287788638.0,214992328.0,203803561.0,185163623.0,168222999.0,159711107.0,30586365.0,121327606.0,112519031.0,97885060.0,81700000.0,77700000.0,62100000.0,58500000.0,52300000.0,51600000.0,40700000.0,31800000.0,6500000.0
,costOfRevenue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,777819910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,714547407.0,754000000.0,818000000.0,725000000.0,645000000.0,608000000.0,569000000.0,513000000.0,485000000.0,480000000.0,398000000.0,364000000.0,338000000.0,285000000.0,271000000.0,265000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,714547407.0,755075441.0,817371207.0,725290470.0,646008456.0,607517766.0,569022015.0,511491933.0,482591068.0,481756932.0,398973638.0,366056718.0,340220118.0,287769356.0,273344771.0,267501699.0,250734387.0,189555953.0,187308977.0,178071894.0,156399724.0,156082006.0,18909350.0,107154063.0,101272571.0,85239242.0,9900000.0,9500000.0,0.0,0.0,200000.0,100000.0,0.0,0.0,0.0
,interestExpense,1196406.0,1579299.0,2302082.0,1593437.0,1657647.0,1111441.0,1516983.0,1635323.0,2358711.0,2126784.0,799578.0,1746509.0,1821229.0,2884861.0,2801553.0,2266346.0,1613511.0,1287197.0,1119204.0,2247465.0,3285036.0,1535249.0,0.0,900000.0,400000.0,0.0,0.0,0.0,0.0,0.0,200000.0,100000.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,6721621.0,5573074.0,6609632.0,6109869.0,6587282.0,6740346.0,3523692.0,3049101.0,3950693.0,4106561.0,3143767.0,2552186.0,2401345.0,2446126.0,2714863.0,3066227.0,2472813.0,1532664.0,1236592.0,1127510.0,838805.0,936373.0,500000.0,400000.0,200000.0,400000.0,300000.0,200000.0,200000.0,200000.0,200000.0,100000.0,0.0,0.0,0.0
,EBITDA,71190530.0,64233403.0,-39325135.0,19817768.0,49573336.0,35444055.0,21323492.0,37394689.0,34167664.0,-505968.0,13787494.0,24975384.0,36314618.0,58179925.0,62138679.0,57678068.0,46586245.0,28256236.0,18850380.0,10466704.0,15947116.0,6100723.0,12177015.0,15473543.0,11846460.0,13045818.0,8500000.0,8700000.0,7100000.0,6900000.0,6600000.0,6300000.0,1100000.0,2000000.0,0.0
,EBITDARatio,0.0915257234801305,0.0790899356141435,-0.0511290837432593,0.0268750141747086,0.0721237848114659,0.0558077389783453,0.036431429973228,0.0687146967385089,0.0669364462362462,-0.00106515628002422,0.0337252791792056,0.0645803634957246,0.0975380922420686,0.170806812272978,0.188317839654249,0.180330073491281,0.161876595697986,0.131429043365678,0.0924928882866772,0.0565267833412398,0.0947974777218185,0.0381984892259247,0.398119063837759,0.12753522063231,0.105284056347766,0.133276906608629,0.104039167686659,0.111969111969112,0.114331723027375,0.117948717948718,0.126195028680688,0.122093023255814,0.027027027027027,0.0628930817610063,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,63272503.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingIncomeRatio,0.0813459544896453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,totalOtherIncomeExpensesNet,0.0,443750.0,480617.0,500455.0,670865.0,750287.0,855546.0,849795.0,953216.0,957353.0,922937.0,1392680.0,926690.0,5710458.0,5339252.0,5074399.0,4577096.0,3515665.0,3236926.0,2388479.0,2346090.0,2652302.0,-97566726.0,2204025.0,2047787.0,1938737.0,8500000.0,8300000.0,7500000.0,6800000.0,5600000.0,5600000.0,0.0,0.0,0.0
