Date,2018-12-31,2017-12-31
Cash and cash equivalents,23762952.2431,34943772.6723
Short-term investments,0.0,0.0
Cash and short-term investments,23762952.2431,34943772.6723
Receivables,2248046.3097,1253778.7183
Inventories,0.0,0.0
Total current assets,26396382.055,36253325.2721
Property Plant & Equipment Net,569030.3907,767079.8065
Goodwill and Intangible Assets,0.0,0.0
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,569030.3907,767079.8065
Total assets,26965412.4457,37020405.0786
Payables,848625.1809,1134371.2213
Short-term debt,0.0,0.0
Total current liabilities,35185238.7844,33090840.3869
Long-term debt,0.0,0.0
Total debt,0.0,0.0
Deferred revenue,20731403.7627,20837363.9661
Tax Liabilities,2095513.7482,3417170.4958
Deposit Liabilities,0.0,0.0
Total non-current liabilities,2242547.0333,0.0
Total liabilities,37427785.8177,33090840.3869
Other comprehensive income,32850.9407,26904.474
Retained earnings (deficit),,
Total shareholders equity,-10462373.3719,3929564.6917
Investments,0.0,0.0
Net Debt,,
Other Assets,,
Other Liabilities,34336613.6035,31956469.1656
