Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Depreciation & Amortization,5029000.0,3795000.0,2072000.0,1122000.0
Stock-based compensation,20794000.0,5028000.0,-499000.0,1014000.0
Operating Cash Flow,51723000.0,25691000.0,20004000.0,12915000.0
Capital Expenditure,-7478000.0,-7372000.0,-7218000.0,-7615000.0
Acquisitions and disposals,0.0,0.0,0.0,0.0
Investment purchases and sales,-72800000.0,-5226000.0,-44774000.0,0.0
Investing Cash flow,-80278000.0,-12598000.0,-51992000.0,-7615000.0
Issuance (repayment) of debt,0.0,0.0,0.0,0.0
Issuance (buybacks) of shares,2490000.0,44780000.0,-59863000.0,-17933000.0
Dividend payments,0.0,0.0,0.0,0.0
Financing Cash Flow,-23395000.0,44780000.0,690000.0,49965000.0
Effect of forex changes on cash,-44000.0,159000.0,-45000.0,0.0
Net cash flow / Change in cash,-51994000.0,58032000.0,-31343000.0,55265000.0
Free Cash Flow,44245000.0,18319000.0,12786000.0,5300000.0
Net Cash/Marketcap,0.0402,0.0437,0.0301,0.0301
