date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,49982000.0,17034000.0,45885000.0,126959000.0,11001000.0,14678000.0,-11266000.0,-17144000.0,-34034000.0,5077000.0,-17573000.0,-77468000.0,-196664000.0,-11398000.0,40770000.0,-3855000.0,74175000.0,-113876000.0,-26150000.0,-20163000.0,99115000.0,14428000.0
,depreciationAndAmortization,9939000.0,7880000.0,5772000.0,5002000.0,4258000.0,4869000.0,4589000.0,5075000.0,6877000.0,8497000.0,7045000.0,7436000.0,23571000.0,21911000.0,20137000.0,23732000.0,22981000.0,13563000.0,11758000.0,21215000.0,17814000.0,19082000.0
,deferredIncomeTax,4685000.0,3304000.0,11209000.0,-82085000.0,519000.0,779000.0,1266000.0,-1465000.0,826000.0,585000.0,-1525000.0,-765000.0,189000.0,-91000.0,-209000.0,-828000.0,-4974000.0,73685000.0,-39648000.0,-16017000.0,-8355000.0,-2758000.0
,stockBasedCompensation,10485000.0,8173000.0,7784000.0,5672000.0,5179000.0,5575000.0,4812000.0,4337000.0,3976000.0,4687000.0,4088000.0,4651000.0,4709000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,79345000.0,-4759000.0,51286000.0,67490000.0,913000.0,59048000.0,-16411000.0,4005000.0,-19118000.0,4060000.0,-3348000.0,52667000.0,-173497000.0,-231000.0,-16233000.0,2945000.0,70210000.0,-64398000.0,65974000.0,-70936000.0,127589000.0,-62822000.0
,accountsReceivables,-1393000.0,-6002000.0,-3877000.0,-23573000.0,-14135000.0,5171000.0,-7069000.0,-11528000.0,10478000.0,22692000.0,-38652000.0,8572000.0,48644000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-17652000.0,-17953000.0,-10512000.0,5703000.0,-6572000.0,-15938000.0,-12280000.0,2209000.0,5903000.0,-11870000.0,3549000.0,26445000.0,-6942000.0,-5700000.0,-47335000.0,4120000.0,9896000.0,-4410000.0,-7327000.0,15822000.0,-39431000.0,-16989000.0
,accountsPayables,18062000.0,-19150000.0,-703000.0,25000000.0,799000.0,5997000.0,772000.0,7308000.0,-13490000.0,-17940000.0,32276000.0,-11038000.0,-23330000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,386360000.0,307015000.0,311774000.0,260488000.0,192998000.0,192085000.0,133037000.0,149448000.0,145443000.0,164561000.0,160501000.0,163849000.0,111182000.0,284679000.0,284910000.0,301143000.0,298198000.0,227988000.0,292386000.0,226412000.0,297348000.0,169759000.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186000.0,6120000.0,2015000.0,9951000.0,27918000.0,2810000.0,7362000.0,0.0,-23730000.0,-1440000.0,1590000.0,0.0,0.0,3658000.0
,netCashProvidedByOperatingActivites,69703000.0,-13594000.0,46965000.0,56284000.0,-8799000.0,18259000.0,-16045000.0,-15042000.0,-10597000.0,3533000.0,-5892000.0,-33942000.0,-48719000.0,-31104000.0,19018000.0,-12170000.0,71633000.0,-55809000.0,-55984000.0,-16577000.0,99683000.0,-39105000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-7434000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2124000.0,-1403000.0,-463000.0,-3407000.0,-10386000.0,-6924000.0,-7794000.0,-5541000.0,-4993000.0,-11751000.0,-29577000.0,-21848000.0,-16914000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122000000.0,0.0,0.0,0.0,-2000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13000000.0,-72329000.0,-108125000.0,-3545000.0,-2063000.0,-34992000.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76200000.0,103763000.0,92965000.0,0.0,20020000.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106000.0,-2000.0,3000.0,7056000.0,1491000.0,9624000.0,-4862000.0,-924000.0,-4893000.0,77000.0,575000.0,-260000.0,677000.0,-138000.0,0.0
,netCashUsedForInvestingActivites,-7266000.0,-11969000.0,-4715000.0,-7285000.0,-2236000.0,-1830000.0,-896000.0,485000.0,8123000.0,-2121000.0,5653000.0,123285000.0,6217000.0,47952000.0,23586000.0,-29347000.0,-3051000.0,-1033000.0,-47003000.0,-28900000.0,-11019000.0,-19119000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-399000.0,0.0,0.0,0.0,0.0,-14922000.0,-470000.0,0.0,0.0,0.0,0.0,-83344000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,502000.0,569000.0,184000.0,786000.0,2904000.0,3516000.0,3604000.0,4872000.0,3639000.0,5774000.0,3166000.0,348585000.0,0.0
,commonStockRepurchased,-7501000.0,-17744000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1218000.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
