date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-116100000.0,-74800000.0,-205706000.0,-52985000.0,9453000.0,1429000.0,-65897000.0,-9062000.0,1916000.0
,depreciationAndAmortization,94800000.0,76500000.0,67440000.0,51928000.0,39551000.0,34545000.0,15061000.0,11663000.0,11208000.0
,deferredIncomeTax,-21900000.0,8500000.0,25272000.0,0.0,6882000.0,-149891000.0,14089000.0,7136000.0,5709000.0
,stockBasedCompensation,13200000.0,10200000.0,9344000.0,0.0,2021000.0,7502000.0,942000.0,455000.0,411000.0
,changeInWorkingCapital,117300000.0,-111623000.0,-21197000.0,84990000.0,45587000.0,2385000.0,87202000.0,36391000.0,-5259000.0
,accountsReceivables,-46600000.0,-23500000.0,-22819000.0,0.0,-60622000.0,-48783000.0,-20161000.0,-9722000.0,-8924000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,244700000.0,127400000.0,239023000.0,260220000.0,175230000.0,129643000.0,127258000.0,40056000.0,3665000.0
,otherNonCashItems,43900000.0,42500000.0,-1415000.0,0.0,-2476000.0,126784000.0,4638000.0,3322000.0,4381000.0
,netCashProvidedByOperatingActivites,246900000.0,129500000.0,144600000.0,120943000.0,125239000.0,84481000.0,21949000.0,49078000.0,46377000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-42900000.0,-73600000.0,-39805000.0,0.0,-39109000.0,-33439000.0,-7736000.0,-4150000.0,-4694000.0
,acquisitionsNet,-104000000.0,-14000000.0,-107000000.0,-754000000.0,-146000000.0,-101000000.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,600000.0,-200000.0,-1455000.0,-753849000.0,-145640000.0,-101403000.0,-1700000.0,1014000.0,1500000.0
,netCashUsedForInvestingActivites,-88400000.0,-85200000.0,-128862000.0,-783449000.0,-184749000.0,-134842000.0,-271016000.0,-3622000.0,-3468000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-216300000.0,-508600000.0,-157587000.0,0.0,-478337000.0,-335634000.0,-1027714000.0,-339908000.0,-80756000.0
,commonStockIssued,0.0,0.0,0.0,0.0,0.0,250979000.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,-1982000.0,0.0,0.0,0.0,-3143000.0,0.0,0.0
,dividendsPaid,0.0,0.0,-7810000.0,0.0,0.0,0.0,-93000000.0,-131013000.0,0.0
,otherFinancingActivites,-146400000.0,-134200000.0,-115450000.0,767721000.0,-100170000.0,-81895000.0,-42470000.0,-29724000.0,-23705000.0
,netCashUsedProvidedByFinancingActivities,66700000.0,-135900000.0,-6344000.0,767721000.0,71276000.0,33374000.0,310961000.0,-37662000.0,-43061000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,225200000.0,-91600000.0,9394000.0,0.0,11766000.0,-16987000.0,61894000.0,7794000.0,-152000.0
,cashAtEndOfPeriod,318200000.0,93000000.0,184623000.0,0.0,69699000.0,57933000.0,74920000.0,13026000.0,5232000.0
,cashAtBeginningOfPeriod,93000000.0,184600000.0,175229000.0,0.0,57933000.0,74920000.0,13026000.0,5232000.0,5384000.0
,operatingCashFlow,246900000.0,129500000.0,144600000.0,120943000.0,125239000.0,84481000.0,21949000.0,49078000.0,46377000.0
,capitalExpenditure,-42900000.0,-73600000.0,-39805000.0,-29600000.0,-39109000.0,-33439000.0,-9436000.0,-4150000.0,-4694000.0
,freeCashFlow,204000000.0,55900000.0,104795000.0,91343000.0,86130000.0,51042000.0,12513000.0,44928000.0,41683000.0
