Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31
Revenue,700000.0,0.0,0.0,0.0
Revenue Growth,0.0,0.0,0.0,
Cost of Revenue,0.0,0.0,0.0,0.0
Gross Profit,0.0,0.0,0.0,0.0
R&D Expenses,0.0,0.0,0.0,0.0
SG&A Expense,839061.0,746563.0,541802.0,129952.0
Operating Expenses,839061.0,746563.0,541802.0,129952.0
Operating Income,-839061.0,-746563.0,-541802.0,-129952.0
Interest Expense,121194.0,54371.0,848.0,374.0
Earnings before Tax,0.0,0.0,0.0,-130326.0
Income Tax Expense,0.0,0.0,0.0,0.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0
Net Income,-31367.0,-584277.0,-434228.0,-130326.0
Preferred Dividends,0.0,0.0,0.0,0.0
Net Income Com,-31367.0,-584277.0,-434228.0,-130326.0
EPS,-0.02,-0.3,-0.23,-0.1
EPS Diluted,-0.02,-0.3,-0.23,-0.1
Weighted Average Shs Out,2042348.0,1939175.0,1887614.0,5295000.0
Weighted Average Shs Out (Dil),2042348.0,1939175.0,1887614.0,1370548.0
Dividend per Share,0.0,0.0,0.0,0.0
Gross Margin,0.0,0.0,0.0,0.0
EBITDA Margin,-1.10884285714,0.0,0.0,
EBIT Margin,-1.19865857143,0.0,0.0,0.0
Profit Margin,-0.04481,0.0,0.0,
Free Cash Flow margin,-0.104958571429,0.0,0.0,0.0
EBITDA,-776190.0,-700432.0,-541802.0,-129952.0
EBIT,-839061.0,-746563.0,-541802.0,-129952.0
Consolidated Income,-31367.0,-584277.0,-434228.0,-130326.0
Earnings Before Tax Margin,0.0,0.0,0.0,0.0
Net Profit Margin,-0.04481,0.0,0.0,0.0
