Date,2018-12-31,2017-12-31
Cash and cash equivalents,36963000.0,31309000.0
Short-term investments,46679000.0,18886000.0
Cash and short-term investments,83642000.0,50195000.0
Receivables,24729000.0,19094000.0
Inventories,0.0,0.0
Total current assets,117267000.0,75947000.0
Property Plant & Equipment Net,42354000.0,36973000.0
Goodwill and Intangible Assets,970000.0,1077000.0
Long-term investments,0.0,0.0
Tax assets,0.0,0.0
Total non-current assets,45487000.0,40224000.0
Total assets,162754000.0,116171000.0
Payables,2333000.0,4095000.0
Short-term debt,11370000.0,1758000.0
Total current liabilities,31750000.0,18249000.0
Long-term debt,39439000.0,23154000.0
Total debt,50809000.0,24912000.0
Deferred revenue,0.0,0.0
Tax Liabilities,0.0,0.0
Deposit Liabilities,0.0,0.0
Total non-current liabilities,43347000.0,25223000.0
Total liabilities,75097000.0,43472000.0
Other comprehensive income,-36000.0,-24000.0
Retained earnings (deficit),-146186000.0,-115251000.0
Total shareholders equity,-131927000.0,-107006000.0
Investments,46679000.0,18886000.0
Net Debt,-32833000.0,-25283000.0
Other Assets,8896000.0,6658000.0
Other Liabilities,18047000.0,12396000.0
