date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-51219000.0,-45371000.0,-10839000.0,-18725000.0,-13513000.0,-13664000.0,-20117000.0,-9197000.0,-2507000.0
,depreciationAndAmortization,47164000.0,34621000.0,21347000.0,11914000.0,9794000.0,8451000.0,7457000.0,5595000.0,2817000.0
,deferredIncomeTax,-7533000.0,-9432000.0,268000.0,-262000.0,529000.0,207000.0,-295000.0,-104000.0,-85000.0
,stockBasedCompensation,41692000.0,25754000.0,14130000.0,9977000.0,4333000.0,2741000.0,12297000.0,498000.0,92000.0
,changeInWorkingCapital,86607000.0,149874000.0,-16908000.0,-31054000.0,6555000.0,-1125000.0,13437000.0,-320000.0,2058000.0
,accountsReceivables,10355000.0,3160000.0,-5212000.0,-4710000.0,-361000.0,741000.0,-1579000.0,2941000.0,-3547000.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-3081000.0,-73000.0,-3399000.0,1254000.0,-1453000.0,157000.0,639000.0,-1113000.0,875000.0
,otherWorkingCapital,196120000.0,109513000.0,-40361000.0,-23453000.0,7601000.0,1046000.0,2171000.0,-11266000.0,-10946000.0
,otherNonCashItems,0.0,4874000.0,3241000.0,592000.0,327000.0,376000.0,589000.0,1585000.0,-771000.0
,netCashProvidedByOperatingActivites,35620000.0,12076000.0,7347000.0,7716000.0,3875000.0,-1503000.0,1177000.0,-239000.0,1604000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1114000.0,-1040000.0,-935000.0,-396000.0,-670000.0,-956000.0,-861000.0,-263000.0,-274000.0
,acquisitionsNet,-68000000.0,-216000000.0,-161000000.0,-110000000.0,-12000000.0,-8000000.0,-6000000.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-127000.0,0.0
,netCashUsedForInvestingActivites,-68970000.0,-217761000.0,-161686000.0,-110775000.0,-13229000.0,-9411000.0,-7078000.0,-28565000.0,-33312000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-88000.0,-384097000.0,-5825000.0,-13409000.0,-8873000.0,-24927000.0,-11451000.0,-17867000.0,-4132000.0
,commonStockIssued,130539000.0,151551000.0,807000.0,43797000.0,-515000.0,-18000.0,38846000.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,-515000.0,-18000.0,-97000.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,-29352000.0,-17456000.0,-8748000.0,-2079000.0,-359000.0,-599000.0,-321000.0,11387000.0
,netCashUsedProvidedByFinancingActivities,107899000.0,363768000.0,149923000.0,96178000.0,19525000.0,-1221000.0,32384000.0,29564000.0,24255000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,456000.0,203000.0,-1172000.0,449000.0,114000.0,-380000.0,-198000.0,51000.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,75005000.0,158286000.0,-5588000.0,-6432000.0,10285000.0,-12515000.0,26285000.0,811000.0,-7453000.0
,cashAtEndOfPeriod,250029000.0,175024000.0,16738000.0,22326000.0,28758000.0,18473000.0,30988000.0,4703000.0,3892000.0
,cashAtBeginningOfPeriod,175024000.0,16738000.0,22326000.0,28758000.0,18473000.0,30988000.0,4703000.0,3892000.0,11345000.0
,operatingCashFlow,35620000.0,12076000.0,7347000.0,7716000.0,3875000.0,-1503000.0,1177000.0,-239000.0,1604000.0
,capitalExpenditure,-1114000.0,-1736000.0,-935000.0,-451000.0,-1078000.0,-1747000.0,-861000.0,-263000.0,-274000.0
,freeCashFlow,34506000.0,10340000.0,6412000.0,7265000.0,2797000.0,-3250000.0,316000.0,-502000.0,1330000.0
