date,,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,25134000.0,243220000.0,52495000.0
,depreciationAndAmortization,7480000.0,26804000.0,18031000.0
,deferredIncomeTax,0.0,0.0,1388000.0
,stockBasedCompensation,17000.0,2854000.0,4501000.0
,changeInWorkingCapital,20587000.0,1370000.0,-8029000.0
,accountsReceivables,-7283000.0,-4232000.0,0.0
,inventory,0.0,0.0,0.0
,accountsPayables,-2327000.0,373000.0,0.0
,otherWorkingCapital,41459000.0,0.0,0.0
,otherNonCashItems,0.0,121610000.0,1044000.0
,netCashProvidedByOperatingActivites,22430000.0,154117000.0,70006000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,-121087000.0,-248463000.0
,acquisitionsNet,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0
,otherInvestingActivites,10538000.0,0.0,-131528000.0
,netCashUsedForInvestingActivites,10538000.0,-721087000.0,-379991000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,-186000000.0,-170000000.0
,commonStockIssued,0.0,620330000.0,171902000.0
,commonStockRepurchased,-10538000.0,0.0,0.0
,dividendsPaid,0.0,-71712000.0,-17017000.0
,otherFinancingActivites,10538000.0,-14411000.0,-7137000.0
,netCashUsedProvidedByFinancingActivities,9959000.0,581207000.0,290748000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,10538000.0,14237000.0,-19237000.0
,cashAtEndOfPeriod,10538000.0,21834000.0,7597000.0
,cashAtBeginningOfPeriod,12702000.0,7597000.0,26834000.0
,operatingCashFlow,22430000.0,154117000.0,70006000.0
,capitalExpenditure,0.0,-121087000.0,-248463000.0
,freeCashFlow,22430000.0,33030000.0,-178457000.0
