date,,2020-10-31_FY,2019-10-31_FY,2018-10-31_FY,2017-10-31_FY,2016-10-31_FY,2015-10-31_FY,2014-10-31_FY,2013-10-31_FY,2012-10-31_FY,2011-10-31_FY,2010-10-31_FY,2009-10-31_FY,2008-10-31_FY,2007-10-31_FY,2006-10-31_FY,2005-10-31_FY,2004-10-31_FY,2003-10-31_FY,2002-10-31_FY,2001-10-31_FY,2000-10-31_FY,1999-10-31_FY,1998-10-31_FY,1997-10-31_FY,1996-10-31_FY,1995-10-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,11895000000.0,11668000000.0,11262000000.0,10396000000.0,8821000000.0,7912000000.0,7776000000.0,6557000000.0,6367000000.0,5889000000.0,4644000000.0,3120000000.0,3833000000.0,3997000000.0,4603000000.0,2229000000.0,2310000000.0,1076000000.0,-76000000.0,1383000000.0,1025000000.0,2981000000.0,1121000000.0,1088000000.0,914000000.0,794000000.0
,depreciationAndAmortization,2141000000.0,1405000000.0,1391000000.0,1307000000.0,1337000000.0,1250000000.0,1140000000.0,1039000000.0,985000000.0,1182000000.0,1193000000.0,1253000000.0,1015000000.0,861000000.0,848000000.0,868000000.0,920000000.0,1090000000.0,1310000000.0,1807000000.0,1605000000.0,254000000.0,224000000.0,158000000.0,135000000.0,132000000.0
,deferredIncomeTax,-1065000000.0,-33000000.0,385000000.0,175000000.0,103000000.0,-352000000.0,31000000.0,-362000000.0,112000000.0,-116000000.0,98000000.0,336000000.0,108000000.0,244000000.0,-17000000.0,-261000000.0,128000000.0,-74000000.0,-1017000000.0,-1210000000.0,-831000000.0,134000000.0,-106000000.0,-116000000.0,77000000.0,-12000000.0
,stockBasedCompensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,213085000000.0,-14330000000.0,-9856000000.0,12324000000.0,32039000000.0,25205000000.0,15721000000.0,23485000000.0,5620000000.0,-8359000000.0,-5877000000.0,12347000000.0,27000000000.0,-2463000000.0,-12032000000.0,2603000000.0,-12919000000.0,2957000000.0,13875000000.0,-8842000000.0,-7908000000.0,-12666000000.0,-18012000000.0,-9192000000.0,-2149000000.0,-2742000000.0
,accountsReceivables,0.0,0.0,-104000.0,0.0,0.0,0.0,0.0,0.0,-236000.0,-597000.0,590000.0,27000.0,0.0,-296000000.0,-146000000.0,588000000.0,-141000.0,145000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,250384000000.0,0.0,4735000.0,-25281000.0,-21411000.0,-15304000.0,-8144000.0,-8192000.0,8638000.0,3096000.0,2574000.0,2517000.0,17538000.0,1790000000.0,4000000.0,1673000000.0,0.0,1468000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,0.0,-1192000000.0,-743000000.0,-449000000.0,-433000000.0,-377000000.0,-320000000.0,-272000000.0,-234000000.0,645000000.0,3191000000.0,7398000000.0,-11974000000.0,1415000000.0,212000000.0,-177000000.0,631000000.0,104000000.0,-160000000.0,2030000000.0,197000000.0,-512000000.0,0.0,0.0,0.0,0.0
,netCashProvidedByOperatingActivites,231786000000.0,271000000.0,5693000000.0,26127000000.0,44125000000.0,35273000000.0,25967000000.0,31695000000.0,14046000000.0,-759000000.0,3249000000.0,24454000000.0,19982000000.0,4054000000.0,-6386000000.0,5262000000.0,-8930000000.0,5153000000.0,13932000000.0,-4832000000.0,-5912000000.0,-9809000000.0,-16773000000.0,-8062000000.0,-1023000000.0,-1828000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1757000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-827000000.0,-304000000.0,-770000000.0,-820000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,-406000000.0,0.0,0.0,0.0,-2352000000.0,0.0,-6421000000.0,-6839000.0,-3309000.0,2024000.0,0.0,0.0,-3771000000.0,-1740000000.0,-1795000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-197272000000.0,0.0,4798000.0,0.0,0.0,0.0,0.0,0.0,12825000.0,199000.0,8954000.0,2080000.0,0.0,-2081000000.0,6665000000.0,1438000000.0,-4413000.0,-810000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,113480000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-224115000000.0,5506000000.0,1549000000.0,-67311000000.0,-24972000000.0,-47077000000.0,-33475000000.0,-20098000000.0,-24490000000.0,-48479000000.0,-42785000000.0,-36611000000.0,-70912698413.0,-13866237820.0,-12459329070.0,-20349509978.0,-17902950500.0,2302518792.0,1540498442.0,-9917473417.0,7689613159.0,-24010004414.0,10162062047.0,-22570060555.0,-11827023411.0,-8359925044.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
