date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY
,revenue,30731000.0,21712000.0,18027000.0,7046000.0,0.0,0.0,0.0,0.0
,costOfRevenue,2212000.0,3822000.0,3986000.0,1483000.0,0.0,0.0,0.0,0.0
,grossProfit,28519000.0,17890000.0,14041000.0,5563000.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.928020565552699,0.823968312453943,0.778887224718478,0.789525972182799,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,25795000.0,30903000.0,25441000.0,17268000.0,20023000.0,20135000.0,5844000.0,2534000.0
,GeneralAndAdministrativeExpenses,40867000.0,45810000.0,63336000.0,36292000.0,14875000.0,22719000.0,4588000.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,225000.0,8024000.0,1252000.0,147000.0,-1180000.0,-1105000.0,486000.0,282000.0
,operatingExpenses,71684000.0,81735000.0,95964000.0,58582000.0,0.0,0.0,0.0,0.0
,costAndExpenses,73896000.0,85557000.0,99950000.0,60065000.0,34898000.0,42854000.0,10432000.0,5192000.0
,interestExpense,1336000.0,0.0,12515000.0,4313000.0,20000.0,3000.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,5022000.0,5022000.0,7187000.0,5022000.0,10000.0,11000.0,6000.0,3000.0
,EBITDA,-38143000.0,-58823000.0,-74736000.0,-47997000.0,-36068000.0,-42719000.0,-10222000.0,-4619000.0
,EBITDARatio,-1.24118967817513,-2.70923913043478,-4.14578132800799,-6.81195004257735,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,-43165000.0,-63845000.0,-81923000.0,-53019000.0,-34898000.0,-42854000.0,-10432000.0,-5192000.0
,operatingIncomeRatio,-1.40460772509843,-2.94053979366249,-4.54446108614856,-7.52469486233324,0.0,0.0,0.0,0.0
,totalOtherIncomeExpensesNet,-589000.0,16162000.0,126825000.0,-54380000.0,-16439000.0,-1229000.0,282000.0,-288000.0
,incomeBeforeTax,-45090000.0,-47683000.0,32387000.0,-111712000.0,-51357000.0,-44083000.0,-10150000.0,-5480000.0
,incomeBeforeTaxRatio,-1.46724805570922,-2.19615880619013,1.79658290342264,-15.8546693159239,0.0,0.0,0.0,0.0
,incomeTaxExpense,-15000.0,1768000.0,536000.0,1771000.0,-2638000.0,-450000.0,-480000.0,-93000.0
,netIncome,-45075000.0,-49451000.0,31851000.0,-113483000.0,-48597000.0,-43580000.0,-9670000.0,-5295000.0
,netIncomeRatio,-1.46675994923693,-2.27758843036109,1.76684972541188,-16.1060175986375,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,-0.78,-0.91,0.69,-3.11,-2.26,-2.62,-0.96,-0.88
,EPSDiluted,-0.78,-1.1,0.31,-3.11,-2.27,-2.62,-0.96,-0.88
,weightedAverageShsOut,56105155.0,54182499.0,46297088.0,36544825.0,21550353.0,16606669.0,10105852.0,6017895.0
,weightedAverageShsOutDil,56105155.0,55383030.0,49724503.0,36544825.0,21655564.0,16606669.0,10105852.0,6017895.0
