date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-03-31_FY,2002-03-31_FY,2001-03-31_FY,2000-03-31_FY,1999-03-31_FY,1998-03-31_FY,1997-03-31_FY,1996-03-31_FY,1995-03-31_FY,1994-03-31_FY,1993-03-31_FY,1992-03-31_FY,1991-03-31_FY,1990-03-31_FY,1989-03-31_FY,1988-03-31_FY,1987-03-31_FY
,revenue,840883000.0,769432000.0,593749000.0,445304000.0,329543000.0,230311000.0,183643000.0,158124000.0,126375000.0,101151000.0,85713000.0,73210000.0,58941000.0,50649000.0,43670000.0,38216000.0,25739000.0,23310000.0,26858000.0,24896000.0,22517000.0,22089604.0,22445436.0,16461930.0,12843610.0,9200000.0,6700000.0,3400000.0,2700000.0,2000000.0,3000000.0,2900000.0,4200000.0,4700000.0
,costOfRevenue,151305000.0,129567000.0,98581000.0,70627000.0,50419000.0,39945000.0,37322000.0,31596000.0,24507000.0,21977000.0,22529000.0,20437000.0,15065000.0,12012000.0,11685000.0,9366000.0,7591000.0,7501000.0,7915000.0,7375000.0,5882000.0,6772132.0,6502256.0,5360449.0,3921319.0,2900000.0,1900000.0,3000000.0,2000000.0,1300000.0,1000000.0,1100000.0,200000.0,3700000.0
,grossProfit,689578000.0,639865000.0,495168000.0,374677000.0,279124000.0,190366000.0,146321000.0,126528000.0,101868000.0,79174000.0,63184000.0,52773000.0,43876000.0,38637000.0,31985000.0,28850000.0,18148000.0,15809000.0,18943000.0,17521000.0,16635000.0,15317472.0,15943180.0,11101481.0,8922291.0,6300000.0,4800000.0,400000.0,700000.0,700000.0,2000000.0,1800000.0,4000000.0,1000000.0
,grossProfitRatio,0.820064146855151,0.831606951621456,0.833968562473368,0.84139599015504,0.847003274231284,0.826560607178988,0.796768730634982,0.800182135539197,0.806077151335312,0.78273076885053,0.737157724032527,0.720844146974457,0.744405422371524,0.76283835811171,0.732425005724754,0.754919405484614,0.70507789735421,0.678206778206778,0.705301958448135,0.703767673521851,0.738775147666208,0.693424472435088,0.710308322814491,0.674372992717136,0.694687163499982,0.684782608695652,0.716417910447761,0.117647058823529,0.259259259259259,0.35,0.666666666666667,0.620689655172414,0.952380952380952,0.212765957446809
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,98759000.0,93503000.0,75297000.0,66386000.0,49759000.0,35973000.0,30707000.0,25647000.0,27159000.0,26677000.0,25954000.0,25328000.0,24917000.0,22292000.0,30045000.0,13497000.0,14299000.0,20552000.0,27368000.0,22671000.0,15633000.0,13449545.0,9090517.0,3832918.0,3218211.0,2500000.0,2400000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,341600000.0,321550000.0,262734000.0,218153000.0,164261000.0,125727000.0,107251000.0,84227000.0,71711000.0,62287000.0,60837000.0,55357000.0,52658000.0,42448000.0,30923000.0,18606000.0,14101000.0,14748000.0,16196000.0,12411000.0,12562000.0,9772292.0,9054095.0,7068403.0,5740830.0,4300000.0,4400000.0,4600000.0,6400000.0,8800000.0,5200000.0,4800000.0,5100000.0,900000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-4561000.0,30382000.0,-388000.0,-349000.0,339000.0,-97000.0,49000.0,326000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,440359000.0,415053000.0,338031000.0,284539000.0,214020000.0,161700000.0,137958000.0,109985000.0,100348000.0,90359000.0,88260000.0,82291000.0,80363000.0,66348000.0,62276000.0,32103000.0,28400000.0,35300000.0,43564000.0,35082000.0,28195000.0,23221837.0,16938295.0,10901321.0,8959041.0,7200000.0,7100000.0,4900000.0,7000000.0,9100000.0,5400000.0,5000000.0,5300000.0,1100000.0
,costAndExpenses,591664000.0,544620000.0,436612000.0,355166000.0,264439000.0,201645000.0,175280000.0,141581000.0,124855000.0,112336000.0,110789000.0,102728000.0,95428000.0,78360000.0,73961000.0,41469000.0,35991000.0,42801000.0,51479000.0,42457000.0,34077000.0,29993969.0,23440551.0,16261770.0,12880360.0,10100000.0,9000000.0,7900000.0,9000000.0,10400000.0,6400000.0,6100000.0,5500000.0,4800000.0
,interestExpense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,20430000.0,14121000.0,11005000.0,6202000.0,3277000.0,2770000.0,2508000.0,111000.0,1478000.0,1395000.0,1469000.0,1606000.0,1582000.0,1608000.0,1308000.0,1240000.0,1388000.0,1704000.0,1771000.0,2968000.0,1685000.0,1385988.0,876939.0,429612.0,349756.0,400000.0,300000.0,300000.0,600000.0,300000.0,200000.0,200000.0,200000.0,200000.0
,EBITDA,269649000.0,238933000.0,168142000.0,96340000.0,68381000.0,31436000.0,10871000.0,16654000.0,2998000.0,-9790000.0,-23607000.0,-27912000.0,-34905000.0,-26103000.0,-28983000.0,-2013000.0,-8864000.0,-17787000.0,-22850000.0,-14593000.0,-9875000.0,-6518377.0,-118176.0,629772.0,313006.0,-500000.0,-2000000.0,-4200000.0,-5700000.0,-8100000.0,-3200000.0,-3000000.0,-1100000.0,100000.0
,EBITDARatio,0.320673625224912,0.310531664916458,0.283187003262321,0.21634658570325,0.207502511053186,0.136493697652305,0.0591963755765262,0.105322405200982,0.0237230464886251,-0.0967859932180601,-0.275419131286969,-0.381259390793607,-0.592202371863389,-0.515370491026476,-0.663682161667048,-0.0526742725559975,-0.344380123547923,-0.763063063063063,-0.850770720083402,-0.586158419023136,-0.438557534307412,-0.295087997050558,-0.00526503472688167,0.0382562676429799,0.0243705624820436,-0.0543478260869565,-0.298507462686567,-1.23529411764706,-2.11111111111111,-4.05,-1.06666666666667,-1.03448275862069,-0.261904761904762,0.0212765957446809
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
