date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1992-12-31_FY,1991-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,279380000.0,238563000.0,242397000.0,207422000.0,216586000.0,188178000.0,180814000.0,165502000.0,51085000.0,-93268000.0,134158000.0,167189000.0,244726000.0,376152000.0,324996000.0,248064000.0,195173000.0,78605000.0,162042000.0,159291000.0,223970000.0,382842000.0,292916000.0,128956000.0,193346000.0,155387000.0,133489000.0,69600000.0,77600000.0,62300000.0
,depreciationAndAmortization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21126000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152635000.0,129374000.0,92773000.0,76893000.0,67350000.0,67690000.0,50500000.0,43500000.0,30400000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,107366000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-902755119.179,145515000.0,456551000.0,-214838000.0,420007000.0,51599000.0,-407658000.0,-600670000.0,140444000.0,224775000.0,-19902000.0,-1555504000.0,281893000.0,1980180000.0,275000.0,-1213688000.0,452679000.0,-412945000.0,-46577000.0,152926000.0,1067694000.0,512100000.0,-216100000.0,-70800000.0,-60400000.0,-31700000.0,-133100000.0,0.0,0.0,-31000000.0
,accountsReceivables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4202000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,880.821,902756000.0,757241000.0,300690000.0,515528000.0,95521000.0,43922000.0,451580000.0,1052250000.0,911806000.0,687031000.0,706933000.0,2262437000.0,1980544000.0,364000.0,89000.0,1213777000.0,761098000.0,1174043000.0,1220620000.0,1067694000.0,0.0,-512100000.0,-296000000.0,-225200000.0,-164800000.0,-133100000.0,0.0,0.0,0.0
,otherNonCashItems,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120950000.0,0.0,182410000.0,0.0,0.0,0.0,0.0,-42405000.0,73135000.0,150955000.0,174805000.0,232359000.0,3805000.0,-34545000.0,12873000.0,127470000.0,8395000.0,5918000.0,5857000.0,-58000000.0,-15800000.0,8100000.0
,netCashProvidedByOperatingActivites,270014000.0,222755000.0,279282000.0,202410000.0,169531000.0,192789000.0,180910000.0,155462000.0,99943000.0,145696000.0,151359000.0,-27041000.0,-37072000.0,-40597000.0,-33674000.0,184415000.0,48740000.0,129933000.0,152625000.0,210059000.0,229243000.0,258908000.0,258025000.0,195637000.0,224230000.0,200587000.0,117764000.0,94200000.0,72800000.0,38600000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11595000.0,0.0,-8287000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-24112000.0,0.0,-888180000.0,-476826000.0,-516720000.0,-132008000.0,-94547000.0,-50978000.0,-57600000.0,-54600000.0,-64100000.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,900130000.0,430266000.0,506116000.0,131585000.0,109138000.0,57138000.0,41500000.0,49700000.0,50700000.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160114000.0,338448000.0,449320000.0,332035000.0,0.0,0.0,0.0,0.0,0.0,0.0,-2078000.0,0.0,0.0,0.0,0.0,0.0,0.0,-400000.0,-1600000.0
,netCashUsedForInvestingActivites,-147000.0,-11511000.0,-16589000.0,-20110000.0,-6108000.0,-9233000.0,-18955000.0,-29214000.0,-11595000.0,-1478000.0,-8287000.0,160114000.0,324923000.0,399269000.0,231566000.0,0.0,0.0,0.0,0.0,-24112000.0,-19729000.0,-40733000.0,-81381000.0,-45945000.0,-121007000.0,6947000.0,-88620000.0,-23400000.0,-11400000.0,-19400000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
