Date,2017-12,2017-11-30,2017-11,2016-11-30,2016-11,2015-11-30,2014-12,2013-12
Cash and cash equivalents,1000000.0,13528000.0,14000000.0,14261000.0,14000000.0,56781000.0,000000.0,000000.0
Short-term investments,,1603000.0,,0.0,,0.0,,
Cash and short-term investments,,15131000.0,,14261000.0,,56781000.0,,
Receivables,5000000.0,5572000.0,6000000.0,5401000.0,5000000.0,4289000.0,4000000.0,13000000.0
Inventories,,0.0,,0.0,,0.0,,
Total current assets,402000000.0,36090000.0,1573000000.0,35407000.0,1300000000.0,69103000.0,244000000.0,188000000.0
Property Plant & Equipment Net,321000000.0,713284000.0,713000000.0,720132000.0,720000000.0,486942000.0,158000000.0,100000000.0
Goodwill and Intangible Assets,72000000,0.0,1000000,0.0,2000000,0.0,0,0
Long-term investments,000000.0,768258000.0,768000000.0,475078000.0,475000000.0,352070000.0,000000.0,000000.0
Tax assets,,0.0,,3948000.0,,41000.0,,
Total non-current assets,3000000.0,1573115000.0,1348000000.0,1299656000.0,1037000000.0,948530000.0,106000000.0,44000000.0
Total assets,409000000.0,1609205000.0,1609000000.0,1335063000.0,1335000000.0,1017633000.0,248000000.0,201000000.0
Payables,0000000.0,4394000.0,2000000.0,23771000.0,1000000.0,2612000.0,000000.0,000000.0
Short-term debt,,2229000.0,,1964000.0,,1964000.0,,
Total current liabilities,0000000.0,7648000.0,8000000.0,26605000.0,27000000.0,5065000.0,15000000.0,17000000.0
Long-term debt,000000.0,689847000.0,000000.0,384436000.0,000000.0,297206000.0,61000000.0,000000.0
Total debt,000000.0,692076000.0,000000.0,386400000.0,000000.0,299170000.0,61000000.0,000000.0
Deferred revenue,000000.0,1025000.0,0000000.0,870000.0,0000000.0,489000.0,11000000.0,11000000.0
Tax Liabilities,000000.0,0.0,37000000.0,0.0,31000000.0,0.0,000000.0,000000.0
Deposit Liabilities,,0.0,,0.0,,0.0,,
Total non-current liabilities,3000000.0,729233000.0,1348000000.0,415477000.0,1037000000.0,332926000.0,106000000.0,44000000.0
Total liabilities,4000000.0,1355247000.0,1355000000.0,1063485000.0,1063000000.0,609305000.0,120000000.0,61000000.0
Other comprehensive income,397000000.0,170274327,249000000.0,170065320,249000000.0,392748000,128000000.0,140000000.0
Retained earnings (deficit),8000000.0,4595000.0,5000000.0,22440000.0,22000000.0,15580000.0,000000.0,000000.0
Total shareholders equity,405000000.0,253958000.0,254000000.0,271578000.0,272000000.0,408328000.0,128000000.0,140000000.0
Investments,000000.0,769861000.0,768000000.0,475078000.0,475000000.0,352070000.0,000000.0,000000.0
Net Debt,-1000000,678548000.0,-14000000,372139000.0,-14000000,242389000.0,61000000,0
Other Assets,8000000,0.0,107000000,0.0,103000000,0.0,86000000,88000000
Other Liabilities,3000000,618366000.0,726000000,621403000.0,438000000,271314000.0,6000000,3000000
