date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2013-12-31_FY
,revenue,925925000.0,860969000.0,704589000.0,436152000.0,421582000.0,359059000.0,272890000.0
,costOfRevenue,647199000.0,615272000.0,489059000.0,261463000.0,249471000.0,202665000.0,148399000.0
,grossProfit,278726000.0,245697000.0,215530000.0,174689000.0,172111000.0,156394000.0,124491000.0
,grossProfitRatio,0.301024381024381,0.285372644078939,0.3058946421247,0.400523212091198,0.40825035224464,0.435566299688909,0.456194803767086
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,92156000.0,95245000.0,75681000.0,63357000.0,61507000.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,669000.0,-282000.0,674000.0,650000.0,237000.0,174000.0,2393000.0
,operatingExpenses,111684000.0,118434000.0,114482000.0,109831000.0,119621000.0,0.0,0.0
,costAndExpenses,758883000.0,733706000.0,603541000.0,371294000.0,369092000.0,329184000.0,214027000.0
,interestExpense,0.0,1568000.0,8157000.0,7559000.0,19384000.0,27259000.0,18000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,19528000.0,23189000.0,38801000.0,46474000.0,58114000.0,69521000.0,30519000.0
,EBITDA,186570000.0,150452000.0,139849000.0,111332000.0,110604000.0,99396000.0,89382000.0
,EBITDARatio,0.201495801495801,0.174747290552854,0.198483087303378,0.255259634255947,0.262354654610491,0.276823586095878,0.327538568654036
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,167042000.0,127263000.0,101048000.0,64858000.0,52490000.0,29875000.0,58863000.0
,operatingIncomeRatio,0.18040554040554,0.147813684348682,0.143414103825067,0.148705038610393,0.124507213306071,0.0832035960663846,0.215702297629081
,totalOtherIncomeExpensesNet,1183000.0,-863000.0,1060000.0,-354000.0,-11149000.0,-10446000.0,-1718000.0
,incomeBeforeTax,168532000.0,124832000.0,93951000.0,56945000.0,21957000.0,-7830000.0,39145000.0
,incomeBeforeTaxRatio,0.182014742014742,0.144990121595551,0.133341565082623,0.130562281039638,0.0520823944096285,-0.0218070010778173,0.143446077173953
,incomeTaxExpense,23148000.0,24389000.0,20766000.0,17823000.0,8532000.0,843000.0,14301000.0
,netIncome,145384000.0,100443000.0,73185000.0,39122000.0,13425000.0,-8673000.0,24844000.0
,netIncomeRatio,0.157014877014877,0.116662736985885,0.103869064092684,0.0896980869054825,0.0318443387051629,-0.024154804642134,0.0910403459269303
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EPS,4.05183802012207,2.79,2.05,1.0,0.38,-0.11,0.64789
,EPSDiluted,4.05183802012207,2.67,1.97,0.98,0.37,-0.11,0.64789
,weightedAverageShsOut,35578000.0,35881000.0,35547000.0,39056000.0,35690000.0,38346000.0,38346000.0
,weightedAverageShsOutDil,37649000.0,37576000.0,36912000.0,39839000.0,36329000.0,38346000.0,38346000.0
