date,,2021-01-30_FY,2020-02-01_FY,2019-02-02_FY,2018-02-03_FY,2017-01-28_FY,2016-01-30_FY,2015-01-31_FY,2014-02-01_FY,2013-02-02_FY,2012-01-28_FY,2011-01-29_FY,2010-01-30_FY,2009-01-31_FY,2008-02-02_FY,2007-02-03_FY,2006-01-28_FY,2005-01-29_FY,2004-01-31_FY,2003-02-01_FY,2002-02-02_FY,2001-02-03_FY,2000-01-29_FY,1999-01-30_FY,1998-01-31_FY,1997-02-01_FY,1996-01-31_FY,1995-07-31_FY,1994-07-31_FY,1993-07-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-209274000.0,191257000.0,261902000.0,204163000.0,212449000.0,218138000.0,80322000.0,83000000.0,232100000.0,151700000.0,140600000.0,169000000.0,179061000.0,400000000.0,387400000.0,294200000.0,213300000.0,60000000.0,88700000.0,105500000.0,93800000.0,90700000.0,54100000.0,19537000.0,5900000.0,7100000.0,6800000.0,12200000.0,3800000.0
,depreciationAndAmortization,165580000.0,181379000.0,170504000.0,169473000.0,158174000.0,148858000.0,142351000.0,134000000.0,128400000.0,143200000.0,145500000.0,147500000.0,133141000.0,109200000.0,88000000.0,74600000.0,68300000.0,56281000.0,50700000.0,41900000.0,23200000.0,12200000.0,8600000.0,7318000.0,6100000.0,4100000.0,5000000.0,3700000.0,3300000.0
,deferredIncomeTax,-34890000.0,6541000.0,-4391000.0,44312000.0,14838000.0,4680000.0,-2279000.0,0.0,0.0,0.0,0.0,0.0,24469000.0,0.0,0.0,0.0,0.0,7466000.0,0.0,0.0,0.0,0.0,0.0,-496000.0,0.0,0.0,3100000.0,-7000000.0,0.0
,stockBasedCompensation,32778000.0,23000000.0,27506000.0,16890000.0,29137000.0,34977000.0,16070000.0,-6541000.0,66349000.0,12341000.0,25457000.0,36900000.0,0.0,33670000.0,36556000.0,19620000.0,25166000.0,0.0,853000.0,3084000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,367987000.0,-207434000.0,20299000.0,75863000.0,147753000.0,-171727000.0,-76680000.0,-197800000.0,-176200000.0,95500000.0,28600000.0,234404000.0,-121004000.0,-93200000.0,18700000.0,144800000.0,237712000.0,50288000.0,58200000.0,58500000.0,-4600000.0,79500000.0,46214000.0,14086000.0,9700000.0,5500000.0,-8000000.0,28200000.0,3900000.0
,accountsReceivables,0.0,0.0,-14093000.0,8837000.0,-7705000.0,-10093000.0,3084000.0,-29511000.0,-6664000.0,-3589000.0,-3790000.0,7052000.0,0.0,-5660000.0,2778000.0,4638000.0,3878000.0,0.0,4751000.0,8696000.0,-3200000.0,500000.0,-3400000.0,0.0,2900000.0,0.0,0.0,0.0,0.0
,inventory,42156000.0,-21615000.0,-28496000.0,-35912000.0,-53613000.0,-22259000.0,8586000.0,40148000.0,35202000.0,-77311000.0,18713000.0,-27994000.0,-13735000.0,-19074000.0,-53527000.0,-39137000.0,-25840000.0,6123000.0,-33001000.0,-7709000.0,-23700000.0,-10700000.0,-13400000.0,-8903000.0,-3700000.0,45900000.0,-33900000.0,-20800000.0,12300000.0
,accountsPayables,-30909000.0,44949000.0,4329000.0,-16663000.0,52347000.0,-3189000.0,-5280000.0,28568000.0,-10468000.0,17934000.0,5232000.0,4992000.0,0.0,-15559000.0,32345000.0,29366000.0,4466000.0,0.0,12752000.0,-2134000.0,-11300000.0,-12100000.0,6000000.0,0.0,-4200000.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,664161000.0,296174000.0,503608000.0,483309000.0,407446000.0,259693000.0,431420000.0,508100000.0,705900000.0,882100000.0,786600000.0,758000000.0,523596000.0,644600000.0,737800000.0,719100000.0,574300000.0,336588000.0,286300000.0,228100000.0,169600000.0,174200000.0,94700000.0,48486000.0,34400000.0,24700000.0,19200000.0,27200000.0,-1000000.0
,otherNonCashItems,0.0,89290000.0,27655000.0,11274000.0,48878000.0,16880000.0,0.0,59400000.0,78000000.0,36900000.0,86100000.0,34200000.0,50326000.0,28400000.0,198800000.0,49400000.0,60000000.0,0.0,6200000.0,12400000.0,3300000.0,5100000.0,1000000.0,0.0,1200000.0,200000.0,100000.0,0.0,2400000.0
,netCashProvidedByOperatingActivites,202498000.0,415416000.0,456645000.0,394426000.0,365596000.0,335113000.0,339389000.0,229900000.0,475100000.0,239300000.0,381200000.0,386500000.0,302193000.0,464300000.0,749300000.0,465600000.0,378100000.0,189469000.0,104500000.0,174900000.0,150600000.0,132900000.0,59800000.0,26168000.0,18600000.0,48400000.0,-3700000.0,-5300000.0,13500000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-127975000.0,-210360000.0,-189021000.0,-169469000.0,-161494000.0,-153256000.0,-246266000.0,-278499000.0,-93939000.0,-100135000.0,-87100000.0,-129400000.0,-265335000.0,-251600000.0,-226100000.0,-81600000.0,-97300000.0,-64173000.0,-66500000.0,-117400000.0,-89200000.0,-45600000.0,-24900000.0,-12646000.0,-10500000.0,-5100000.0,-21300000.0,-12700000.0,-2200000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-14956000.0,-112381000.0,-144405000.0,-87682000.0,0.0,-227071000.0,0.0,-33051000.0,-173554000.0,-15160000.0,-62797000.0,0.0,-48655000.0,-1772653000.0,-1353339000.0,-1187556000.0,-483083000.0,-154373000.0,-86856000.0,-53019000.0,0.0,0.0,0.0,-900000.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,10002000.0,0.0,0.0,0.0,0.0,0.0,393559000.0,0.0,0.0,0.0,0.0,90574000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,147847000.0,50597000.0,85001000.0,-1528000.0,226826000.0,0.0,116185000.0,51951000.0,28717000.0,0.0,0.0,-1180000.0,0.0,0.0,0.0,0.0,-1513000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
