date,,2020-04-25_FY,2019-04-27_FY,2018-04-28_FY,2017-04-29_FY,2016-04-30_FY,2015-04-25_FY,2014-04-26_FY,2013-04-27_FY,2012-04-28_FY,2011-04-30_FY,2010-04-24_FY,2009-04-25_FY,2008-04-26_FY,2007-04-28_FY,2006-04-29_FY,2005-04-30_FY,2004-04-24_FY,2003-04-26_FY,2002-04-27_FY,2001-04-28_FY,2000-04-29_FY,1999-04-24_FY,1998-04-25_FY,1997-04-26_FY,1996-04-30_FY,1995-04-30_FY,1994-04-30_FY,1993-04-30_FY,1992-04-30_FY,1991-04-30_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-588446000.0,83628000.0,200974000.0,170893000.0,187184000.0,223261000.0,200600000.0,210300000.0,212800000.0,225385000.0,212300000.0,199600000.0,224900000.0,208300000.0,198400000.0,183698000.0,149500000.0,119700000.0,94400000.0,75600000.0,63600000.0,49900000.0,40800000.0,32600000.0,28700000.0,24200000.0,19300000.0,12700000.0,8500000.0,7300000.0
,depreciationAndAmortization,82182000.0,82773000.0,83816000.0,83818000.0,82383000.0,44523000.0,42400000.0,46000000.0,42300000.0,41339000.0,39500000.0,30400000.0,26300000.0,25500000.0,23700000.0,26862000.0,19400000.0,12800000.0,14300000.0,11100000.0,10200000.0,9100000.0,8300000.0,6200000.0,2800000.0,2400000.0,1600000.0,1700000.0,500000.0,200000.0
,deferredIncomeTax,-31800000.0,10762000.0,-41058000.0,-13713000.0,-16034000.0,460000.0,5500000.0,7000000.0,100000.0,17170000.0,300000.0,9800000.0,13100000.0,100000.0,3900000.0,840000.0,2800000.0,1300000.0,-2800000.0,-1000000.0,-3100000.0,-400000.0,700000.0,-100000.0,500000.0,200000.0,0.0,0.0,300000.0,-600000.0
,stockBasedCompensation,37354000.0,33425000.0,36532000.0,19025000.0,0.0,26485000.0,20018000.0,14625000.0,12615000.0,10481000.0,8826000.0,7730000.0,7723000.0,7757000.0,750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,-260784000.0,-135692000.0,-35319000.0,-18544000.0,-77334000.0,123340000.0,-40600000.0,38900000.0,10622000.0,77878000.0,182100000.0,84400000.0,9900000.0,71200000.0,-39949000.0,-36651000.0,92300000.0,90700000.0,21300000.0,71600000.0,50600000.0,54600000.0,36400000.0,-15000000.0,8500000.0,-6100000.0,-18500000.0,-5400000.0,-2800000.0,-1400000.0
,accountsReceivables,-540944000.0,-402367000.0,60211000.0,-103181000.0,0.0,-38023000.0,-50756000.0,17226000.0,468000.0,0.0,24185000.0,-90908000.0,-3282000.0,-12246000.0,-24112000.0,0.0,-4241000.0,-26200000.0,-77800000.0,-12200000.0,-19900000.0,-6200000.0,-11200000.0,-17900000.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,-59258000.0,11547000.0,-60475000.0,-961000.0,-118351000.0,-22654000.0,-36019000.0,-39096000.0,16859000.0,-26639000.0,-12090000.0,24161000.0,-27036000.0,-3817000.0,-26539000.0,-22033000.0,-8468000.0,17200000.0,-38800000.0,-10900000.0,-1100000.0,-9900000.0,-16300000.0,-16700000.0,12500000.0,-15600000.0,-9200000.0,-3700000.0,-2700000.0,1100000.0
,accountsPayables,219613000.0,44189000.0,-12103000.0,59654000.0,119690000.0,6769000.0,12345000.0,41347000.0,-6847000.0,9664000.0,9215000.0,-35610000.0,9231000.0,7739000.0,4562000.0,0.0,21585000.0,22100000.0,-44300000.0,-9200000.0,-12900000.0,-6500000.0,-12200000.0,-6000000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,467867000.0,728651000.0,864343000.0,899662000.0,918206000.0,995540000.0,872200000.0,912800000.0,873900000.0,863278000.0,785400000.0,603300000.0,518900000.0,509000000.0,437800000.0,477749000.0,514400000.0,422100000.0,331400000.0,310100000.0,238500000.0,187900000.0,133300000.0,96900000.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherNonCashItems,148123000.0,-361609000.0,42812000.0,57039000.0,5153000.0,39810000.0,36500000.0,33800000.0,14400000.0,225385000.0,13000000.0,11600000.0,10500000.0,9100000.0,3500000.0,0.0,2300000.0,1400000.0,700000.0,-100000.0,400000.0,300000.0,200000.0,-500000.0,0.0,0.0,100000.0,-700000.0,200000.0,500000.0
,netCashProvidedByOperatingActivites,-243544000.0,48158000.0,178895000.0,162719000.0,156329000.0,262691000.0,195800000.0,299200000.0,321200000.0,262612000.0,265500000.0,124000000.0,265400000.0,243500000.0,164000000.0,207305000.0,197700000.0,86700000.0,89400000.0,79100000.0,67900000.0,51600000.0,39000000.0,26400000.0,41000000.0,21400000.0,3300000.0,8800000.0,6700000.0,6000000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-41809000.0,-60734000.0,-43263000.0,-47019000.0,-79354000.0,-62945000.0,-40387000.0,-21983000.0,-29650000.0,-36822000.0,-29804000.0,-32318000.0,-35991000.0,-19507000.0,-49153000.0,-31533000.0,-19624000.0,-11400000.0,-11100000.0,-10000000.0,-15400000.0,-7100000.0,-6000000.0,-5000000.0,-6900000.0,-6200000.0,-9000000.0,-6300000.0,-1800000.0,-1400000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,-1107000000.0,-10515000.0,-145815000.0,-14650000.0,-22620000.0,-52000000.0,-29804000.0,-32318000.0,-35991000.0,-19507000.0,-39228000.0,-73000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,-87500000.0,-125384000.0,0.0,-47539000.0,-96486000.0,-179525000.0,-362379000.0,0.0,0.0,0.0,0.0,0.0,-21680000.0,-22141000.0,14248000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,48744000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16777000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,540944000.0,400484000.0,147750000.0,173596000.0,22320000.0,91595000.0,6733000.0,179508000.0,362379000.0,-36822000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2400000.0,0.0,-8400000.0,0.0,0.0,0.0
