date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY,1996-12-31_FY,1995-12-31_FY,1994-12-31_FY,1993-12-31_FY,1993-06-30_FY,1992-06-30_FY,1991-06-30_FY
,revenue,2381000000.0,2122000000.0,1084132000.0,882728000.0,812465000.0,597356000.0,508134000.0,346298000.0,404831000.0,307131000.0,346058000.0,270374000.0,327176000.0,307288000.0,332137000.0,261553000.0,346567000.0,295371000.0,198640000.0,156343450.0,171213003.0,144000000.0,128900000.0,103500000.0,79300000.0,58600000.0,36500000.0,13100000.0,25200000.0,27500000.0,27500000.0
,costOfRevenue,1457000000.0,1503000000.0,637313000.0,588657000.0,515478000.0,408525000.0,315193000.0,237221000.0,228213000.0,194196000.0,196353000.0,187583000.0,199572000.0,199687000.0,191502000.0,161905000.0,197006000.0,183287000.0,119377000.0,104024418.0,105314455.0,87600000.0,77400000.0,61300000.0,48300000.0,41500000.0,24900000.0,8900000.0,8500000.0,12900000.0,11200000.0
,grossProfit,924000000.0,619000000.0,446819000.0,294071000.0,296987000.0,188831000.0,192941000.0,109077000.0,176618000.0,112935000.0,149705000.0,82791000.0,127604000.0,107601000.0,140635000.0,99648000.0,149561000.0,112084000.0,79263000.0,52319032.0,65898548.0,56400000.0,51500000.0,42200000.0,31000000.0,17100000.0,11600000.0,4200000.0,16700000.0,14600000.0,16300000.0
,grossProfitRatio,0.388072238555229,0.291705937794533,0.41214446211347,0.333138860441722,0.365538207799721,0.31611133059683,0.379704959715351,0.314980161594927,0.436275878082459,0.36770954413589,0.432600893491842,0.306209176917899,0.390016382619752,0.350163364661165,0.423424671144738,0.380985880490761,0.431550032172711,0.37946853279435,0.399028393072896,0.334641662314603,0.38489219186232,0.391666666666667,0.399534522885958,0.407729468599034,0.390920554854981,0.291808873720137,0.317808219178082,0.320610687022901,0.662698412698413,0.530909090909091,0.592727272727273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,0.0,0.0,40910000.0,31541000.0,40347000.0,34343000.0,29203000.0,19810000.0,15927000.0,14173000.0,13545000.0,14168000.0,14097000.0,15090000.0,15097000.0,11505000.0,11662000.0,8460000.0,5607000.0,3615117.0,3594113.0,3500000.0,3100000.0,2500000.0,3200000.0,0.0,0.0,0.0,0.0,0.0,0.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-5000000.0,4000000.0,5507000.0,162000.0,775000.0,103000.0,23000.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,0.0,195000000.0,74453000.0,77045000.0,62519000.0,48694000.0,38545000.0,24432000.0,23208000.0,40481000.0,44654000.0,47340000.0,49450000.0,54225000.0,52644000.0,38787000.0,36354000.0,37316000.0,23335000.0,34439384.0,34801018.0,34500000.0,26600000.0,21600000.0,14100000.0,0.0,0.0,0.0,0.0,0.0,0.0
,costAndExpenses,1658000000.0,1698000000.0,711766000.0,665702000.0,577997000.0,457219000.0,353738000.0,261653000.0,251421000.0,234677000.0,241007000.0,234923000.0,249022000.0,253912000.0,244146000.0,200692000.0,233360000.0,220603000.0,142712000.0,138463802.0,140115473.0,122100000.0,104000000.0,82900000.0,62400000.0,49400000.0,30200000.0,10900000.0,21000000.0,26300000.0,23300000.0
,interestExpense,191000000.0,227000000.0,106628000.0,95259000.0,97236000.0,74411000.0,68913000.0,52445000.0,59443000.0,61777000.0,70045000.0,69088000.0,54079000.0,67189000.0,66787000.0,46549000.0,41974000.0,43337000.0,35674000.0,35782547.0,39957362.0,0.0,25500000.0,0.0,11700000.0,5400000.0,1900000.0,400000.0,1200000.0,1600000.0,100000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,depreciationAndAmortization,201000000.0,195000000.0,74453000.0,77045000.0,62519000.0,48694000.0,38545000.0,24432000.0,23208000.0,26308000.0,31109000.0,33172000.0,35353000.0,39383000.0,36526000.0,25881000.0,25143000.0,27791000.0,17728000.0,30824267.0,31206905.0,31000000.0,23500000.0,19100000.0,10900000.0,5600000.0,3400000.0,1100000.0,2800000.0,1900000.0,2200000.0
,EBITDA,924000000.0,619000000.0,446819000.0,294071000.0,296987000.0,188831000.0,192941000.0,109077000.0,176618000.0,98762000.0,136160000.0,68623000.0,113507000.0,92759000.0,124517000.0,86742000.0,138350000.0,102559000.0,73656000.0,48703915.0,62304435.0,52900000.0,48400000.0,39700000.0,27800000.0,14800000.0,9700000.0,3300000.0,7000000.0,3100000.0,6400000.0
,EBITDARatio,0.388072238555229,0.291705937794533,0.41214446211347,0.333138860441722,0.365538207799721,0.31611133059683,0.379704959715351,0.314980161594927,0.436275878082459,0.321563111506165,0.393460055828792,0.253807688609112,0.346929481380052,0.301863398505636,0.374896503551245,0.331642152833269,0.399201308837829,0.347220952632452,0.370801449859042,0.311518742870264,0.363900135552205,0.367361111111111,0.375484871993794,0.383574879227053,0.350567465321564,0.252559726962457,0.265753424657534,0.251908396946565,0.277777777777778,0.112727272727273,0.232727272727273
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INCOME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,operatingIncome,723000000.0,424000000.0,372366000.0,217026000.0,234468000.0,140137000.0,154396000.0,84645000.0,153410000.0,72454000.0,105051000.0,35451000.0,78154000.0,53376000.0,87991000.0,60861000.0,113207000.0,74768000.0,55928000.0,17879648.0,31097530.0,21900000.0,24900000.0,20600000.0,16900000.0,9200000.0,6300000.0,2200000.0,4200000.0,1200000.0,4200000.0
,operatingIncomeRatio,0.303653926921462,0.199811498586239,0.343469245442437,0.245858293834567,0.288588431501665,0.234595450619061,0.30384898471663,0.244428209230201,0.378948252480665,0.235905851249141,0.303564720364794,0.131118376766997,0.238874489571362,0.173700242118143,0.264923811559688,0.232690888653542,0.326652566459011,0.253132501159559,0.281554571083367,0.114361349963814,0.181630655704345,0.152083333333333,0.193173002327386,0.199033816425121,0.213114754098361,0.156996587030717,0.172602739726027,0.16793893129771,0.166666666666667,0.0436363636363636,0.152727272727273
