date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2008-04-18_FY,2007-12-31_FY,2006-12-31_FY,2005-12-31_FY,2004-12-31_FY,2003-12-31_FY,2002-12-31_FY,2001-12-31_FY,2000-12-31_FY,1999-12-31_FY,1998-12-31_FY,1997-12-31_FY
,revenue,607943000.0,705799000.0,656070000.0,460023000.0,256863000.0,190238000.0,96715000.0,37500000.0,37300000.0,55500000.0,40800000.0,67300000.0,82900000.0,88160000.0,88200000.0,105700000.0,100200000.0,135700000.0,75200000.0,40300000.0,61500000.0,76300000.0,40300000.0,45000000.0,42100000.0
,costOfRevenue,563894000.0,378226000.0,313663000.0,251127000.0,195729000.0,161121000.0,52631000.0,14700000.0,11900000.0,9900000.0,6400000.0,27400000.0,18500000.0,0.0,28400000.0,35900000.0,33700000.0,24100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,grossProfit,44049000.0,327573000.0,342407000.0,208896000.0,61134000.0,29117000.0,44084000.0,22800000.0,25400000.0,45600000.0,34500000.0,39900000.0,64400000.0,88160000.0,59700000.0,69900000.0,66500000.0,111600000.0,75200000.0,40300000.0,0.0,0.0,0.0,0.0,0.0
,grossProfitRatio,0.0724558058896969,0.464116554429802,0.52190619903364,0.454099034178726,0.2380023592343,0.15305564608543,0.455813472574058,0.608,0.680965147453083,0.821621621621622,0.845588235294118,0.592867756315007,0.776839565741858,1.0,0.67687074829932,0.661305581835383,0.663672654690619,0.822402358142962,1.0,1.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COST And EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ResearchAndDevelopmentExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,GeneralAndAdministrativeExpenses,13722000.0,14123000.0,14705000.0,12558000.0,14528000.0,17198000.0,5037000.0,4900000.0,4300000.0,3500000.0,3000000.0,1800000.0,1500000.0,0.0,1500000.0,1500000.0,1000000.0,1100000.0,900000.0,800000.0,800000.0,800000.0,800000.0,800000.0,700000.0
,SellingAndMarketingExpenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherExpenses,-825000.0,118949000.0,89721000.0,66792000.0,52746000.0,30719000.0,0.0,0.0,27307000.0,56303000.0,52730000.0,43583000.0,33796000.0,46913000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,operatingExpenses,10757000.0,15293000.0,11714000.0,8677000.0,14528000.0,17198000.0,5037000.0,4937000.0,4259000.0,26287000.0,22585000.0,16166000.0,15249000.0,46913000.0,46913000.0,54463000.0,51778000.0,42441000.0,18456956.0,18398289.0,18393779.0,18400217.0,18433882.0,18434000.0,15564494.0
,costAndExpenses,574651000.0,605143000.0,511057000.0,409948000.0,337171000.0,369598000.0,77229000.0,30700000.0,27300000.0,24500000.0,17300000.0,43600000.0,33800000.0,46913000.0,-2200000.0,54500000.0,51800000.0,42400000.0,18500000.0,18400000.0,18400000.0,18400000.0,18400000.0,18400000.0,15600000.0
,interestExpense,44674000.0,59547000.0,75108000.0,59840000.0,44166000.0,28270000.0,2525000.0,-2800000.0,3765000.0,4957000.0,3940000.0,1895000.0,3216000.0,6373000.0,-5300000.0,-5500000.0,-4400000.0,-7400000.0,-9300000.0,-8900000.0,-8800000.0,-8700000.0,-8800000.0,-8800000.0,-6800000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
