date,,2020-03-31_FY,2019-03-31_FY,2018-03-31_FY,2017-03-31_FY,2016-03-31_FY,2015-03-31_FY,2014-03-31_FY,2013-03-31_FY,2012-03-31_FY,2011-03-31_FY,2010-03-31_FY,2009-03-31_FY,2008-03-31_FY,2007-03-31_FY,2006-03-31_FY,2005-03-31_FY,2004-03-31_FY,2003-03-31_FY,2002-03-31_FY,2001-03-31_FY,2000-03-31_FY,1999-03-31_FY,1998-03-31_FY,1997-03-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-6373948.0,-6194719.0,-5679558.0,-7276113.0,-4872329.0,-6797157.0,-13357232.0,-4892040.0,-8111340.0,-5711435.0,-4573315.0,-6084158.0,-4140264.0,-6024545.0,-2920183.0,-2096951.0,-1518798.0,-2461116.0,-3995910.0,-4423073.0,-1299382.0,-352679.0,-3599.0,-1534.0
,depreciationAndAmortization,26366.0,30695.0,35658.0,32413.0,38524.0,37352.0,21087.0,10484.0,17219.0,19102.0,13653.0,1533413.0,1217413.0,246079.0,327740.0,108645.0,127000.0,159783.0,204202.0,228418.0,303122.0,24458.0,0.0,0.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,843998.0,1319001.0,1260769.0,2186309.0,202844.0,416481.0,607946.0,765273.0,1100510.0,1862030.0,504933.0,733289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,changeInWorkingCapital,6759163.0,-4538063.0,5766797.0,-892036.0,1247112.0,14799891.0,-4892853.0,161661.0,-3305605.0,-1264132.0,-765022.0,-622581.0,3779413.0,-5339689.0,1427847.0,581127.0,77838.0,-987856.0,304540.0,-1622351.0,-918291.0,-782172.0,-3479.0,-400.0
,accountsReceivables,-206729.0,0.0,-74813.0,0.0,0.0,0.0,0.0,0.0,-400114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,inventory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,accountsPayables,-16765.0,390340.0,-104154.0,322140.0,-46365.0,-1108294.0,46602.0,751210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherWorkingCapital,8973393.0,2214230.0,6752293.0,985496.0,1877532.0,630420.0,-14169471.0,-9276618.0,-9438279.0,-6132674.0,-4868542.0,-4103520.0,-3480939.0,-7260352.0,-1920663.0,-3348510.0,-3929637.0,-4007475.0,-3019619.0,-3324159.0,-1701808.0,-783517.0,-1345.0,2134.0
,otherNonCashItems,31251.0,140498.0,279263.0,220439.0,517233.0,3027366.0,629004.0,763293.0,-7039068.0,-3936984.0,518597.0,120967.0,722190.0,313046.0,1288475.0,0.0,0.0,0.0,0.0,0.0,0.0,37600.0,120.0,-285.0
,netCashProvidedByOperatingActivites,-5197608.0,-4293433.0,-3910680.0,-3505900.0,-4329307.0,-5049414.0,-2138971.0,-2098857.0,-1841355.0,-1968333.0,-1977517.0,-1777388.0,-2104272.0,-1718904.0,-1584281.0,-1559366.0,-542056.0,-514503.0,-1007431.0,-800667.0,-678927.0,-122750.0,-1850.0,-2219.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-151665.0,0.0,-24823.0,-16433.0,-9307.0,0.0,-96056.0,0.0,-1735.0,-2541.0,-17068.0,-1407.0,-11543.0,-17810.0,-15651.0,-30070.0,-4782.0,-1198.0,0.0,-6478.0,-13476.0,0.0,0.0,0.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6805.0,-13087.0,-10419.0,0.0,-6294.0,0.0,0.0,0.0,-49034.0,-46920.0,2286.0,-31382.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-151665.0,0.0,-24823.0,-16433.0,-9307.0,0.0,-96056.0,0.0,-1735.0,-9346.0,-30155.0,-11826.0,-11543.0,-24104.0,-15651.0,-30070.0,-4782.0,-50232.0,-77724.0,-124042.0,-44858.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,-992591.0,0.0,0.0,0.0,0.0,-523422.0,-217000.0,-29610.0,-223078.0,0.0,-24000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,commonStockIssued,12159508.0,1341303.0,9628505.0,2759355.0,5606755.0,4763153.0,3177032.0,2109834.0,300000.0,320433.0,115200.0,1110680.0,1290400.0,1296737.0,1454415.0,1488942.0,522125.0,230400.0,911764.0,100000.0,0.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,-193866.0,-278633.0,-378518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
