Date,2017-12,2017-11-30,2017-11,2016-11-30,2016-11,2015-11-30,2014-12,2013-12
Revenue,22000000.0,70089000.0,70000000.0,61198000.0,61000000.0,10660000.0,9000000.0,24000000.0
Revenue Growth,-0.686113370143674,0.00127142857142857,0.143828229680709,0.00324590163934426,4.72232645403377,0.184444444444444,-0.625,
Cost of Revenue,000000.0,35976000.0,8000000.0,32022000.0,7000000.0,7595000.0,2000000.0,14000000.0
Gross Profit,22000000.0,34113000.0,62000000.0,29176000.0,54000000.0,3065000.0,7000000.0,10000000.0
R&D Expenses,,0.0,,0.0,,0.0,,
SG&A Expense,,9732000.0,,7003000.0,,10702000.0,,
Operating Expenses,14000000.0,10332000.0,38000000.0,7003000.0,32000000.0,10702000.0,7000000.0,7000000.0
Operating Income,9000000.0,23781000.0,24000000.0,22173000.0,22000000.0,-7637000.0,-0000000.0,3000000.0
Interest Expense,000000.0,23497000.0,23000000.0,12081000.0,12000000.0,1860000.0,6000000.0,7000000.0
Earnings before Tax,,2453000.0,,12813000.0,,-20563000.0,,
Income Tax Expense,000000.0,6587000.0,7000000.0,18244000.0,18000000.0,-12503000.0,0000000.0,0000000.0
Net Income - Non-Controlling int,,0.0,,0.0,,0.0,,
Net Income - Discontinued ops,,0.0,,0.0,,0.0,,
Net Income,10000000.0,11407000.0,11000000.0,27101000.0,27000000.0,18726000.0,-1000000.0,-4000000.0
Preferred Dividends,,0.0,,0.0,,0.0,,
Net Income Com,10000000.0,11407000.0,11000000.0,27101000.0,27000000.0,18726000.0,-1000000.0,-4000000.0
EPS,0.12,0.41,0.41,1.27,1.27,0.94,-0.12,
EPS Diluted,0.12,0.41,0.41,1.27,1.27,0.94,-0.12,
Weighted Average Shs Out,79000000.0,28079000.0,28000000.0,21420000.0,21000000.0,20002000.0,20000000.0,
Weighted Average Shs Out (Dil),79000000.0,43579000.0,44000000.0,36920000.0,37000000.0,35034000.0,20000000.0,
Dividend per Share,,0.0,,0.0,,0.0,,
Gross Margin,1,0.48670975474,0.88571428571429,0.476747606131,0.88524590163934,0.287523452158,0.77777777777778,0.41666666666667
EBITDA Margin,1,0.75994806603,0.77142857142857,0.74641328148,0.78688524590164,-0.313883677298,0.77777777777778,0.25
EBIT Margin,0.45454545454545,0.339297179301,0.58571428571429,0.362315761953,0.9344262295082,-0.716416510319,0.55555555555556,0.125
Profit Margin,0.45454545454545,0.162750217581,0.15714285714286,0.442841269323,0.44262295081967,1.75666041276,-0.11111111111111,-0.16666666666667
Free Cash Flow margin,,1.26507725891,,0.892774273669,,-20.8116322702,,
EBITDA,22000000.0,53264000.0,54000000.0,45679000.0,48000000.0,-3346000.0,7000000.0,6000000.0
EBIT,10000000,23781000.0,41000000,22173000.0,57000000,-7637000.0,5000000,3000000
Consolidated Income,10000000.0,11407000.0,11000000.0,27101000.0,27000000.0,18726000.0,-1000000.0,-4000000.0
Earnings Before Tax Margin,0,0.034998359229,0,0.209369587241,0,-1.92898686679,0,0
Net Profit Margin,0.45454545454545,0.162750217581,0.15714285714286,0.442841269323,0.44262295081967,1.75666041276,-0.11111111111111,-0.16666666666667
