Date,2018-12-31,2017-12-31
Depreciation & Amortization,0.0,0.0
Stock-based compensation,1571859.0,1559523.0
Operating Cash Flow,-41396777.0,-19088860.0
Capital Expenditure,0.0,-3427.0
Acquisitions and disposals,0.0,0.0
Investment purchases and sales,0.0,0.0
Investing Cash flow,-420587.0,-204836.0
Issuance (repayment) of debt,0.0,0.0
Issuance (buybacks) of shares,27158114.0,41084278.0
Dividend payments,0.0,0.0
Financing Cash Flow,27158114.0,41084278.0
Effect of forex changes on cash,0.0,0.0
Net cash flow / Change in cash,-14659250.0,21790582.0
Free Cash Flow,-41396777.0,-19092287.0
Net Cash/Marketcap,,
