date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY,2006-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,-17952172.0,-26476370.0,-21875713.0,-19633502.0,-19250082.0,-13427478.0,-7868858.0,-10146228.0,322840.0,-3879581.0,-4557133.0,-3250424.0,-4894199.0,-3060000.0,-720000.0
,depreciationAndAmortization,2458482.0,2441581.0,1665887.0,1213366.0,770668.0,667291.0,350930.0,377840.0,468817.0,468823.0,444358.0,522458.0,510133.0,370000.0,280000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,2805842.0,1498357.0,2197481.0,1623272.0,902978.0,2238548.0,260747.0,159272.0,172233.0,298664.0,243973.0,355198.0,180298.0,0.0,0.0
,changeInWorkingCapital,25520912.0,-6267579.0,6899066.0,1999270.0,-919995.0,16155228.0,554093.0,1959742.0,2111307.0,-7155235.0,60697.0,2888546.0,-2816289.0,900000.0,540000.0
,accountsReceivables,-1305900.0,-599577.0,201836.0,-870858.0,222380.0,57839.0,-168613.0,-44320.0,607885.0,254821.0,87845.0,-33139.0,1494613.0,-930000.0,0.0
,inventory,1273835.0,-2998724.0,-3429485.0,-2352581.0,-426521.0,-2437149.0,41679.0,-266446.0,717499.0,1208942.0,-789028.0,-652315.0,-322856.0,-820000.0,0.0
,accountsPayables,454370.0,-1605456.0,-846399.0,2640584.0,178037.0,-1276132.0,-237006.0,-379634.0,-912122.0,-362226.0,191429.0,-826407.0,733691.0,-1290000.0,0.0
,otherWorkingCapital,41959763.0,16438851.0,22706430.0,15807364.0,13808094.0,14728089.0,-1427139.0,-1981232.0,-3940974.0,-6052281.0,1102954.0,1042257.0,-1846289.0,970000.0,70000.0
,otherNonCashItems,0.0,100000.0,175000.0,404010.0,993906.0,1855489.0,815549.0,1237610.0,823587.0,-3230233.0,221509.0,0.0,132894.0,190000.0,20000.0
,netCashProvidedByOperatingActivites,-13964053.0,-22355020.0,-22542574.0,-16465706.0,-14396964.0,-11668079.0,-4609050.0,-5091550.0,-2823296.0,-1503661.0,-2844410.0,-2261123.0,-1285449.0,-3300000.0,120000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-496629.0,-1898771.0,-1365388.0,-1681258.0,-2039299.0,-1892831.0,-195903.0,-145929.0,-180189.0,-800397.0,-150548.0,-337862.0,-424166.0,-320000.0,-480000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,salesMaturitiesOfInvestments,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherInvestingActivites,0.0,-250000.0,0.0,0.0,0.0,0.0,0.0,0.0,7520197.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-1485513.0,-3157539.0,-3147794.0,-2689425.0,-2186303.0,-2084739.0,-901340.0,-459194.0,7272085.0,-897403.0,-236039.0,-472456.0,-549804.0,-320000.0,-480000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,0.0,-76875.0,-214049.0,-509952.0,-2377525.0,-4567618.0,-394303.0,-958255.0,-149474.0,-98702.0,0.0,0.0
,commonStockIssued,0.0,20000007.0,30000000.0,21128502.0,21112500.0,24813000.0,0.0,8050000.0,0.0,0.0,0.0,6110657.0,2138646.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3800000.0,410000.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,-1145000.0,-1975000.0,-1617679.0,-1874485.0,-214169.0,0.0,-1204779.0,-57500.0,0.0,0.0,-1912717.0,0.0,0.0,0.0
,netCashUsedProvidedByFinancingActivities,40912983.0,18855007.0,28064375.0,19510823.0,19240153.0,25544909.0,5285217.0,5794330.0,-4800211.0,182221.0,3216745.0,4415383.0,2289116.0,3410000.0,880000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,25463417.0,-6657552.0,2374007.0,355692.0,2656886.0,11792091.0,-225173.0,243586.0,-351422.0,-2218843.0,136296.0,1681804.0,453863.0,-200000.0,520000.0
,cashAtEndOfPeriod,36069508.0,10606091.0,17263643.0,14889636.0,14533944.0,11877058.0,84967.0,310140.0,66554.0,417976.0,2636819.0,2500523.0,818719.0,370000.0,520000.0
