date,,2020-12-31_FY,2019-12-31_FY,2018-12-31_FY,2017-12-31_FY,2016-12-31_FY,2015-12-31_FY,2014-12-31_FY,2013-12-31_FY,2012-12-31_FY,2011-12-31_FY,2010-12-31_FY,2009-12-31_FY,2008-12-31_FY,2007-12-31_FY
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByOperatingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netIncome,29403000.0,-84134000.0,-102562000.0,-92189000.0,-74375000.0,-31696000.0,-66160000.0,-79293000.0,-94465000.0,-109388000.0,-140166000.0,-87703000.0,-43754000.0,-21518000.0
,depreciationAndAmortization,6428000.0,9948000.0,7215000.0,8442000.0,3875000.0,3677000.0,4221000.0,5648000.0,6649000.0,5803000.0,5160000.0,4104000.0,2987000.0,1577000.0
,deferredIncomeTax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,stockBasedCompensation,17533000.0,16401000.0,23153000.0,20352000.0,19562000.0,13840000.0,9943000.0,9905000.0,9705000.0,12384000.0,9690000.0,3630000.0,2127000.0,1660000.0
,changeInWorkingCapital,286368000.0,-72882000.0,31791000.0,-2253000.0,2874000.0,-13908000.0,-17633000.0,3647000.0,-79968000.0,-92049000.0,186948000.0,-16898000.0,102487000.0,1627000.0
,accountsReceivables,-1603000.0,-6671000.0,4838000.0,-2012000.0,-6176000.0,-1738000.0,-660000.0,76000.0,1735000.0,-4216000.0,-341000.0,0.0,0.0,0.0
,inventory,-1096000.0,3915000.0,3623000.0,-8442000.0,-6151000.0,-2466000.0,-1285000.0,-60000.0,4761000.0,-11409000.0,-6864000.0,0.0,0.0,0.0
,accountsPayables,-5072000.0,1713000.0,-2239000.0,764000.0,3402000.0,-716000.0,3891000.0,-1271000.0,-1754000.0,-4773000.0,3637000.0,3891000.0,-223000.0,0.0
,otherWorkingCapital,318261000.0,31893000.0,104775000.0,72984000.0,75237000.0,72363000.0,86271000.0,103904000.0,100257000.0,180225000.0,272274000.0,85326000.0,102224000.0,-263000.0
,otherNonCashItems,0.0,-16788000.0,1024000.0,1250000.0,1011000.0,-2316000.0,1300000.0,177000.0,287000.0,226000.0,359000.0,110000.0,23000.0,-88000.0
,netCashProvidedByOperatingActivites,19503000.0,-78312000.0,-66430000.0,-67518000.0,-67929000.0,-47889000.0,-51468000.0,-29833000.0,-76822000.0,-102974000.0,-121996000.0,-74838000.0,-38303000.0,-16732000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByInvestingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,investmentsInPropertyPlantAndEquipment,-1039000.0,-2836000.0,-1854000.0,-10433000.0,-8207000.0,-3009000.0,-1609000.0,-909000.0,-1703000.0,-9284000.0,-5259000.0,-5177000.0,-5703000.0,-3048000.0
,acquisitionsNet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,purchasesOfInvestments,-373283000.0,-57727000.0,-122183000.0,-86339000.0,-95848000.0,-84579000.0,-126413000.0,-201547000.0,-87889000.0,-264071000.0,-180964000.0,-25429000.0,-36376000.0,-53960000.0
,salesMaturitiesOfInvestments,0.0,122610000.0,85622000.0,95182000.0,89181000.0,100658000.0,147586000.0,169339000.0,151384000.0,279801000.0,47973000.0,49200000.0,31686000.0,38670000.0
,otherInvestingActivites,0.0,0.0,0.0,0.0,0.0,-4500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,netCashUsedForInvestingActivites,-219322000.0,62047000.0,-38415000.0,-1549000.0,-14864000.0,8606000.0,19564000.0,-33117000.0,61792000.0,6446000.0,-138250000.0,18594000.0,-10393000.0,-18338000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashProvidedByFinancingingActivites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,debtRepayment,0.0,0.0,0.0,-4500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1300000.0,-400000.0,-1434000.0
,commonStockIssued,46360000.0,0.0,97530000.0,64395000.0,58200000.0,29100000.0,38023000.0,19927000.0,0.0,7743000.0,210781000.0,0.0,0.0,0.0
,commonStockRepurchased,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8000.0,0.0,-5000.0
,dividendsPaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,otherFinancingActivites,0.0,18000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,7000.0,0.0
,netCashUsedProvidedByFinancingActivities,251839000.0,26548000.0,107182000.0,68809000.0,65929000.0,36463000.0,41991000.0,42772000.0,2705000.0,7743000.0,318664000.0,67014000.0,119927000.0,-225000.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,effectOfForexChangesOnCash,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash&CashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,netChangeInCash,52020000.0,10283000.0,2337000.0,-258000.0,-16864000.0,-2820000.0,10087000.0,-20178000.0,-12325000.0,-88785000.0,58418000.0,10770000.0,71231000.0,-35295000.0
,cashAtEndOfPeriod,85947000.0,33627000.0,23344000.0,16507000.0,16765000.0,33629000.0,36449000.0,26362000.0,46540000.0,58865000.0,147650000.0,89232000.0,78462000.0,7231000.0
,cashAtBeginningOfPeriod,33927000.0,23344000.0,21007000.0,16765000.0,33629000.0,36449000.0,26362000.0,46540000.0,58865000.0,147650000.0,89232000.0,78462000.0,7231000.0,42526000.0
