Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Revenue,142609000.0,90007000.0,70062000.0,88418000.0,70347000.0,42786000.0,15123000.0
Revenue Growth,0.5844,0.2847,-0.2076,0.2569,0.6442,1.8292,
Cost of Revenue,95220000.0,67733000.0,43277000.0,52087000.0,42654000.0,28401000.0,15400000.0
Gross Profit,47389000.0,22274000.0,26785000.0,36331000.0,27693000.0,14385000.0,-277000.0
R&D Expenses,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SG&A Expense,15907000.0,13213000.0,16144000.0,14483000.0,12222000.0,8911000.0,7813000.0
Operating Expenses,59729000.0,43302000.0,45716000.0,41282000.0,60760000.0,19042000.0,13717000.0
Operating Income,-12340000.0,-21028000.0,-18931000.0,-4951000.0,-33067000.0,-4657000.0,-13994000.0
Interest Expense,7562000.0,2983000.0,3045000.0,3254000.0,1648000.0,257000.0,10000.0
Earnings before Tax,-19902000.0,-24011000.0,-21976000.0,-8205000.0,-31526000.0,-3879000.0,-10349000.0
Income Tax Expense,91000.0,287000.0,202000.0,-325000.0,-3358000.0,-1882000.0,-5401000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-19993000.0,-24298000.0,-22178000.0,-7880000.0,-28168000.0,-1997000.0,-4948000.0
Preferred Dividends,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income Com,-19993000.0,-24298000.0,-22178000.0,-7880000.0,-28168000.0,-1997000.0,-4948000.0
EPS,-0.42,-0.64,-0.67,-0.33,-1.65,-0.16,-0.49
EPS Diluted,-0.42,-0.64,-0.67,-0.33,-1.65,-0.16,-0.49
Weighted Average Shs Out,75693676.0,37981534.0,37606508.0,24402904.0,24629490.0,22855155.0,
Weighted Average Shs Out (Dil),47580000.0,37762000.0,33118000.0,23904000.0,17078000.0,12179000.0,10141000.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.3323,0.2475,0.3823,0.4109,0.3937,0.3362,-0.0183
EBITDA Margin,0.13,0.054,0.07,0.183,-0.195,0.153,-0.293
EBIT Margin,-0.0865,-0.2336,-0.2702,-0.056,-0.4247,-0.0847,-0.6837
Profit Margin,-0.14,-0.27,-0.317,-0.089,-0.4,-0.047,-0.327
Free Cash Flow margin,-0.1502,-0.2935,-0.059,-0.5446,-1.5861,-1.2549,-4.9726
EBITDA,18551000.0,4816000.0,4877000.0,16200000.0,-13697000.0,6564000.0,-4435000.0
EBIT,-12340000.0,-21028000.0,-18931000.0,-4951000.0,-29878000.0,-3622000.0,-10339000.0
Consolidated Income,-19993000.0,-24298000.0,-22178000.0,-7880000.0,-28168000.0,-1997000.0,-4948000.0
Earnings Before Tax Margin,-0.1396,-0.2668,-0.3137,-0.0928,-0.4481,-0.0907,-0.6843
Net Profit Margin,-0.1402,-0.27,-0.3165,-0.0891,-0.4004,-0.0467,-0.3272
