Date,2018-12-31,2017-12-31
Depreciation & Amortization,0.0,
Stock-based compensation,0.0,
Operating Cash Flow,-1349143.0,-1349143.0
Capital Expenditure,0.0,0.0
Acquisitions and disposals,-0.0,
Investment purchases and sales,0.0,
Investing Cash flow,-551320000.0,-551320000.0
Issuance (repayment) of debt,-0.0,0.0
Issuance (buybacks) of shares,-1531595.0,100000.0
Dividend payments,-0.0,0.0
Financing Cash Flow,554175738.0,100000.0
Effect of forex changes on cash,0.0,
Net cash flow / Change in cash,1506595.0,
Free Cash Flow,-1349143.0,
Net Cash/Marketcap,0.0,
