Date,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31
Revenue,7915000.0,9934000.0,19214000.0,10713000.0,11213000.0,12964000.0,8560000.0
Revenue Growth,-0.2032,-0.483,0.7935,-0.0446,-0.1351,0.5145,
Cost of Revenue,6531000.0,13002000.0,14445000.0,6478000.0,6513000.0,8205000.0,4151000.0
Gross Profit,1384000.0,-3068000.0,4769000.0,4235000.0,4700000.0,4759000.0,4409000.0
R&D Expenses,6009000.0,11319000.0,15536000.0,15694000.0,11224000.0,15973000.0,15416000.0
SG&A Expense,17442000.0,25120000.0,39950000.0,29231000.0,18503000.0,25758000.0,22848000.0
Operating Expenses,23451000.0,39484000.0,55486000.0,44925000.0,29727000.0,41731000.0,38264000.0
Operating Income,-22067000.0,-42552000.0,-50717000.0,-40690000.0,-25027000.0,-36972000.0,-33855000.0
Interest Expense,5692000.0,6299000.0,5524000.0,5167000.0,6016000.0,2934000.0,6000.0
Earnings before Tax,-27558000.0,-48732000.0,-56128000.0,-47344000.0,-31950000.0,-39890000.0,-33855000.0
Income Tax Expense,0.0,0.0,0.0,0.0,14000.0,11000.0,9000.0
Net Income - Non-Controlling int,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income - Discontinued ops,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income,-27558000.0,-48732000.0,-56128000.0,-47344000.0,-31964000.0,-39901000.0,-33864000.0
Preferred Dividends,8134000.0,0.0,0.0,2384000.0,0.0,0.0,0.0
Net Income Com,-35692000.0,-48732000.0,-56128000.0,-49728000.0,-31964000.0,-39901000.0,-33864000.0
EPS,-33.4,-747.4,-1355.7,-1751.0,-53273.3,-68208.0,-64812.0
EPS Diluted,-33.4,-747.4,-1355.7,-1751.0,-53273.3,-68208.0,-64812.0
Weighted Average Shs Out,2345815.0,78848.0,57010.0,31555.0,24613.0,,
Weighted Average Shs Out (Dil),1068700.0,65200.0,41400.0,28400.0,600.0,585.0,523.0
Dividend per Share,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gross Margin,0.1749,-0.3088,0.2482,0.3953,0.4192,0.3671,0.5151
EBITDA Margin,-2.601,-4.123,-2.555,-3.816,-2.183,-2.735,-3.864
EBIT Margin,-2.7626,-4.2715,-2.6337,-3.937,-2.3129,-2.8507,-3.9543
Profit Margin,-4.509,-4.906,-2.921,-4.642,-2.851,-3.078,-3.956
Free Cash Flow margin,-2.3335,-3.4746,-2.8125,-3.8701,-1.9547,-3.1743,-4.1498
EBITDA,-20585000.0,-40957000.0,-49098000.0,-40877000.0,-24483000.0,-35455000.0,-33077000.0
EBIT,-21866000.0,-42433000.0,-50604000.0,-42177000.0,-25934000.0,-36956000.0,-33849000.0
Consolidated Income,-27558000.0,-48732000.0,-56128000.0,-47344000.0,-31964000.0,-39901000.0,-33864000.0
Earnings Before Tax Margin,-3.4817,-4.9056,-2.9212,-4.4193,-2.8494,-3.077,-3.955
Net Profit Margin,-3.4817,-4.9056,-2.9212,-4.4193,-2.8506,-3.0778,-3.9561
